기준일시,공급능력(kW),현재수요(kW),신재생총합(kW),신재생태양광(kW),신재생풍력(kW)
2024-11-13 00:00:00,1097000.0,579000.0,98882.2,0.0,96770.3
2024-11-13 00:05:00,1088000.0,579000.0,91693.6,0.0,89542.3
2024-11-13 00:10:00,1082000.0,569000.0,84133.6,0.0,82069.0
2024-11-13 00:15:00,1081000.0,569000.0,83127.0,0.0,81013.7
2024-11-13 00:20:00,1063000.0,559000.0,65406.4,0.0,63513.7
2024-11-13 00:25:00,1062000.0,555000.0,66013.6,0.0,64121.1
2024-11-13 00:30:00,1058000.0,552000.0,58788.8,0.0,56807.0
2024-11-13 00:35:00,1053000.0,547000.0,55688.6,0.0,53578.8
2024-11-13 00:40:00,1049000.0,541000.0,52385.2,0.0,50230.3
2024-11-13 00:45:00,1048000.0,542000.0,49856.2,0.0,47705.4
2024-11-13 00:50:00,1048000.0,540000.0,50519.3,0.0,48367.9
2024-11-13 00:55:00,1052000.0,536000.0,54770.7,0.0,52615.8
2024-11-13 01:00:00,1051000.0,534000.0,52471.3,0.0,50361.3
2024-11-13 01:05:00,1051000.0,533000.0,52762.4,0.0,50609.8
2024-11-13 01:10:00,1048000.0,528000.0,52038.4,0.0,49829.1
2024-11-13 01:15:00,1049000.0,524000.0,51535.1,0.0,49367.0
2024-11-13 01:20:00,1048000.0,525000.0,50447.0,0.0,48243.9
2024-11-13 01:25:00,1051000.0,521000.0,53597.6,0.0,51349.1
2024-11-13 01:30:00,1052000.0,523000.0,55849.9,0.0,53648.9
2024-11-13 01:35:00,1056000.0,524000.0,59261.4,0.0,57011.8
2024-11-13 01:40:00,1053000.0,521000.0,56907.1,0.0,54617.8
2024-11-13 01:45:00,1050000.0,522000.0,52644.2,0.0,50356.3
2024-11-13 01:50:00,1044000.0,517000.0,46268.1,0.0,43936.1
2024-11-13 01:55:00,1043000.0,516000.0,46268.7,0.0,43979.3
2024-11-13 02:00:00,1043000.0,516000.0,44973.5,0.0,42642.3
2024-11-13 02:05:00,1036000.0,517000.0,39304.8,0.0,37014.0
2024-11-13 02:10:00,1034000.0,513000.0,36885.9,0.0,34553.2
2024-11-13 02:15:00,1034000.0,514000.0,37363.3,0.0,35030.1
2024-11-13 02:20:00,1033000.0,510000.0,36584.5,0.0,34252.4
2024-11-13 02:25:00,1031000.0,508000.0,33765.1,0.0,31388.3
2024-11-13 02:30:00,1029000.0,510000.0,31798.2,0.0,29421.8
2024-11-13 02:35:00,1029000.0,508000.0,32040.2,0.0,29665.0
2024-11-13 02:40:00,1030000.0,507000.0,33558.2,0.0,31138.7
2024-11-13 02:45:00,1034000.0,503000.0,36564.4,0.0,34191.2
2024-11-13 02:50:00,1038000.0,507000.0,40559.6,0.0,38183.7
2024-11-13 02:55:00,1034000.0,504000.0,37394.2,0.0,35022.8
2024-11-13 03:00:00,1036000.0,503000.0,38960.0,0.0,36628.3
2024-11-13 03:05:00,1033000.0,505000.0,36823.3,0.0,34449.5
2024-11-13 03:10:00,1031000.0,502000.0,33651.2,0.0,31320.9
2024-11-13 03:15:00,1027000.0,497000.0,29332.7,0.0,27043.3
2024-11-13 03:20:00,1025000.0,500000.0,28444.2,0.0,26156.2
2024-11-13 03:25:00,1028000.0,501000.0,30517.9,0.0,28229.4
2024-11-13 03:30:00,1023000.0,495000.0,25980.3,0.0,23735.2
2024-11-13 03:35:00,1021000.0,499000.0,24534.2,0.0,22244.7
2024-11-13 03:40:00,1020000.0,496000.0,23181.6,0.0,20893.6
2024-11-13 03:45:00,1020000.0,496000.0,22470.0,0.0,20182.0
2024-11-13 03:50:00,1017000.0,497000.0,19960.6,0.0,17671.8
2024-11-13 03:55:00,1017000.0,496000.0,19874.5,0.0,17585.6
2024-11-13 04:00:00,1016000.0,494000.0,18998.0,0.0,16710.0
2024-11-13 04:05:00,1017000.0,492000.0,19894.2,0.0,17650.2
2024-11-13 04:10:00,1016000.0,495000.0,18639.9,0.0,16395.6
2024-11-13 04:15:00,1014000.0,498000.0,17780.6,0.0,15583.8
2024-11-13 04:20:00,1013000.0,498000.0,16266.9,0.0,14055.1
2024-11-13 04:25:00,1013000.0,500000.0,15497.1,0.0,13302.5
2024-11-13 04:30:00,1012000.0,505000.0,15556.3,0.0,13362.5
2024-11-13 04:35:00,1011000.0,500000.0,13675.8,0.0,11436.0
2024-11-13 04:40:00,1012000.0,502000.0,15053.7,0.0,12859.0
2024-11-13 04:45:00,1012000.0,503000.0,15364.6,0.0,13257.7
2024-11-13 04:50:00,1012000.0,502000.0,15194.3,0.0,13171.4
2024-11-13 04:55:00,1011000.0,507000.0,13386.7,0.0,11407.0
2024-11-13 05:00:00,1012000.0,506000.0,14880.6,0.0,12944.0
2024-11-13 05:05:00,1035000.0,516000.0,37531.5,0.0,35553.8
2024-11-13 05:10:00,1035000.0,514000.0,37070.0,0.0,35091.8
2024-11-13 05:15:00,1033000.0,518000.0,36521.2,0.0,34544.4
2024-11-13 05:20:00,1034000.0,520000.0,36371.0,0.0,34260.7
2024-11-13 05:25:00,1034000.0,521000.0,37229.3,0.0,35119.9
2024-11-13 05:30:00,1032000.0,524000.0,34301.7,0.0,32149.1
2024-11-13 05:35:00,1032000.0,528000.0,35344.3,0.0,33149.5
