기준일시,공급능력(kW),현재수요(kW),신재생총합(kW),신재생태양광(kW),신재생풍력(kW)
2024-06-26 00:00:00,1245000.0,649000.0,18185.4,0.0,3994.65
2024-06-26 00:05:00,1210000.0,648000.0,16390.9,0.0,3988.38
2024-06-26 00:10:00,1209000.0,644000.0,14842.2,0.0,2420.05
2024-06-26 00:15:00,1208000.0,637000.0,13583.3,0.0,1621.24
2024-06-26 00:20:00,1207000.0,635000.0,13219.1,0.0,1296.1
2024-06-26 00:25:00,1207000.0,632000.0,13135.7,0.0,1200.52
2024-06-26 00:30:00,1209000.0,631000.0,14796.9,0.0,958.256
2024-06-26 00:35:00,1207000.0,630000.0,12816.9,0.0,1082.43
2024-06-26 00:40:00,1208000.0,625000.0,13765.4,0.0,1995.56
2024-06-26 00:45:00,1210000.0,625000.0,16044.8,0.0,1925.51
2024-06-26 00:50:00,1209000.0,622000.0,14650.1,0.0,2758.57
2024-06-26 00:55:00,1208000.0,614000.0,14123.1,0.0,2211.5
2024-06-26 01:00:00,1213000.0,615000.0,18849.0,0.0,4734.58
2024-06-26 01:05:00,1214000.0,609000.0,19721.7,0.0,7142.67
2024-06-26 01:10:00,1213000.0,604000.0,19367.8,0.0,6856.99
2024-06-26 01:15:00,1213000.0,602000.0,19470.7,0.0,7670.61
2024-06-26 01:20:00,1214000.0,598000.0,19471.8,0.0,7603.43
2024-06-26 01:25:00,1216000.0,593000.0,21851.9,0.0,9909.17
2024-06-26 01:30:00,1217000.0,590000.0,22444.4,0.0,9266.9
2024-06-26 01:35:00,1217000.0,591000.0,22880.8,0.0,10885.9
2024-06-26 01:40:00,1213000.0,585000.0,19064.5,0.0,7138.94
2024-06-26 01:45:00,1217000.0,586000.0,22869.4,0.0,10466.3
2024-06-26 01:50:00,1219000.0,588000.0,24642.8,0.0,11462.1
2024-06-26 01:55:00,1217000.0,583000.0,22631.0,0.0,10677.6
2024-06-26 02:00:00,1218000.0,581000.0,23969.0,0.0,11116.4
2024-06-26 02:05:00,1222000.0,581000.0,22929.4,0.0,9631.58
2024-06-26 02:10:00,1220000.0,578000.0,20367.0,0.0,8400.07
2024-06-26 02:15:00,1220000.0,571000.0,20135.8,0.0,8154.31
2024-06-26 02:20:00,1218000.0,572000.0,19249.2,0.0,7297.57
2024-06-26 02:25:00,1220000.0,571000.0,21069.1,0.0,8061.85
2024-06-26 02:30:00,1219000.0,569000.0,20269.2,0.0,7171.13
2024-06-26 02:35:00,1218000.0,566000.0,18503.1,0.0,5927.07
2024-06-26 02:40:00,1217000.0,566000.0,18117.5,0.0,4399.29
2024-06-26 02:45:00,1215000.0,565000.0,16369.8,0.0,4392.58
2024-06-26 02:50:00,1218000.0,560000.0,18532.9,0.0,4316.45
2024-06-26 02:55:00,1216000.0,561000.0,17018.3,0.0,3510.92
2024-06-26 03:00:00,1213000.0,561000.0,13886.2,0.0,1299.4
2024-06-26 03:05:00,1214000.0,559000.0,14244.5,0.0,620.607
2024-06-26 03:10:00,1212000.0,557000.0,12452.7,0.0,513.383
2024-06-26 03:15:00,1214000.0,558000.0,14034.5,0.0,483.652
2024-06-26 03:20:00,1214000.0,553000.0,14453.0,0.0,730.089
2024-06-26 03:25:00,1215000.0,553000.0,14504.9,0.0,1482.19
2024-06-26 03:30:00,1215000.0,554000.0,14859.1,0.0,2025.95
2024-06-26 03:35:00,1215000.0,550000.0,15415.5,0.0,2714.61
2024-06-26 03:40:00,1216000.0,548000.0,15559.1,0.0,2857.8
2024-06-26 03:45:00,1218000.0,547000.0,18113.9,0.0,3899.02
2024-06-26 03:50:00,1216000.0,547000.0,15974.7,0.0,4218.28
2024-06-26 03:55:00,1218000.0,549000.0,18425.9,0.0,3740.56
