기준일시,공급능력(kW),현재수요(kW),신재생총합(kW),신재생태양광(kW),신재생풍력(kW)
2024-06-30 00:00:00,1520000.0,683000.0,228305.0,0.0,213820.0
2024-06-30 00:05:00,1529000.0,675000.0,235631.0,0.0,221339.0
2024-06-30 00:10:00,1528000.0,677000.0,241742.0,0.0,228595.0
2024-06-30 00:15:00,1531000.0,673000.0,241465.0,0.0,227509.0
2024-06-30 00:20:00,1531000.0,665000.0,240650.0,0.0,225981.0
2024-06-30 00:25:00,1530000.0,666000.0,239599.0,0.0,225797.0
2024-06-30 00:30:00,1534000.0,659000.0,242214.0,0.0,227172.0
2024-06-30 00:35:00,1525000.0,654000.0,238811.0,0.0,224735.0
2024-06-30 00:40:00,1525000.0,651000.0,233744.0,0.0,219286.0
2024-06-30 00:45:00,1529000.0,648000.0,238254.0,0.0,223725.0
2024-06-30 00:50:00,1529000.0,644000.0,239849.0,0.0,225302.0
2024-06-30 00:55:00,1529000.0,641000.0,237982.0,0.0,223537.0
2024-06-30 01:00:00,1536000.0,642000.0,245350.0,0.0,230891.0
2024-06-30 01:05:00,1546000.0,636000.0,252910.0,0.0,237928.0
2024-06-30 01:10:00,1539000.0,632000.0,252023.0,0.0,237163.0
2024-06-30 01:15:00,1543000.0,635000.0,252368.0,0.0,238595.0
2024-06-30 01:20:00,1542000.0,631000.0,251346.0,0.0,236828.0
2024-06-30 01:25:00,1540000.0,625000.0,246626.0,0.0,231419.0
2024-06-30 01:30:00,1530000.0,620000.0,235930.0,0.0,221561.0
2024-06-30 01:35:00,1529000.0,617000.0,237372.0,0.0,222835.0
2024-06-30 01:40:00,1522000.0,617000.0,230362.0,0.0,216798.0
2024-06-30 01:45:00,1527000.0,610000.0,236511.0,0.0,223377.0
2024-06-30 01:50:00,1530000.0,610000.0,238723.0,0.0,224900.0
2024-06-30 01:55:00,1532000.0,609000.0,237114.0,0.0,221956.0
2024-06-30 02:00:00,1533000.0,607000.0,243420.0,0.0,230041.0
2024-06-30 02:05:00,1533000.0,607000.0,241198.0,0.0,227836.0
2024-06-30 02:10:00,1536000.0,605000.0,244156.0,0.0,229923.0
2024-06-30 02:15:00,1546000.0,604000.0,250798.0,0.0,236454.0
2024-06-30 02:20:00,1539000.0,600000.0,243863.0,0.0,229604.0
2024-06-30 02:25:00,1540000.0,600000.0,249497.0,0.0,235191.0
2024-06-30 02:30:00,1538000.0,597000.0,245720.0,0.0,231611.0
2024-06-30 02:35:00,1541000.0,599000.0,248990.0,0.0,234929.0
2024-06-30 02:40:00,1536000.0,594000.0,246539.0,0.0,232263.0
2024-06-30 02:45:00,1534000.0,588000.0,242823.0,0.0,228652.0
2024-06-30 02:50:00,1534000.0,589000.0,244911.0,0.0,231670.0
2024-06-30 02:55:00,1528000.0,586000.0,236483.0,0.0,222506.0
2024-06-30 03:00:00,1537000.0,583000.0,247442.0,0.0,232225.0
2024-06-30 03:05:00,1520000.0,582000.0,230564.0,0.0,217356.0
2024-06-30 03:10:00,1533000.0,584000.0,245063.0,0.0,231901.0
2024-06-30 03:15:00,1538000.0,582000.0,245874.0,0.0,232674.0
2024-06-30 03:20:00,1533000.0,580000.0,241198.0,0.0,228002.0
2024-06-30 03:25:00,1541000.0,577000.0,247069.0,0.0,233771.0
2024-06-30 03:30:00,1534000.0,576000.0,241850.0,0.0,228588.0
2024-06-30 03:35:00,1542000.0,582000.0,252086.0,0.0,237888.0
2024-06-30 03:40:00,1547000.0,575000.0,251600.0,0.0,236531.0
2024-06-30 03:45:00,1538000.0,575000.0,248697.0,0.0,235724.0
2024-06-30 03:50:00,1544000.0,578000.0,252419.0,0.0,239358.0
2024-06-30 03:55:00,1544000.0,577000.0,252214.0,0.0,239217.0
2024-06-30 04:00:00,1543000.0,577000.0,250973.0,0.0,237844.0
2024-06-30 04:05:00,1550000.0,577000.0,257037.0,0.0,243451.0
2024-06-30 04:10:00,1545000.0,576000.0,252822.0,0.0,239326.0
2024-06-30 04:15:00,1546000.0,574000.0,253255.0,0.0,238370.0
2024-06-30 04:20:00,1541000.0,575000.0,248490.0,0.0,234156.0
2024-06-30 04:25:00,1540000.0,577000.0,247328.0,0.0,234392.0
2024-06-30 04:30:00,1538000.0,578000.0,243577.0,0.0,228745.0
2024-06-30 04:35:00,1535000.0,577000.0,242072.0,0.0,227202.0
2024-06-30 04:40:00,1536000.0,576000.0,242881.0,0.0,228965.0
2024-06-30 04:45:00,1542000.0,574000.0,249236.0,0.0,233925.0
2024-06-30 04:50:00,1532000.0,575000.0,238945.0,0.0,224668.0
2024-06-30 04:55:00,1530000.0,574000.0,237508.0,0.0,222988.0
2024-06-30 05:00:00,1531000.0,574000.0,234190.0,0.0,218209.0
2024-06-30 05:05:00,1536000.0,575000.0,241639.0,0.0,227226.0
2024-06-30 05:10:00,1530000.0,579000.0,237058.0,0.0,221136.0
2024-06-30 05:15:00,1535000.0,574000.0,243155.0,0.0,229160.0
2024-06-30 05:20:00,1540000.0,568000.0,247357.0,0.0,232207.0
2024-06-30 05:25:00,1534000.0,568000.0,243862.0,0.0,228548.0
2024-06-30 05:30:00,1534000.0,574000.0,240063.0,0.0,225787.0
2024-06-30 05:35:00,1521000.0,579000.0,226522.0,0.0,210612.0
2024-06-30 05:40:00,1522000.0,575000.0,228966.0,0.0,214894.0
2024-06-30 05:45:00,1532000.0,575000.0,234758.0,0.0,219823.0
2024-06-30 05:50:00,1533000.0,584000.0,241839.0,0.0,227522.0
2024-06-30 05:55:00,1521000.0,587000.0,230876.0,0.0,217588.0
2024-06-30 06:00:00,1523000.0,592000.0,230422.0,0.0,214792.0
2024-06-30 06:05:00,1521000.0,589000.0,227981.0,0.0,213152.0
2024-06-30 06:10:00,1517000.0,592000.0,226192.0,0.0,211744.0
2024-06-30 06:15:00,1515000.0,587000.0,218558.0,0.0,203132.0
2024-06-30 06:20:00,1518000.0,592000.0,223582.0,0.0,208276.0
2024-06-30 06:25:00,1517000.0,596000.0,228431.0,1457.8,211470.0
2024-06-30 06:30:00,1521000.0,602000.0,227160.0,1784.93,211131.0
2024-06-30 06:35:00,1516000.0,606000.0,219019.0,2090.93,202632.0
2024-06-30 06:40:00,1532000.0,607000.0,239005.0,2054.7,221427.0
2024-06-30 06:45:00,1538000.0,603000.0,245626.0,2014.56,229352.0
2024-06-30 06:50:00,1528000.0,609000.0,230656.0,2244.72,213443.0
2024-06-30 06:55:00,1524000.0,615000.0,233325.0,2697.72,216844.0
2024-06-30 07:00:00,1515000.0,621000.0,223947.0,2733.66,206579.0
2024-06-30 07:05:00,1526000.0,625000.0,233882.0,2435.42,217921.0
2024-06-30 07:10:00,1519000.0,626000.0,230611.0,2078.45,212501.0
2024-06-30 07:15:00,1522000.0,635000.0,229652.0,2537.03,212777.0
2024-06-30 07:20:00,1515000.0,632000.0,224883.0,2913.5,206691.0
2024-06-30 07:25:00,1510000.0,634000.0,218436.0,3485.09,199353.0
2024-06-30 07:30:00,1513000.0,645000.0,221251.0,3702.03,202681.0
2024-06-30 07:35:00,1508000.0,641000.0,212324.0,3855.37,193561.0
2024-06-30 07:40:00,1517000.0,644000.0,225417.0,3614.86,206825.0
2024-06-30 07:45:00,1510000.0,650000.0,216146.0,3680.04,197552.0
2024-06-30 07:50:00,1500000.0,650000.0,210219.0,4362.39,190768.0
2024-06-30 07:55:00,1511000.0,655000.0,219337.0,5480.9,200192.0
2024-06-30 08:00:00,1498000.0,661000.0,206862.0,6308.29,186717.0
2024-06-30 08:05:00,1515000.0,662000.0,225737.0,6671.51,204304.0
2024-06-30 08:10:00,1505000.0,663000.0,213192.0,7364.81,192859.0
2024-06-30 08:15:00,1500000.0,665000.0,208311.0,7869.51,188226.0
2024-06-30 08:20:00,1502000.0,667000.0,211270.0,8868.33,189321.0
2024-06-30 08:25:00,1503000.0,665000.0,214027.0,9769.33,190969.0
2024-06-30 08:30:00,1505000.0,671000.0,212404.0,9696.71,190204.0
2024-06-30 08:35:00,1517000.0,673000.0,222637.0,11159.2,197611.0
2024-06-30 08:40:00,1513000.0,676000.0,222174.0,13321.6,195711.0
2024-06-30 08:45:00,1506000.0,678000.0,213921.0,14489.3,186221.0
2024-06-30 08:50:00,1507000.0,684000.0,214644.0,15970.8,185979.0
2024-06-30 08:55:00,1507000.0,689000.0,213302.0,17661.7,181958.0
2024-06-30 09:00:00,1514000.0,702000.0,222175.0,18283.3,190148.0
2024-06-30 09:05:00,1508000.0,706000.0,213347.0,17606.8,183355.0
2024-06-30 09:10:00,1516000.0,719000.0,224566.0,17378.1,194598.0
2024-06-30 09:15:00,1529000.0,732000.0,240587.0,16913.1,210601.0
