timestamp,gen,forecast_da,capacity_da,forecast_rt,capacity_rt
2024-01-04 13:00:00+09:00,656.4072,700.522255,1053.965,680.4506811,1053.965
2024-01-04 14:00:00+09:00,636.6926,662.548523,1053.965,648.038852,1053.965
2024-01-04 15:00:00+09:00,536.7814,540.2697833,1053.965,544.3789313,1053.965
2024-01-04 16:00:00+09:00,340.5854,316.7175109,1053.965,338.1186775,1053.965
2024-01-04 17:00:00+09:00,119.3381,102.1485975,1053.965,123.5073732,1053.965
2024-01-04 18:00:00+09:00,5.4615,9.751056068,1053.965,10.37681564,1053.965
2024-01-04 19:00:00+09:00,0,1.872896792,1053.965,1.230926272,1053.965
2024-01-04 20:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-04 21:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-04 22:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-04 23:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-05 00:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-05 01:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-05 02:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-05 03:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-05 04:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-05 05:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-05 06:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-05 07:00:00+09:00,0,0.192996126,1053.965,0.211806637,1053.965
2024-01-05 08:00:00+09:00,0.3064,7.391730184,1053.965,8.216282117,1053.965
2024-01-05 09:00:00+09:00,81.5934,78.77953668,1053.965,87.02182078,1053.965
2024-01-05 10:00:00+09:00,269.879,271.7921992,1053.965,276.9913997,1053.965
2024-01-05 11:00:00+09:00,459.3097,438.0287054,1053.965,429.0158168,1053.965
2024-01-05 12:00:00+09:00,560.13483,569.1060996,1053.965,581.5228794,1053.965
2024-01-05 13:00:00+09:00,589.76627,625.8970574,1053.965,652.8916426,1053.965
2024-01-05 14:00:00+09:00,561.1002,603.7902672,1053.965,625.1229366,1053.965
2024-01-05 15:00:00+09:00,465.2972,490.9511808,1053.965,511.8683688,1053.965
2024-01-05 16:00:00+09:00,276.9446,265.4373808,1053.965,286.5251267,1053.965
2024-01-05 17:00:00+09:00,92.7462,82.41294389,1053.965,94.51010889,1053.965
2024-01-05 18:00:00+09:00,0.6522,4.451559166,1053.965,6.436674335,1053.965
2024-01-05 19:00:00+09:00,0,0.174591357,1053.965,0.222339326,1053.965
2024-01-05 20:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-05 21:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-05 22:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-05 23:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-06 00:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-06 01:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-06 02:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-06 03:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-06 04:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-06 05:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-06 06:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-06 07:00:00+09:00,0,0.152854416,1053.965,0.061195919,1053.965
2024-01-06 08:00:00+09:00,1.338,5.886116079,1053.965,5.592582541,1053.965
2024-01-06 09:00:00+09:00,84.3982,83.30901348,1053.965,73.77165991,1053.965
2024-01-06 10:00:00+09:00,292.7282,314.2713112,1053.965,230.8301911,1053.965
2024-01-06 11:00:00+09:00,495.2916,523.9564186,1053.965,454.0855655,1053.965
2024-01-06 12:00:00+09:00,622.156,669.7530284,1053.965,627.115273,1053.965
2024-01-06 13:00:00+09:00,672.281,723.8642469,1053.965,708.5980762,1053.965
2024-01-06 14:00:00+09:00,640.571,689.850234,1053.965,691.8390977,1053.965
2024-01-06 15:00:00+09:00,493.1234,600.3365316,1053.965,607.6304928,1053.965
2024-01-06 16:00:00+09:00,250.969,338.9342202,1053.965,360.5988045,1053.965
2024-01-06 17:00:00+09:00,112.2866,126.9491048,1053.965,133.8206892,1053.965
2024-01-06 18:00:00+09:00,3.973,14.64408137,1053.965,21.58043459,1053.965
2024-01-06 19:00:00+09:00,0,3.173119547,1053.965,2.991696858,1053.965
2024-01-06 20:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-06 21:00:00+09:00,0,0,1053.965,0,1053.965
