,시간,08-23 (금)
0,최대,164.82
1,최소,124.05
2,가중평균,151.45
3,01시 1구간,137.43
4,01시 2구간,137.43
5,01시 3구간,137.43
6,01시 4구간,137.43
7,02시 1구간,136.34
8,02시 2구간,136.34
9,02시 3구간,136.34
10,02시 4구간,136.34
11,03시 1구간,136.34
12,03시 2구간,136.34
13,03시 3구간,136.34
14,03시 4구간,136.34
15,04시 1구간,125.89
16,04시 2구간,125.89
17,04시 3구간,125.89
18,04시 4구간,125.89
19,05시 1구간,124.05
20,05시 2구간,124.05
21,05시 3구간,124.05
22,05시 4구간,124.05
23,06시 1구간,135.61
24,06시 2구간,135.61
25,06시 3구간,135.61
26,06시 4구간,135.61
27,07시 1구간,135.75
28,07시 2구간,135.75
29,07시 3구간,135.75
30,07시 4구간,135.75
31,08시 1구간,141.34
32,08시 2구간,141.34
33,08시 3구간,141.34
34,08시 4구간,141.34
35,09시 1구간,144.05
36,09시 2구간,144.05
37,09시 3구간,144.05
38,09시 4구간,144.05
39,10시 1구간,158.23
40,10시 2구간,158.23
41,10시 3구간,158.23
42,10시 4구간,158.12
43,11시 1구간,158.12
44,11시 2구간,158.12
45,11시 3구간,158.12
46,11시 4구간,158.08
47,12시 1구간,158.08
48,12시 2구간,158.08
49,12시 3구간,158.08
50,12시 4구간,153.09
51,13시 1구간,157.7
52,13시 2구간,157.7
53,13시 3구간,157.7
54,13시 4구간,158.81
55,14시 1구간,158.81
56,14시 2구간,158.81
57,14시 3구간,158.81
58,14시 4구간,158.82
59,15시 1구간,158.82
60,15시 2구간,158.82
61,15시 3구간,158.82
62,15시 4구간,159.02
63,16시 1구간,164.82
64,16시 2구간,164.82
65,16시 3구간,164.82
66,16시 4구간,164.82
67,17시 1구간,164.81
68,17시 2구간,164.81
69,17시 3구간,164.81
70,17시 4구간,164.81
71,18시 1구간,156.61
72,18시 2구간,156.76
73,18시 3구간,156.91
74,18시 4구간,156.54
75,19시 1구간,147.96
76,19시 2구간,147.96
77,19시 3구간,147.96
78,19시 4구간,147.96
79,20시 1구간,157.86
80,20시 2구간,157.93
81,20시 3구간,158.0
82,20시 4구간,157.35
83,21시 1구간,157.73
84,21시 2구간,157.86
85,21시 3구간,158.0
86,21시 4구간,158.59
87,22시 1구간,158.72
88,22시 2구간,158.71
89,22시 3구간,158.7
90,22시 4구간,158.13
91,23시 1구간,158.1
92,23시 2구간,158.5
93,23시 3구간,157.7
94,23시 4구간,157.7
95,24시 1구간,158.22
96,24시 2구간,158.22
97,24시 3구간,158.22
98,24시 4구간,157.35
