,시간,09-24 (화)
0,최대,160.78
1,최소,105.54
2,가중평균,139.43
3,01시 1구간,107.11
4,01시 2구간,107.11
5,01시 3구간,107.11
6,01시 4구간,107.11
7,02시 1구간,107.12
8,02시 2구간,107.12
9,02시 3구간,107.12
10,02시 4구간,107.12
11,03시 1구간,105.88
12,03시 2구간,105.88
13,03시 3구간,105.88
14,03시 4구간,105.88
15,04시 1구간,105.54
16,04시 2구간,105.54
17,04시 3구간,105.54
18,04시 4구간,105.54
19,05시 1구간,105.68
20,05시 2구간,105.68
21,05시 3구간,105.68
22,05시 4구간,105.68
23,06시 1구간,106.74
24,06시 2구간,106.74
25,06시 3구간,106.74
26,06시 4구간,106.74
27,07시 1구간,107.14
28,07시 2구간,107.14
29,07시 3구간,107.14
30,07시 4구간,107.14
31,08시 1구간,107.11
32,08시 2구간,107.11
33,08시 3구간,107.11
34,08시 4구간,107.11
35,09시 1구간,158.16
36,09시 2구간,158.16
37,09시 3구간,158.16
38,09시 4구간,158.18
39,10시 1구간,158.88
40,10시 2구간,158.88
41,10시 3구간,158.88
42,10시 4구간,149.38
43,11시 1구간,152.33
44,11시 2구간,152.33
45,11시 3구간,152.33
46,11시 4구간,152.33
47,12시 1구간,149.34
48,12시 2구간,149.34
49,12시 3구간,149.34
50,12시 4구간,149.34
51,13시 1구간,146.78
52,13시 2구간,146.78
53,13시 3구간,146.78
54,13시 4구간,146.78
55,14시 1구간,149.31
56,14시 2구간,149.31
57,14시 3구간,149.31
58,14시 4구간,149.31
59,15시 1구간,149.31
60,15시 2구간,149.31
61,15시 3구간,149.31
62,15시 4구간,158.61
63,16시 1구간,159.59
64,16시 2구간,159.64
65,16시 3구간,159.69
66,16시 4구간,159.74
67,17시 1구간,159.09
68,17시 2구간,159.3
69,17시 3구간,159.52
70,17시 4구간,159.73
71,18시 1구간,159.95
72,18시 2구간,160.17
73,18시 3구간,160.39
74,18시 4구간,160.78
75,19시 1구간,159.24
76,19시 2구간,159.4
77,19시 3구간,159.55
78,19시 4구간,159.55
79,20시 1구간,159.55
80,20시 2구간,159.55
81,20시 3구간,159.55
82,20시 4구간,159.55
83,21시 1구간,159.72
84,21시 2구간,159.72
85,21시 3구간,159.72
86,21시 4구간,159.8
87,22시 1구간,157.93
88,22시 2구간,158.23
89,22시 3구간,158.37
90,22시 4구간,139.96
91,23시 1구간,138.4
92,23시 2구간,138.4
93,23시 3구간,138.4
94,23시 4구간,138.4
95,24시 1구간,107.09
96,24시 2구간,107.09
97,24시 3구간,107.09
98,24시 4구간,107.09
