,시간,04-05 (금)
0,최대,157.82
1,최소,102.33
2,가중평균,150.16
3,01시 1구간,156.37
4,01시 2구간,156.28
5,01시 3구간,156.29
6,01시 4구간,156.1
7,02시 1구간,155.71
8,02시 2구간,155.66
9,02시 3구간,152.77
10,02시 4구간,150.1
11,03시 1구간,149.45
12,03시 2구간,146.35
13,03시 3구간,146.31
14,03시 4구간,146.18
15,04시 1구간,146.15
16,04시 2구간,146.11
17,04시 3구간,146.79
18,04시 4구간,146.05
19,05시 1구간,146.02
20,05시 2구간,145.99
21,05시 3구간,102.33
22,05시 4구간,102.33
23,06시 1구간,151.54
24,06시 2구간,151.85
25,06시 3구간,153.11
26,06시 4구간,152.91
27,07시 1구간,157.42
28,07시 2구간,157.22
29,07시 3구간,157.02
30,07시 4구간,156.65
31,08시 1구간,156.65
32,08시 2구간,156.58
33,08시 3구간,156.51
34,08시 4구간,156.49
35,09시 1구간,157.18
36,09시 2구간,157.62
37,09시 3구간,157.82
38,09시 4구간,150.73
39,10시 1구간,152.58
40,10시 2구간,150.52
41,10시 3구간,125.0
42,10시 4구간,154.77
43,11시 1구간,138.52
44,11시 2구간,138.52
45,11시 3구간,138.52
46,11시 4구간,145.49
47,12시 1구간,145.3
48,12시 2구간,145.3
49,12시 3구간,145.3
50,12시 4구간,144.78
51,13시 1구간,130.92
52,13시 2구간,130.92
53,13시 3구간,130.92
54,13시 4구간,130.92
55,14시 1구간,130.92
56,14시 2구간,150.26
57,14시 3구간,150.26
58,14시 4구간,150.26
59,15시 1구간,150.26
60,15시 2구간,150.26
61,15시 3구간,150.26
62,15시 4구간,150.26
63,16시 1구간,144.78
64,16시 2구간,139.41
65,16시 3구간,152.08
66,16시 4구간,151.94
67,17시 1구간,151.86
68,17시 2구간,151.78
69,17시 3구간,157.37
70,17시 4구간,155.02
71,18시 1구간,154.1
72,18시 2구간,154.19
73,18시 3구간,154.28
74,18시 4구간,154.92
75,19시 1구간,154.92
76,19시 2구간,154.83
77,19시 3구간,154.74
78,19시 4구간,154.87
79,20시 1구간,155.07
80,20시 2구간,155.46
81,20시 3구간,155.44
82,20시 4구간,155.4
83,21시 1구간,155.61
84,21시 2구간,155.57
85,21시 3구간,155.54
86,21시 4구간,155.5
87,22시 1구간,155.46
88,22시 2구간,155.5
89,22시 3구간,155.54
90,22시 4구간,155.54
91,23시 1구간,157.06
92,23시 2구간,155.51
93,23시 3구간,155.51
94,23시 4구간,155.51
95,24시 1구간,154.55
96,24시 2구간,154.55
97,24시 3구간,154.55
98,24시 4구간,154.55
