,시간,06-05 (수)
0,최대,151.46
1,최소,105.41
2,가중평균,129.57
3,01시 1구간,122.6
4,01시 2구간,122.6
5,01시 3구간,122.6
6,01시 4구간,122.6
7,02시 1구간,112.51
8,02시 2구간,112.51
9,02시 3구간,112.51
10,02시 4구간,112.51
11,03시 1구간,111.54
12,03시 2구간,111.54
13,03시 3구간,111.54
14,03시 4구간,111.54
15,04시 1구간,105.41
16,04시 2구간,105.41
17,04시 3구간,105.41
18,04시 4구간,105.41
19,05시 1구간,105.41
20,05시 2구간,105.41
21,05시 3구간,105.41
22,05시 4구간,105.41
23,06시 1구간,105.41
24,06시 2구간,105.41
25,06시 3구간,105.41
26,06시 4구간,105.41
27,07시 1구간,117.54
28,07시 2구간,117.54
29,07시 3구간,117.54
30,07시 4구간,117.54
31,08시 1구간,131.57
32,08시 2구간,131.57
33,08시 3구간,131.57
34,08시 4구간,131.57
35,09시 1구간,136.53
36,09시 2구간,136.53
37,09시 3구간,118.49
38,09시 4구간,117.36
39,10시 1구간,116.31
40,10시 2구간,115.85
41,10시 3구간,115.92
42,10시 4구간,115.43
43,11시 1구간,115.96
44,11시 2구간,116.34
45,11시 3구간,116.16
46,11시 4구간,116.24
47,12시 1구간,116.96
48,12시 2구간,116.81
49,12시 3구간,116.26
50,12시 4구간,117.67
51,13시 1구간,129.98
52,13시 2구간,129.98
53,13시 3구간,129.98
54,13시 4구간,129.98
55,14시 1구간,116.26
56,14시 2구간,115.86
57,14시 3구간,117.45
58,14시 4구간,136.75
59,15시 1구간,142.15
60,15시 2구간,142.15
61,15시 3구간,142.15
62,15시 4구간,142.15
63,16시 1구간,142.18
64,16시 2구간,142.18
65,16시 3구간,142.18
66,16시 4구간,142.18
67,17시 1구간,146.39
68,17시 2구간,146.39
69,17시 3구간,146.39
70,17시 4구간,146.39
71,18시 1구간,138.83
72,18시 2구간,138.83
73,18시 3구간,138.83
74,18시 4구간,138.83
75,19시 1구간,138.83
76,19시 2구간,138.83
77,19시 3구간,138.83
78,19시 4구간,138.83
79,20시 1구간,149.98
80,20시 2구간,149.98
81,20시 3구간,149.98
82,20시 4구간,149.98
83,21시 1구간,150.24
84,21시 2구간,150.24
85,21시 3구간,150.24
86,21시 4구간,150.24
87,22시 1구간,150.6
88,22시 2구간,150.6
89,22시 3구간,151.46
90,22시 4구간,138.64
91,23시 1구간,138.73
92,23시 2구간,138.73
93,23시 3구간,138.73
94,23시 4구간,138.73
95,24시 1구간,147.22
96,24시 2구간,147.44
97,24시 3구간,147.44
98,24시 4구간,132.47
