,시간,08-08 (목)
0,최대,223.79
1,최소,124.57
2,가중평균,160.24
3,01시 1구간,159.44
4,01시 2구간,159.44
5,01시 3구간,159.44
6,01시 4구간,159.44
7,02시 1구간,159.44
8,02시 2구간,135.68
9,02시 3구간,135.68
10,02시 4구간,135.68
11,03시 1구간,126.34
12,03시 2구간,126.34
13,03시 3구간,126.34
14,03시 4구간,126.34
15,04시 1구간,124.57
16,04시 2구간,124.57
17,04시 3구간,124.57
18,04시 4구간,124.57
19,05시 1구간,124.75
20,05시 2구간,124.75
21,05시 3구간,124.75
22,05시 4구간,124.75
23,06시 1구간,129.79
24,06시 2구간,129.79
25,06시 3구간,129.79
26,06시 4구간,129.79
27,07시 1구간,135.8
28,07시 2구간,135.8
29,07시 3구간,135.8
30,07시 4구간,135.8
31,08시 1구간,141.91
32,08시 2구간,141.91
33,08시 3구간,141.91
34,08시 4구간,141.91
35,09시 1구간,145.64
36,09시 2구간,145.64
37,09시 3구간,145.64
38,09시 4구간,145.64
39,10시 1구간,157.64
40,10시 2구간,157.64
41,10시 3구간,157.64
42,10시 4구간,157.7
43,11시 1구간,159.0
44,11시 2구간,159.0
45,11시 3구간,159.0
46,11시 4구간,158.84
47,12시 1구간,159.71
48,12시 2구간,159.71
49,12시 3구간,159.71
50,12시 4구간,159.71
51,13시 1구간,159.69
52,13시 2구간,159.69
53,13시 3구간,159.69
54,13시 4구간,159.69
55,14시 1구간,179.82
56,14시 2구간,179.82
57,14시 3구간,179.82
58,14시 4구간,179.82
59,15시 1구간,159.73
60,15시 2구간,159.73
61,15시 3구간,159.73
62,15시 4구간,159.73
63,16시 1구간,158.33
64,16시 2구간,158.33
65,16시 3구간,158.33
66,16시 4구간,158.23
67,17시 1구간,158.23
68,17시 2구간,158.23
69,17시 3구간,158.23
70,17시 4구간,158.33
71,18시 1구간,158.33
72,18시 2구간,158.33
73,18시 3구간,158.33
74,18시 4구간,158.31
75,19시 1구간,200.89
76,19시 2구간,200.89
77,19시 3구간,220.76
78,19시 4구간,220.53
79,20시 1구간,223.58
80,20시 2구간,223.79
81,20시 3구간,223.59
82,20시 4구간,222.58
83,21시 1구간,204.4
84,21시 2구간,204.35
85,21시 3구간,159.12
86,21시 4구간,156.86
87,22시 1구간,156.79
88,22시 2구간,156.78
89,22시 3구간,156.78
90,22시 4구간,156.77
91,23시 1구간,156.85
92,23시 2구간,156.85
93,23시 3구간,156.85
94,23시 4구간,156.97
95,24시 1구간,156.76
96,24시 2구간,156.76
97,24시 3구간,156.76
98,24시 4구간,156.76
