,시간,04-10 (수)
0,최대,160.94
1,최소,-79.32
2,가중평균,120.99
3,01시 1구간,117.35
4,01시 2구간,117.35
5,01시 3구간,117.35
6,01시 4구간,117.35
7,02시 1구간,102.4
8,02시 2구간,102.4
9,02시 3구간,102.4
10,02시 4구간,102.4
11,03시 1구간,95.98
12,03시 2구간,95.98
13,03시 3구간,95.98
14,03시 4구간,95.98
15,04시 1구간,95.95
16,04시 2구간,95.95
17,04시 3구간,95.95
18,04시 4구간,95.95
19,05시 1구간,99.16
20,05시 2구간,99.16
21,05시 3구간,99.16
22,05시 4구간,99.16
23,06시 1구간,160.87
24,06시 2구간,160.87
25,06시 3구간,160.87
26,06시 4구간,160.87
27,07시 1구간,160.87
28,07시 2구간,160.94
29,07시 3구간,160.94
30,07시 4구간,160.94
31,08시 1구간,160.78
32,08시 2구간,160.78
33,08시 3구간,160.78
34,08시 4구간,159.54
35,09시 1구간,110.38
36,09시 2구간,110.38
37,09시 3구간,110.38
38,09시 4구간,110.38
39,10시 1구간,137.44
40,10시 2구간,137.44
41,10시 3구간,-1.29
42,10시 4구간,-35.25
43,11시 1구간,150.28
44,11시 2구간,150.28
45,11시 3구간,0.0
46,11시 4구간,150.28
47,12시 1구간,116.18
48,12시 2구간,0.0
49,12시 3구간,0.0
50,12시 4구간,0.0
51,13시 1구간,0.0
52,13시 2구간,116.18
53,13시 3구간,116.18
54,13시 4구간,-79.32
55,14시 1구간,0.0
56,14시 2구간,0.0
57,14시 3구간,143.15
58,14시 4구간,143.15
59,15시 1구간,115.93
60,15시 2구간,115.93
61,15시 3구간,115.93
62,15시 4구간,115.93
63,16시 1구간,137.44
64,16시 2구간,137.44
65,16시 3구간,137.44
66,16시 4구간,137.44
67,17시 1구간,109.98
68,17시 2구간,109.98
69,17시 3구간,109.98
70,17시 4구간,109.98
71,18시 1구간,110.69
72,18시 2구간,110.69
73,18시 3구간,110.69
74,18시 4구간,110.69
75,19시 1구간,151.78
76,19시 2구간,151.72
77,19시 3구간,151.92
78,19시 4구간,153.5
79,20시 1구간,152.19
80,20시 2구간,153.45
81,20시 3구간,153.52
82,20시 4구간,147.74
83,21시 1구간,151.55
84,21시 2구간,151.67
85,21시 3구간,151.8
86,21시 4구간,154.65
87,22시 1구간,154.65
88,22시 2구간,154.65
89,22시 3구간,154.65
90,22시 4구간,154.65
91,23시 1구간,154.65
92,23시 2구간,155.04
93,23시 3구간,155.28
94,23시 4구간,155.28
95,24시 1구간,144.93
96,24시 2구간,144.93
97,24시 3구간,144.93
98,24시 4구간,144.93
