,시간,03-05 (화)
0,최대,255.56
1,최소,94.8
2,가중평균,147.8
3,01시 1구간,100.13
4,01시 2구간,100.13
5,01시 3구간,255.56
6,01시 4구간,250.03
7,02시 1구간,94.8
8,02시 2구간,94.8
9,02시 3구간,94.8
10,02시 4구간,94.8
11,03시 1구간,94.8
12,03시 2구간,94.8
13,03시 3구간,94.8
14,03시 4구간,94.8
15,04시 1구간,94.8
16,04시 2구간,94.8
17,04시 3구간,94.8
18,04시 4구간,94.8
19,05시 1구간,94.8
20,05시 2구간,94.8
21,05시 3구간,94.8
22,05시 4구간,94.8
23,06시 1구간,94.8
24,06시 2구간,94.8
25,06시 3구간,94.8
26,06시 4구간,94.8
27,07시 1구간,105.85
28,07시 2구간,105.85
29,07시 3구간,105.85
30,07시 4구간,105.85
31,08시 1구간,107.38
32,08시 2구간,165.39
33,08시 3구간,107.38
34,08시 4구간,165.63
35,09시 1구간,164.94
36,09시 2구간,164.89
37,09시 3구간,164.84
38,09시 4구간,167.73
39,10시 1구간,177.25
40,10시 2구간,177.25
41,10시 3구간,177.25
42,10시 4구간,177.25
43,11시 1구간,166.7
44,11시 2구간,166.93
45,11시 3구간,166.85
46,11시 4구간,165.11
47,12시 1구간,165.16
48,12시 2구간,165.11
49,12시 3구간,165.11
50,12시 4구간,165.11
51,13시 1구간,162.44
52,13시 2구간,162.44
53,13시 3구간,162.44
54,13시 4구간,162.44
55,14시 1구간,165.11
56,14시 2구간,165.11
57,14시 3구간,165.11
58,14시 4구간,168.76
59,15시 1구간,166.08
60,15시 2구간,166.11
61,15시 3구간,166.11
62,15시 4구간,157.4
63,16시 1구간,162.57
64,16시 2구간,162.57
65,16시 3구간,162.57
66,16시 4구간,162.57
67,17시 1구간,157.46
68,17시 2구간,157.41
69,17시 3구간,157.36
70,17시 4구간,157.31
71,18시 1구간,157.27
72,18시 2구간,157.22
73,18시 3구간,153.8
74,18시 4구간,170.17
75,19시 1구간,170.17
76,19시 2구간,170.17
77,19시 3구간,170.17
78,19시 4구간,170.17
79,20시 1구간,170.17
80,20시 2구간,170.6
81,20시 3구간,170.53
82,20시 4구간,170.38
83,21시 1구간,170.56
84,21시 2구간,170.56
85,21시 3구간,170.56
86,21시 4구간,170.56
87,22시 1구간,170.56
88,22시 2구간,170.56
89,22시 3구간,170.56
90,22시 4구간,170.56
91,23시 1구간,131.23
92,23시 2구간,131.23
93,23시 3구간,131.23
94,23시 4구간,131.23
95,24시 1구간,131.19
96,24시 2구간,131.19
97,24시 3구간,131.19
98,24시 4구간,131.19
