,시간,05-04 (토)
0,최대,151.68
1,최소,-79.06
2,가중평균,100.57
3,01시 1구간,147.77
4,01시 2구간,147.77
5,01시 3구간,147.77
6,01시 4구간,147.73
7,02시 1구간,147.73
8,02시 2구간,147.73
9,02시 3구간,147.73
10,02시 4구간,147.73
11,03시 1구간,147.73
12,03시 2구간,147.73
13,03시 3구간,147.73
14,03시 4구간,147.73
15,04시 1구간,147.73
16,04시 2구간,147.73
17,04시 3구간,147.73
18,04시 4구간,147.73
19,05시 1구간,147.73
20,05시 2구간,147.73
21,05시 3구간,147.73
22,05시 4구간,147.73
23,06시 1구간,147.73
24,06시 2구간,147.76
25,06시 3구간,147.78
26,06시 4구간,147.73
27,07시 1구간,147.73
28,07시 2구간,147.73
29,07시 3구간,147.73
30,07시 4구간,139.21
31,08시 1구간,138.9
32,08시 2구간,138.9
33,08시 3구간,138.9
34,08시 4구간,138.9
35,09시 1구간,105.2
36,09시 2구간,105.2
37,09시 3구간,105.2
38,09시 4구간,105.2
39,10시 1구간,-79.06
40,10시 2구간,-79.06
41,10시 3구간,-77.94
42,10시 4구간,-79.06
43,11시 1구간,139.21
44,11시 2구간,-2.0
45,11시 3구간,-39.53
46,11시 4구간,-39.53
47,12시 1구간,-79.06
48,12시 2구간,-79.06
49,12시 3구간,-79.06
50,12시 4구간,-79.06
51,13시 1구간,-79.06
52,13시 2구간,-79.06
53,13시 3구간,-79.06
54,13시 4구간,-77.94
55,14시 1구간,-2.0
56,14시 2구간,139.18
57,14시 3구간,139.18
58,14시 4구간,139.18
59,15시 1구간,-77.94
60,15시 2구간,-2.0
61,15시 3구간,-79.06
62,15시 4구간,-0.11
63,16시 1구간,-2.0
64,16시 2구간,145.74
65,16시 3구간,145.74
66,16시 4구간,-1.12
67,17시 1구간,149.71
68,17시 2구간,150.44
69,17시 3구간,150.44
70,17시 4구간,150.67
71,18시 1구간,150.48
72,18시 2구간,150.48
73,18시 3구간,150.48
74,18시 4구간,150.48
75,19시 1구간,150.8
76,19시 2구간,150.8
77,19시 3구간,150.8
78,19시 4구간,150.8
79,20시 1구간,150.88
80,20시 2구간,150.88
81,20시 3구간,150.88
82,20시 4구간,150.88
83,21시 1구간,150.88
84,21시 2구간,150.88
85,21시 3구간,150.88
86,21시 4구간,150.88
87,22시 1구간,150.88
88,22시 2구간,150.93
89,22시 3구간,150.92
90,22시 4구간,150.91
91,23시 1구간,151.68
92,23시 2구간,151.05
93,23시 3구간,-0.04
94,23시 4구간,-0.04
95,24시 1구간,138.92
96,24시 2구간,138.92
97,24시 3구간,120.38
98,24시 4구간,120.52
