,시간,06-27 (목)
0,최대,151.09
1,최소,91.77
2,가중평균,133.25
3,01시 1구간,119.93
4,01시 2구간,119.93
5,01시 3구간,119.93
6,01시 4구간,119.93
7,02시 1구간,95.62
8,02시 2구간,95.62
9,02시 3구간,95.62
10,02시 4구간,95.62
11,03시 1구간,94.18
12,03시 2구간,94.18
13,03시 3구간,94.18
14,03시 4구간,94.18
15,04시 1구간,92.88
16,04시 2구간,92.88
17,04시 3구간,92.88
18,04시 4구간,92.88
19,05시 1구간,91.77
20,05시 2구간,91.77
21,05시 3구간,91.77
22,05시 4구간,91.77
23,06시 1구간,94.81
24,06시 2구간,94.81
25,06시 3구간,94.81
26,06시 4구간,94.81
27,07시 1구간,99.51
28,07시 2구간,99.51
29,07시 3구간,99.51
30,07시 4구간,99.51
31,08시 1구간,118.46
32,08시 2구간,118.46
33,08시 3구간,118.46
34,08시 4구간,118.46
35,09시 1구간,130.66
36,09시 2구간,130.66
37,09시 3구간,130.66
38,09시 4구간,130.66
39,10시 1구간,132.68
40,10시 2구간,132.68
41,10시 3구간,132.68
42,10시 4구간,132.68
43,11시 1구간,149.59
44,11시 2구간,149.59
45,11시 3구간,149.59
46,11시 4구간,149.56
47,12시 1구간,149.48
48,12시 2구간,149.48
49,12시 3구간,149.48
50,12시 4구간,149.48
51,13시 1구간,149.22
52,13시 2구간,149.22
53,13시 3구간,149.22
54,13시 4구간,149.22
55,14시 1구간,149.15
56,14시 2구간,149.15
57,14시 3구간,149.15
58,14시 4구간,149.15
59,15시 1구간,151.09
60,15시 2구간,151.09
61,15시 3구간,151.09
62,15시 4구간,151.09
63,16시 1구간,149.64
64,16시 2구간,149.64
65,16시 3구간,149.64
66,16시 4구간,149.64
67,17시 1구간,149.15
68,17시 2구간,149.15
69,17시 3구간,149.15
70,17시 4구간,149.15
71,18시 1구간,149.22
72,18시 2구간,149.22
73,18시 3구간,149.22
74,18시 4구간,149.22
75,19시 1구간,149.22
76,19시 2구간,149.22
77,19시 3구간,149.22
78,19시 4구간,149.22
79,20시 1구간,149.22
80,20시 2구간,149.22
81,20시 3구간,149.22
82,20시 4구간,149.22
83,21시 1구간,149.56
84,21시 2구간,149.56
85,21시 3구간,149.56
86,21시 4구간,149.53
87,22시 1구간,149.66
88,22시 2구간,149.71
89,22시 3구간,149.76
90,22시 4구간,149.8
91,23시 1구간,150.37
92,23시 2구간,150.37
93,23시 3구간,149.67
94,23시 4구간,124.02
95,24시 1구간,113.67
96,24시 2구간,113.67
97,24시 3구간,113.67
98,24시 4구간,113.67
