,시간,07-14 (일)
0,최대,154.79
1,최소,95.65
2,가중평균,125.83
3,01시 1구간,101.49
4,01시 2구간,101.49
5,01시 3구간,101.49
6,01시 4구간,101.49
7,02시 1구간,100.57
8,02시 2구간,100.57
9,02시 3구간,100.57
10,02시 4구간,100.57
11,03시 1구간,100.62
12,03시 2구간,100.62
13,03시 3구간,100.62
14,03시 4구간,100.62
15,04시 1구간,95.65
16,04시 2구간,95.65
17,04시 3구간,95.65
18,04시 4구간,95.65
19,05시 1구간,95.75
20,05시 2구간,95.75
21,05시 3구간,95.75
22,05시 4구간,95.75
23,06시 1구간,95.75
24,06시 2구간,95.75
25,06시 3구간,95.75
26,06시 4구간,95.75
27,07시 1구간,100.62
28,07시 2구간,100.62
29,07시 3구간,100.62
30,07시 4구간,100.62
31,08시 1구간,101.08
32,08시 2구간,101.08
33,08시 3구간,101.08
34,08시 4구간,101.08
35,09시 1구간,101.34
36,09시 2구간,101.34
37,09시 3구간,101.34
38,09시 4구간,101.34
39,10시 1구간,104.71
40,10시 2구간,104.71
41,10시 3구간,104.71
42,10시 4구간,104.71
43,11시 1구간,119.41
44,11시 2구간,119.41
45,11시 3구간,119.41
46,11시 4구간,119.41
47,12시 1구간,135.04
48,12시 2구간,135.04
49,12시 3구간,135.04
50,12시 4구간,135.04
51,13시 1구간,135.0
52,13시 2구간,135.0
53,13시 3구간,135.0
54,13시 4구간,135.0
55,14시 1구간,138.25
56,14시 2구간,138.25
57,14시 3구간,138.25
58,14시 4구간,138.25
59,15시 1구간,138.25
60,15시 2구간,138.25
61,15시 3구간,138.25
62,15시 4구간,138.25
63,16시 1구간,138.25
64,16시 2구간,138.25
65,16시 3구간,138.25
66,16시 4구간,138.25
67,17시 1구간,138.25
68,17시 2구간,138.25
69,17시 3구간,138.25
70,17시 4구간,138.25
71,18시 1구간,138.25
72,18시 2구간,138.25
73,18시 3구간,138.25
74,18시 4구간,151.95
75,19시 1구간,151.95
76,19시 2구간,151.95
77,19시 3구간,151.95
78,19시 4구간,151.95
79,20시 1구간,154.09
80,20시 2구간,154.09
81,20시 3구간,154.09
82,20시 4구간,154.26
83,21시 1구간,154.6
84,21시 2구간,154.6
85,21시 3구간,154.68
86,21시 4구간,154.79
87,22시 1구간,152.33
88,22시 2구간,152.3
89,22시 3구간,152.28
90,22시 4구간,152.26
91,23시 1구간,151.86
92,23시 2구간,152.11
93,23시 3구간,152.22
94,23시 4구간,135.52
95,24시 1구간,121.24
96,24시 2구간,121.24
97,24시 3구간,121.24
98,24시 4구간,121.24
