,시간,06-03 (월)
0,최대,155.37
1,최소,-75.58
2,가중평균,123.47
3,01시 1구간,87.32
4,01시 2구간,87.32
5,01시 3구간,87.32
6,01시 4구간,87.32
7,02시 1구간,90.06
8,02시 2구간,90.06
9,02시 3구간,90.06
10,02시 4구간,90.06
11,03시 1구간,80.89
12,03시 2구간,80.89
13,03시 3구간,80.89
14,03시 4구간,80.89
15,04시 1구간,80.89
16,04시 2구간,80.89
17,04시 3구간,80.89
18,04시 4구간,80.89
19,05시 1구간,80.89
20,05시 2구간,80.89
21,05시 3구간,80.89
22,05시 4구간,80.89
23,06시 1구간,87.32
24,06시 2구간,87.32
25,06시 3구간,87.32
26,06시 4구간,87.32
27,07시 1구간,97.58
28,07시 2구간,97.58
29,07시 3구간,97.58
30,07시 4구간,97.58
31,08시 1구간,110.53
32,08시 2구간,110.53
33,08시 3구간,110.53
34,08시 4구간,110.53
35,09시 1구간,136.74
36,09시 2구간,136.74
37,09시 3구간,117.36
38,09시 4구간,136.74
39,10시 1구간,139.78
40,10시 2구간,139.78
41,10시 3구간,139.78
42,10시 4구간,139.78
43,11시 1구간,151.14
44,11시 2구간,151.14
45,11시 3구간,151.14
46,11시 4구간,-75.58
47,12시 1구간,135.55
48,12시 2구간,135.55
49,12시 3구간,135.55
50,12시 4구간,0.0
51,13시 1구간,132.78
52,13시 2구간,132.78
53,13시 3구간,132.78
54,13시 4구간,132.78
55,14시 1구간,135.82
56,14시 2구간,135.82
57,14시 3구간,135.82
58,14시 4구간,135.82
59,15시 1구간,117.5
60,15시 2구간,140.62
61,15시 3구간,140.62
62,15시 4구간,140.62
63,16시 1구간,117.16
64,16시 2구간,118.04
65,16시 3구간,136.56
66,16시 4구간,136.56
67,17시 1구간,155.36
68,17시 2구간,155.36
69,17시 3구간,155.36
70,17시 4구간,155.37
71,18시 1구간,134.59
72,18시 2구간,134.59
73,18시 3구간,134.59
74,18시 4구간,153.04
75,19시 1구간,134.59
76,19시 2구간,134.59
77,19시 3구간,134.59
78,19시 4구간,134.59
79,20시 1구간,153.13
80,20시 2구간,153.13
81,20시 3구간,153.13
82,20시 4구간,153.13
83,21시 1구간,154.01
84,21시 2구간,154.01
85,21시 3구간,154.01
86,21시 4구간,154.01
87,22시 1구간,154.58
88,22시 2구간,154.58
89,22시 3구간,154.58
90,22시 4구간,154.59
91,23시 1구간,154.63
92,23시 2구간,153.79
93,23시 3구간,153.79
94,23시 4구간,153.79
95,24시 1구간,149.58
96,24시 2구간,153.41
97,24시 3구간,151.85
98,24시 4구간,123.12
