,시간,07-18 (목)
0,최대,154.89
1,최소,100.14
2,가중평균,137.35
3,01시 1구간,132.94
4,01시 2구간,132.94
5,01시 3구간,132.94
6,01시 4구간,132.94
7,02시 1구간,112.47
8,02시 2구간,112.47
9,02시 3구간,112.47
10,02시 4구간,112.47
11,03시 1구간,103.29
12,03시 2구간,103.29
13,03시 3구간,103.29
14,03시 4구간,103.29
15,04시 1구간,100.14
16,04시 2구간,100.14
17,04시 3구간,100.14
18,04시 4구간,100.14
19,05시 1구간,100.14
20,05시 2구간,100.14
21,05시 3구간,100.14
22,05시 4구간,100.14
23,06시 1구간,103.44
24,06시 2구간,103.44
25,06시 3구간,103.44
26,06시 4구간,103.44
27,07시 1구간,136.42
28,07시 2구간,136.42
29,07시 3구간,136.42
30,07시 4구간,136.42
31,08시 1구간,138.51
32,08시 2구간,138.51
33,08시 3구간,138.51
34,08시 4구간,138.51
35,09시 1구간,137.84
36,09시 2구간,137.84
37,09시 3구간,137.84
38,09시 4구간,137.84
39,10시 1구간,141.38
40,10시 2구간,141.38
41,10시 3구간,141.38
42,10시 4구간,141.38
43,11시 1구간,141.47
44,11시 2구간,141.47
45,11시 3구간,141.47
46,11시 4구간,141.47
47,12시 1구간,141.48
48,12시 2구간,141.48
49,12시 3구간,141.48
50,12시 4구간,141.48
51,13시 1구간,141.86
52,13시 2구간,141.86
53,13시 3구간,141.86
54,13시 4구간,141.86
55,14시 1구간,141.86
56,14시 2구간,141.86
57,14시 3구간,141.86
58,14시 4구간,141.86
59,15시 1구간,141.85
60,15시 2구간,141.85
61,15시 3구간,141.85
62,15시 4구간,141.85
63,16시 1구간,141.82
64,16시 2구간,141.82
65,16시 3구간,141.82
66,16시 4구간,141.82
67,17시 1구간,141.3
68,17시 2구간,141.3
69,17시 3구간,141.3
70,17시 4구간,141.3
71,18시 1구간,140.58
72,18시 2구간,140.58
73,18시 3구간,140.58
74,18시 4구간,140.58
75,19시 1구간,140.52
76,19시 2구간,140.52
77,19시 3구간,140.52
78,19시 4구간,140.52
79,20시 1구간,153.12
80,20시 2구간,153.19
81,20시 3구간,153.18
82,20시 4구간,153.16
83,21시 1구간,153.38
84,21시 2구간,153.36
85,21시 3구간,153.34
86,21시 4구간,153.32
87,22시 1구간,153.31
88,22시 2구간,153.29
89,22시 3구간,153.24
90,22시 4구간,153.24
91,23시 1구간,154.87
92,23시 2구간,154.89
93,23시 3구간,154.81
94,23시 4구간,154.81
95,24시 1구간,153.12
96,24시 2구간,153.12
97,24시 3구간,153.05
98,24시 4구간,136.03
