,시간,07-16 (화)
0,최대,154.52
1,최소,99.41
2,가중평균,134.37
3,01시 1구간,124.19
4,01시 2구간,124.19
5,01시 3구간,124.19
6,01시 4구간,124.19
7,02시 1구간,103.5
8,02시 2구간,103.5
9,02시 3구간,103.5
10,02시 4구간,103.5
11,03시 1구간,99.41
12,03시 2구간,99.41
13,03시 3구간,99.41
14,03시 4구간,99.41
15,04시 1구간,99.41
16,04시 2구간,99.41
17,04시 3구간,99.41
18,04시 4구간,99.41
19,05시 1구간,99.41
20,05시 2구간,99.41
21,05시 3구간,99.41
22,05시 4구간,99.41
23,06시 1구간,99.41
24,06시 2구간,99.41
25,06시 3구간,99.41
26,06시 4구간,99.41
27,07시 1구간,103.5
28,07시 2구간,103.5
29,07시 3구간,103.5
30,07시 4구간,103.5
31,08시 1구간,132.24
32,08시 2구간,132.24
33,08시 3구간,132.24
34,08시 4구간,132.24
35,09시 1구간,138.4
36,09시 2구간,138.4
37,09시 3구간,138.4
38,09시 4구간,138.4
39,10시 1구간,142.12
40,10시 2구간,142.12
41,10시 3구간,142.12
42,10시 4구간,142.12
43,11시 1구간,143.7
44,11시 2구간,143.7
45,11시 3구간,143.7
46,11시 4구간,143.7
47,12시 1구간,154.52
48,12시 2구간,154.52
49,12시 3구간,154.52
50,12시 4구간,154.27
51,13시 1구간,142.91
52,13시 2구간,142.91
53,13시 3구간,142.91
54,13시 4구간,142.91
55,14시 1구간,143.94
56,14시 2구간,143.94
57,14시 3구간,143.94
58,14시 4구간,143.94
59,15시 1구간,143.35
60,15시 2구간,143.35
61,15시 3구간,143.35
62,15시 4구간,143.35
63,16시 1구간,142.91
64,16시 2구간,142.91
65,16시 3구간,142.91
66,16시 4구간,142.91
67,17시 1구간,143.7
68,17시 2구간,143.7
69,17시 3구간,143.7
70,17시 4구간,143.7
71,18시 1구간,142.91
72,18시 2구간,142.91
73,18시 3구간,142.91
74,18시 4구간,142.91
75,19시 1구간,138.38
76,19시 2구간,138.38
77,19시 3구간,138.38
78,19시 4구간,138.38
79,20시 1구간,138.39
80,20시 2구간,138.39
81,20시 3구간,138.39
82,20시 4구간,138.39
83,21시 1구간,152.85
84,21시 2구간,152.81
85,21시 3구간,152.78
86,21시 4구간,152.75
87,22시 1구간,152.79
88,22시 2구간,152.78
89,22시 3구간,152.76
90,22시 4구간,152.84
91,23시 1구간,152.98
92,23시 2구간,133.68
93,23시 3구간,133.68
94,23시 4구간,133.68
95,24시 1구간,132.47
96,24시 2구간,132.47
97,24시 3구간,132.47
98,24시 4구간,132.47
