,시간,08-30 (금)
0,최대,163.06
1,최소,106.4
2,가중평균,142.58
3,01시 1구간,128.88
4,01시 2구간,128.88
5,01시 3구간,128.88
6,01시 4구간,128.88
7,02시 1구간,106.94
8,02시 2구간,106.94
9,02시 3구간,106.94
10,02시 4구간,106.94
11,03시 1구간,106.4
12,03시 2구간,106.4
13,03시 3구간,106.4
14,03시 4구간,106.4
15,04시 1구간,106.65
16,04시 2구간,106.65
17,04시 3구간,106.65
18,04시 4구간,106.65
19,05시 1구간,106.43
20,05시 2구간,106.43
21,05시 3구간,106.43
22,05시 4구간,106.43
23,06시 1구간,106.94
24,06시 2구간,106.94
25,06시 3구간,106.94
26,06시 4구간,106.94
27,07시 1구간,106.97
28,07시 2구간,106.97
29,07시 3구간,106.97
30,07시 4구간,106.97
31,08시 1구간,142.87
32,08시 2구간,142.87
33,08시 3구간,142.87
34,08시 4구간,142.87
35,09시 1구간,145.49
36,09시 2구간,145.49
37,09시 3구간,145.49
38,09시 4구간,145.49
39,10시 1구간,146.44
40,10시 2구간,146.44
41,10시 3구간,146.44
42,10시 4구간,146.44
43,11시 1구간,149.06
44,11시 2구간,149.06
45,11시 3구간,149.06
46,11시 4구간,149.06
47,12시 1구간,149.05
48,12시 2구간,149.05
49,12시 3구간,149.05
50,12시 4구간,149.05
51,13시 1구간,147.45
52,13시 2구간,147.45
53,13시 3구간,147.45
54,13시 4구간,147.45
55,14시 1구간,149.05
56,14시 2구간,149.05
57,14시 3구간,149.05
58,14시 4구간,149.05
59,15시 1구간,157.72
60,15시 2구간,157.72
61,15시 3구간,156.32
62,15시 4구간,156.32
63,16시 1구간,159.32
64,16시 2구간,159.32
65,16시 3구간,159.32
66,16시 4구간,159.32
67,17시 1구간,155.89
68,17시 2구간,156.07
69,17시 3구간,156.25
70,17시 4구간,156.44
71,18시 1구간,156.74
72,18시 2구간,156.84
73,18시 3구간,163.06
74,18시 4구간,163.03
75,19시 1구간,155.52
76,19시 2구간,155.58
77,19시 3구간,155.65
78,19시 4구간,155.7
79,20시 1구간,160.09
80,20시 2구간,160.0
81,20시 3구간,159.92
82,20시 4구간,159.85
83,21시 1구간,159.93
84,21시 2구간,159.85
85,21시 3구간,159.78
86,21시 4구간,159.72
87,22시 1구간,160.05
88,22시 2구간,160.07
89,22시 3구간,160.34
90,22시 4구간,144.21
91,23시 1구간,143.48
92,23시 2구간,143.48
93,23시 3구간,143.48
94,23시 4구간,143.48
95,24시 1구간,141.6
96,24시 2구간,141.6
97,24시 3구간,141.6
98,24시 4구간,141.6
