,시간,05-20 (월)
0,최대,157.59
1,최소,-79.06
2,가중평균,106.86
3,01시 1구간,92.97
4,01시 2구간,92.97
5,01시 3구간,92.97
6,01시 4구간,92.97
7,02시 1구간,89.65
8,02시 2구간,89.65
9,02시 3구간,89.65
10,02시 4구간,89.65
11,03시 1구간,89.24
12,03시 2구간,89.24
13,03시 3구간,89.24
14,03시 4구간,89.24
15,04시 1구간,89.24
16,04시 2구간,89.24
17,04시 3구간,89.24
18,04시 4구간,89.24
19,05시 1구간,92.97
20,05시 2구간,92.97
21,05시 3구간,92.97
22,05시 4구간,92.97
23,06시 1구간,92.97
24,06시 2구간,92.97
25,06시 3구간,92.97
26,06시 4구간,92.97
27,07시 1구간,96.19
28,07시 2구간,96.19
29,07시 3구간,96.19
30,07시 4구간,96.19
31,08시 1구간,113.89
32,08시 2구간,113.89
33,08시 3구간,113.89
34,08시 4구간,113.89
35,09시 1구간,139.14
36,09시 2구간,139.14
37,09시 3구간,139.14
38,09시 4구간,120.49
39,10시 1구간,-78.27
40,10시 2구간,-79.06
41,10시 3구간,-79.06
42,10시 4구간,-79.06
43,11시 1구간,-79.06
44,11시 2구간,-79.06
45,11시 3구간,-79.06
46,11시 4구간,-79.06
47,12시 1구간,120.7
48,12시 2구간,-79.06
49,12시 3구간,-79.06
50,12시 4구간,119.72
51,13시 1구간,120.73
52,13시 2구간,121.24
53,13시 3구간,121.76
54,13시 4구간,139.12
55,14시 1구간,141.02
56,14시 2구간,141.02
57,14시 3구간,141.02
58,14시 4구간,141.02
59,15시 1구간,145.22
60,15시 2구간,145.22
61,15시 3구간,145.22
62,15시 4구간,145.22
63,16시 1구간,147.09
64,16시 2구간,147.09
65,16시 3구간,147.09
66,16시 4구간,147.09
67,17시 1구간,157.59
68,17시 2구간,157.59
69,17시 3구간,157.59
70,17시 4구간,156.98
71,18시 1구간,156.98
72,18시 2구간,156.98
73,18시 3구간,156.98
74,18시 4구간,156.96
75,19시 1구간,157.23
76,19시 2구간,157.23
77,19시 3구간,157.23
78,19시 4구간,157.19
79,20시 1구간,151.12
80,20시 2구간,151.12
81,20시 3구간,151.12
82,20시 4구간,151.12
83,21시 1구간,143.85
84,21시 2구간,143.85
85,21시 3구간,143.85
86,21시 4구간,143.85
87,22시 1구간,152.54
88,22시 2구간,152.54
89,22시 3구간,152.54
90,22시 4구간,152.54
91,23시 1구간,127.69
92,23시 2구간,127.69
93,23시 3구간,127.69
94,23시 4구간,127.69
95,24시 1구간,114.34
96,24시 2구간,114.34
97,24시 3구간,114.34
98,24시 4구간,114.34
