,시간,09-13 (금)
0,최대,228.65
1,최소,138.08
2,가중평균,159.06
3,01시 1구간,
4,01시 2구간,
5,01시 3구간,144.45
6,01시 4구간,163.02
7,02시 1구간,138.08
8,02시 2구간,138.08
9,02시 3구간,138.08
10,02시 4구간,138.08
11,03시 1구간,138.08
12,03시 2구간,138.08
13,03시 3구간,138.08
14,03시 4구간,138.08
15,04시 1구간,138.08
16,04시 2구간,138.08
17,04시 3구간,138.08
18,04시 4구간,138.08
19,05시 1구간,138.08
20,05시 2구간,138.08
21,05시 3구간,138.08
22,05시 4구간,138.08
23,06시 1구간,142.26
24,06시 2구간,142.26
25,06시 3구간,142.26
26,06시 4구간,142.26
27,07시 1구간,160.82
28,07시 2구간,160.65
29,07시 3구간,160.49
30,07시 4구간,158.53
31,08시 1구간,158.84
32,08시 2구간,158.84
33,08시 3구간,158.84
34,08시 4구간,158.84
35,09시 1구간,159.38
36,09시 2구간,159.38
37,09시 3구간,159.38
38,09시 4구간,159.41
39,10시 1구간,159.07
40,10시 2구간,159.07
41,10시 3구간,159.07
42,10시 4구간,158.93
43,11시 1구간,158.93
44,11시 2구간,158.93
45,11시 3구간,159.6
46,11시 4구간,159.69
47,12시 1구간,151.1
48,12시 2구간,151.1
49,12시 3구간,151.1
50,12시 4구간,151.1
51,13시 1구간,145.56
52,13시 2구간,145.56
53,13시 3구간,145.56
54,13시 4구간,145.56
55,14시 1구간,160.32
56,14시 2구간,160.32
57,14시 3구간,160.32
58,14시 4구간,160.45
59,15시 1구간,160.45
60,15시 2구간,160.45
61,15시 3구간,160.45
62,15시 4구간,160.45
63,16시 1구간,160.45
64,16시 2구간,160.45
65,16시 3구간,160.45
66,16시 4구간,159.39
67,17시 1구간,159.67
68,17시 2구간,159.67
69,17시 3구간,159.67
70,17시 4구간,160.58
71,18시 1구간,160.58
72,18시 2구간,160.58
73,18시 3구간,228.65
74,18시 4구간,210.75
75,19시 1구간,160.88
76,19시 2구간,210.53
77,19시 3구간,218.81
78,19시 4구간,224.42
79,20시 1구간,160.87
80,20시 2구간,160.9
81,20시 3구간,160.97
82,20시 4구간,160.29
83,21시 1구간,160.53
84,21시 2구간,160.54
85,21시 3구간,160.49
86,21시 4구간,161.43
87,22시 1구간,160.14
88,22시 2구간,158.86
89,22시 3구간,158.63
90,22시 4구간,158.63
91,23시 1구간,159.02
92,23시 2구간,159.02
93,23시 3구간,159.02
94,23시 4구간,159.02
95,24시 1구간,159.02
96,24시 2구간,159.02
97,24시 3구간,158.27
98,24시 4구간,158.26
