,시간,09-23 (월)
0,최대,163.31
1,최소,106.57
2,가중평균,142.11
3,01시 1구간,131.98
4,01시 2구간,131.98
5,01시 3구간,131.98
6,01시 4구간,131.98
7,02시 1구간,106.57
8,02시 2구간,106.57
9,02시 3구간,106.57
10,02시 4구간,106.57
11,03시 1구간,106.57
12,03시 2구간,106.57
13,03시 3구간,106.57
14,03시 4구간,106.57
15,04시 1구간,106.57
16,04시 2구간,106.57
17,04시 3구간,106.57
18,04시 4구간,106.57
19,05시 1구간,106.57
20,05시 2구간,106.57
21,05시 3구간,106.57
22,05시 4구간,106.57
23,06시 1구간,106.57
24,06시 2구간,106.57
25,06시 3구간,106.57
26,06시 4구간,106.57
27,07시 1구간,106.57
28,07시 2구간,106.57
29,07시 3구간,106.57
30,07시 4구간,106.57
31,08시 1구간,141.99
32,08시 2구간,141.99
33,08시 3구간,141.99
34,08시 4구간,141.99
35,09시 1구간,142.65
36,09시 2구간,142.65
37,09시 3구간,142.65
38,09시 4구간,142.65
39,10시 1구간,147.22
40,10시 2구간,147.22
41,10시 3구간,147.22
42,10시 4구간,147.22
43,11시 1구간,147.67
44,11시 2구간,147.67
45,11시 3구간,147.67
46,11시 4구간,147.67
47,12시 1구간,147.58
48,12시 2구간,147.58
49,12시 3구간,147.58
50,12시 4구간,147.58
51,13시 1구간,147.6
52,13시 2구간,147.6
53,13시 3구간,147.6
54,13시 4구간,147.6
55,14시 1구간,153.67
56,14시 2구간,153.67
57,14시 3구간,153.67
58,14시 4구간,153.67
59,15시 1구간,163.31
60,15시 2구간,163.31
61,15시 3구간,163.31
62,15시 4구간,163.31
63,16시 1구간,155.37
64,16시 2구간,155.37
65,16시 3구간,155.37
66,16시 4구간,155.37
67,17시 1구간,154.69
68,17시 2구간,154.69
69,17시 3구간,157.38
70,17시 4구간,156.79
71,18시 1구간,156.79
72,18시 2구간,156.79
73,18시 3구간,156.79
74,18시 4구간,156.67
75,19시 1구간,156.74
76,19시 2구간,156.91
77,19시 3구간,157.06
78,19시 4구간,157.19
79,20시 1구간,157.47
80,20시 2구간,157.64
81,20시 3구간,157.8
82,20시 4구간,157.94
83,21시 1구간,156.62
84,21시 2구간,156.79
85,21시 3구간,156.79
86,21시 4구간,157.11
87,22시 1구간,156.76
88,22시 2구간,156.88
89,22시 3구간,156.98
90,22시 4구간,157.08
91,23시 1구간,147.39
92,23시 2구간,147.39
93,23시 3구간,147.39
94,23시 4구간,147.39
95,24시 1구간,142.65
96,24시 2구간,142.65
97,24시 3구간,142.65
98,24시 4구간,142.65
