,시간,10-14 (월)
0,최대,161.25
1,최소,86.58
2,가중평균,130.02
3,01시 1구간,100.91
4,01시 2구간,100.91
5,01시 3구간,100.91
6,01시 4구간,100.91
7,02시 1구간,92.02
8,02시 2구간,92.02
9,02시 3구간,92.02
10,02시 4구간,92.02
11,03시 1구간,86.58
12,03시 2구간,86.58
13,03시 3구간,86.58
14,03시 4구간,86.58
15,04시 1구간,86.58
16,04시 2구간,86.58
17,04시 3구간,86.58
18,04시 4구간,86.58
19,05시 1구간,86.58
20,05시 2구간,86.58
21,05시 3구간,86.58
22,05시 4구간,86.58
23,06시 1구간,86.58
24,06시 2구간,86.58
25,06시 3구간,86.58
26,06시 4구간,86.58
27,07시 1구간,92.74
28,07시 2구간,92.74
29,07시 3구간,92.74
30,07시 4구간,92.74
31,08시 1구간,105.19
32,08시 2구간,105.19
33,08시 3구간,105.19
34,08시 4구간,105.19
35,09시 1구간,137.39
36,09시 2구간,137.39
37,09시 3구간,137.39
38,09시 4구간,137.39
39,10시 1구간,161.25
40,10시 2구간,161.25
41,10시 3구간,161.25
42,10시 4구간,161.25
43,11시 1구간,152.83
44,11시 2구간,152.83
45,11시 3구간,152.83
46,11시 4구간,152.92
47,12시 1구간,153.26
48,12시 2구간,153.26
49,12시 3구간,153.26
50,12시 4구간,153.26
51,13시 1구간,137.7
52,13시 2구간,137.7
53,13시 3구간,137.7
54,13시 4구간,137.7
55,14시 1구간,153.39
56,14시 2구간,153.39
57,14시 3구간,153.39
58,14시 4구간,153.39
59,15시 1구간,153.39
60,15시 2구간,153.39
61,15시 3구간,140.57
62,15시 4구간,140.57
63,16시 1구간,148.44
64,16시 2구간,148.44
65,16시 3구간,148.44
66,16시 4구간,148.44
67,17시 1구간,150.11
68,17시 2구간,154.15
69,17시 3구간,154.15
70,17시 4구간,153.96
71,18시 1구간,152.78
72,18시 2구간,152.78
73,18시 3구간,152.78
74,18시 4구간,152.97
75,19시 1구간,152.97
76,19시 2구간,152.97
77,19시 3구간,152.97
78,19시 4구간,152.97
79,20시 1구간,137.7
80,20시 2구간,137.7
81,20시 3구간,137.7
82,20시 4구간,137.7
83,21시 1구간,137.16
84,21시 2구간,137.16
85,21시 3구간,137.16
86,21시 4구간,137.16
87,22시 1구간,136.67
88,22시 2구간,136.67
89,22시 3구간,136.67
90,22시 4구간,136.67
91,23시 1구간,130.5
92,23시 2구간,130.5
93,23시 3구간,130.5
94,23시 4구간,130.5
95,24시 1구간,105.28
96,24시 2구간,105.28
97,24시 3구간,105.28
98,24시 4구간,105.28
