,시간,04-25 (목)
0,최대,155.59
1,최소,-79.32
2,가중평균,124.59
3,01시 1구간,153.63
4,01시 2구간,153.63
5,01시 3구간,153.63
6,01시 4구간,154.43
7,02시 1구간,154.43
8,02시 2구간,153.74
9,02시 3구간,141.9
10,02시 4구간,141.9
11,03시 1구간,141.87
12,03시 2구간,141.87
13,03시 3구간,141.87
14,03시 4구간,141.87
15,04시 1구간,116.33
16,04시 2구간,116.33
17,04시 3구간,116.33
18,04시 4구간,116.33
19,05시 1구간,141.88
20,05시 2구간,154.79
21,05시 3구간,154.79
22,05시 4구간,154.79
23,06시 1구간,154.79
24,06시 2구간,154.87
25,06시 3구간,154.82
26,06시 4구간,154.82
27,07시 1구간,154.96
28,07시 2구간,154.96
29,07시 3구간,154.96
30,07시 4구간,151.19
31,08시 1구간,141.91
32,08시 2구간,141.91
33,08시 3구간,141.91
34,08시 4구간,141.91
35,09시 1구간,153.56
36,09시 2구간,153.56
37,09시 3구간,153.56
38,09시 4구간,-39.66
39,10시 1구간,142.29
40,10시 2구간,142.29
41,10시 3구간,142.29
42,10시 4구간,-79.32
43,11시 1구간,-79.32
44,11시 2구간,0.0
45,11시 3구간,-39.66
46,11시 4구간,-79.32
47,12시 1구간,0.0
48,12시 2구간,0.0
49,12시 3구간,0.0
50,12시 4구간,-2.0
51,13시 1구간,-1.2
52,13시 2구간,-1.2
53,13시 3구간,114.07
54,13시 4구간,114.07
55,14시 1구간,131.71
56,14시 2구간,131.71
57,14시 3구간,131.71
58,14시 4구간,131.71
59,15시 1구간,131.71
60,15시 2구간,131.71
61,15시 3구간,131.71
62,15시 4구간,131.71
63,16시 1구간,131.71
64,16시 2구간,131.71
65,16시 3구간,-79.32
66,16시 4구간,131.71
67,17시 1구간,130.07
68,17시 2구간,130.07
69,17시 3구간,130.07
70,17시 4구간,130.07
71,18시 1구간,135.85
72,18시 2구간,135.85
73,18시 3구간,135.85
74,18시 4구간,135.85
75,19시 1구간,154.22
76,19시 2구간,154.22
77,19시 3구간,154.37
78,19시 4구간,154.29
79,20시 1구간,155.53
80,20시 2구간,155.37
81,20시 3구간,155.41
82,20시 4구간,155.32
83,21시 1구간,155.42
84,21시 2구간,155.49
85,21시 3구간,155.56
86,21시 4구간,155.59
87,22시 1구간,154.77
88,22시 2구간,154.77
89,22시 3구간,154.77
90,22시 4구간,154.74
91,23시 1구간,154.82
92,23시 2구간,155.24
93,23시 3구간,154.89
94,23시 4구간,154.89
95,24시 1구간,154.61
96,24시 2구간,154.61
97,24시 3구간,154.61
98,24시 4구간,154.61
