,시간,05-30 (목)
0,최대,152.77
1,최소,0.0
2,가중평균,139.13
3,01시 1구간,0.0
4,01시 2구간,149.47
5,01시 3구간,149.46
6,01시 4구간,150.8
7,02시 1구간,150.97
8,02시 2구간,148.94
9,02시 3구간,147.85
10,02시 4구간,140.36
11,03시 1구간,146.05
12,03시 2구간,144.75
13,03시 3구간,144.75
14,03시 4구간,138.94
15,04시 1구간,102.16
16,04시 2구간,102.16
17,04시 3구간,102.16
18,04시 4구간,102.16
19,05시 1구간,102.16
20,05시 2구간,102.16
21,05시 3구간,102.16
22,05시 4구간,102.16
23,06시 1구간,138.65
24,06시 2구간,138.65
25,06시 3구간,138.65
26,06시 4구간,138.65
27,07시 1구간,117.22
28,07시 2구간,117.22
29,07시 3구간,117.22
30,07시 4구간,117.22
31,08시 1구간,126.43
32,08시 2구간,126.43
33,08시 3구간,126.43
34,08시 4구간,126.43
35,09시 1구간,138.84
36,09시 2구간,138.84
37,09시 3구간,138.84
38,09시 4구간,
39,10시 1구간,
40,10시 2구간,
41,10시 3구간,143.23
42,10시 4구간,143.23
43,11시 1구간,140.54
44,11시 2구간,140.54
45,11시 3구간,140.54
46,11시 4구간,140.54
47,12시 1구간,143.0
48,12시 2구간,143.0
49,12시 3구간,143.0
50,12시 4구간,143.0
51,13시 1구간,139.75
52,13시 2구간,139.75
53,13시 3구간,139.75
54,13시 4구간,139.75
55,14시 1구간,139.74
56,14시 2구간,139.74
57,14시 3구간,139.74
58,14시 4구간,139.74
59,15시 1구간,139.74
60,15시 2구간,139.74
61,15시 3구간,139.74
62,15시 4구간,139.74
63,16시 1구간,139.55
64,16시 2구간,139.55
65,16시 3구간,139.55
66,16시 4구간,139.55
67,17시 1구간,147.12
68,17시 2구간,150.44
69,17시 3구간,150.44
70,17시 4구간,150.69
71,18시 1구간,150.69
72,18시 2구간,150.69
73,18시 3구간,150.69
74,18시 4구간,150.69
75,19시 1구간,152.77
76,19시 2구간,152.77
77,19시 3구간,152.77
78,19시 4구간,152.77
79,20시 1구간,152.58
80,20시 2구간,152.54
81,20시 3구간,152.51
82,20시 4구간,152.75
83,21시 1구간,150.23
84,21시 2구간,150.23
85,21시 3구간,151.69
86,21시 4구간,151.05
87,22시 1구간,151.05
88,22시 2구간,151.05
89,22시 3구간,151.05
90,22시 4구간,151.05
91,23시 1구간,151.05
92,23시 2구간,151.05
93,23시 3구간,148.07
94,23시 4구간,148.07
95,24시 1구간,148.39
96,24시 2구간,148.39
97,24시 3구간,148.39
98,24시 4구간,148.39
