,시간,03-04 (월)
0,최대,325.55
1,최소,-19.0
2,가중평균,147.54
3,01시 1구간,172.09
4,01시 2구간,168.4
5,01시 3구간,167.37
6,01시 4구간,165.08
7,02시 1구간,159.25
8,02시 2구간,162.24
9,02시 3구간,86.82
10,02시 4구간,86.82
11,03시 1구간,80.97
12,03시 2구간,80.97
13,03시 3구간,80.97
14,03시 4구간,80.97
15,04시 1구간,323.67
16,04시 2구간,325.55
17,04시 3구간,80.97
18,04시 4구간,80.97
19,05시 1구간,80.97
20,05시 2구간,80.97
21,05시 3구간,80.97
22,05시 4구간,80.97
23,06시 1구간,81.81
24,06시 2구간,163.78
25,06시 3구간,164.5
26,06시 4구간,164.72
27,07시 1구간,167.94
28,07시 2구간,169.05
29,07시 3구간,169.23
30,07시 4구간,172.59
31,08시 1구간,172.76
32,08시 2구간,172.77
33,08시 3구간,172.76
34,08시 4구간,170.66
35,09시 1구간,173.82
36,09시 2구간,173.82
37,09시 3구간,173.82
38,09시 4구간,173.82
39,10시 1구간,175.21
40,10시 2구간,175.21
41,10시 3구간,175.21
42,10시 4구간,175.21
43,11시 1구간,165.36
44,11시 2구간,160.61
45,11시 3구간,160.61
46,11시 4구간,160.61
47,12시 1구간,154.06
48,12시 2구간,154.06
49,12시 3구간,154.06
50,12시 4구간,154.06
51,13시 1구간,146.22
52,13시 2구간,146.22
53,13시 3구간,0.0
54,13시 4구간,-19.0
55,14시 1구간,0.0
56,14시 2구간,150.25
57,14시 3구간,150.25
58,14시 4구간,150.25
59,15시 1구간,149.63
60,15시 2구간,149.63
61,15시 3구간,149.63
62,15시 4구간,149.63
63,16시 1구간,149.63
64,16시 2구간,149.63
65,16시 3구간,149.63
66,16시 4구간,149.63
67,17시 1구간,168.89
68,17시 2구간,168.89
69,17시 3구간,168.7
70,17시 4구간,169.0
71,18시 1구간,173.9
72,18시 2구간,173.9
73,18시 3구간,173.9
74,18시 4구간,174.67
75,19시 1구간,174.76
76,19시 2구간,174.76
77,19시 3구간,174.76
78,19시 4구간,174.76
79,20시 1구간,174.76
80,20시 2구간,174.76
81,20시 3구간,174.76
82,20시 4구간,174.76
83,21시 1구간,174.67
84,21시 2구간,174.67
85,21시 3구간,174.67
86,21시 4구간,174.67
87,22시 1구간,131.05
88,22시 2구간,131.05
89,22시 3구간,131.05
90,22시 4구간,131.05
91,23시 1구간,107.12
92,23시 2구간,107.12
93,23시 3구간,107.12
94,23시 4구간,107.12
95,24시 1구간,107.12
96,24시 2구간,107.12
97,24시 3구간,107.12
98,24시 4구간,107.12
