,시간,04-13 (토)
0,최대,162.35
1,최소,-79.32
2,가중평균,106.92
3,01시 1구간,100.36
4,01시 2구간,100.36
5,01시 3구간,100.36
6,01시 4구간,100.36
7,02시 1구간,92.86
8,02시 2구간,92.86
9,02시 3구간,92.86
10,02시 4구간,92.86
11,03시 1구간,86.9
12,03시 2구간,86.9
13,03시 3구간,86.9
14,03시 4구간,158.23
15,04시 1구간,86.9
16,04시 2구간,86.9
17,04시 3구간,86.9
18,04시 4구간,86.9
19,05시 1구간,86.9
20,05시 2구간,86.9
21,05시 3구간,86.9
22,05시 4구간,86.9
23,06시 1구간,100.94
24,06시 2구간,100.94
25,06시 3구간,100.94
26,06시 4구간,100.94
27,07시 1구간,101.13
28,07시 2구간,101.13
29,07시 3구간,101.13
30,07시 4구간,101.13
31,08시 1구간,92.86
32,08시 2구간,92.86
33,08시 3구간,92.86
34,08시 4구간,92.86
35,09시 1구간,96.25
36,09시 2구간,96.25
37,09시 3구간,96.25
38,09시 4구간,96.25
39,10시 1구간,98.07
40,10시 2구간,98.07
41,10시 3구간,98.07
42,10시 4구간,98.07
43,11시 1구간,98.09
44,11시 2구간,98.09
45,11시 3구간,98.09
46,11시 4구간,98.09
47,12시 1구간,97.68
48,12시 2구간,97.68
49,12시 3구간,97.68
50,12시 4구간,97.68
51,13시 1구간,96.23
52,13시 2구간,96.23
53,13시 3구간,96.23
54,13시 4구간,96.23
55,14시 1구간,95.49
56,14시 2구간,95.49
57,14시 3구간,95.49
58,14시 4구간,95.49
59,15시 1구간,95.65
60,15시 2구간,95.65
61,15시 3구간,95.65
62,15시 4구간,95.65
63,16시 1구간,96.38
64,16시 2구간,96.38
65,16시 3구간,96.38
66,16시 4구간,96.38
67,17시 1구간,-79.32
68,17시 2구간,97.68
69,17시 3구간,97.68
70,17시 4구간,97.68
71,18시 1구간,97.82
72,18시 2구간,97.82
73,18시 3구간,97.82
74,18시 4구간,97.82
75,19시 1구간,98.06
76,19시 2구간,98.06
77,19시 3구간,98.06
78,19시 4구간,98.06
79,20시 1구간,98.32
80,20시 2구간,98.32
81,20시 3구간,152.67
82,20시 4구간,98.32
83,21시 1구간,162.35
84,21시 2구간,161.73
85,21시 3구간,160.63
86,21시 4구간,145.68
87,22시 1구간,145.68
88,22시 2구간,145.68
89,22시 3구간,145.68
90,22시 4구간,145.68
91,23시 1구간,158.26
92,23시 2구간,158.0
93,23시 3구간,155.12
94,23시 4구간,146.34
95,24시 1구간,154.92
96,24시 2구간,154.7
97,24시 3구간,146.34
98,24시 4구간,156.33
