,시간,07-06 (토)
0,최대,155.6
1,최소,-74.47
2,가중평균,116.41
3,01시 1구간,135.42
4,01시 2구간,135.42
5,01시 3구간,135.42
6,01시 4구간,135.42
7,02시 1구간,124.67
8,02시 2구간,124.67
9,02시 3구간,124.67
10,02시 4구간,124.67
11,03시 1구간,104.81
12,03시 2구간,104.81
13,03시 3구간,104.81
14,03시 4구간,104.81
15,04시 1구간,100.89
16,04시 2구간,100.89
17,04시 3구간,100.89
18,04시 4구간,100.89
19,05시 1구간,100.89
20,05시 2구간,100.89
21,05시 3구간,100.89
22,05시 4구간,100.89
23,06시 1구간,100.89
24,06시 2구간,100.89
25,06시 3구간,100.89
26,06시 4구간,100.89
27,07시 1구간,102.27
28,07시 2구간,102.27
29,07시 3구간,102.27
30,07시 4구간,102.27
31,08시 1구간,134.0
32,08시 2구간,134.0
33,08시 3구간,134.0
34,08시 4구간,134.0
35,09시 1구간,134.0
36,09시 2구간,134.0
37,09시 3구간,134.0
38,09시 4구간,134.0
39,10시 1구간,133.99
40,10시 2구간,133.99
41,10시 3구간,133.99
42,10시 4구간,133.99
43,11시 1구간,138.82
44,11시 2구간,138.82
45,11시 3구간,138.82
46,11시 4구간,-2.0
47,12시 1구간,-2.0
48,12시 2구간,-2.0
49,12시 3구간,-2.0
50,12시 4구간,-2.0
51,13시 1구간,-74.47
52,13시 2구간,-2.0
53,13시 3구간,-2.0
54,13시 4구간,-2.0
55,14시 1구간,-2.0
56,14시 2구간,138.36
57,14시 3구간,-2.0
58,14시 4구간,138.36
59,15시 1구간,-2.0
60,15시 2구간,139.06
61,15시 3구간,139.06
62,15시 4구간,139.06
63,16시 1구간,138.48
64,16시 2구간,138.48
65,16시 3구간,138.48
66,16시 4구간,138.48
67,17시 1구간,139.09
68,17시 2구간,139.09
69,17시 3구간,139.09
70,17시 4구간,139.09
71,18시 1구간,139.32
72,18시 2구간,139.32
73,18시 3구간,139.32
74,18시 4구간,139.32
75,19시 1구간,139.22
76,19시 2구간,151.75
77,19시 3구간,151.75
78,19시 4구간,151.75
79,20시 1구간,152.05
80,20시 2구간,152.05
81,20시 3구간,152.05
82,20시 4구간,153.47
83,21시 1구간,155.56
84,21시 2구간,155.51
85,21시 3구간,155.42
86,21시 4구간,154.35
87,22시 1구간,155.6
88,22시 2구간,155.33
89,22시 3구간,155.38
90,22시 4구간,155.28
91,23시 1구간,153.17
92,23시 2구간,152.23
93,23시 3구간,152.23
94,23시 4구간,152.23
95,24시 1구간,152.23
96,24시 2구간,152.23
97,24시 3구간,152.23
98,24시 4구간,133.79
