,시간,10-23 (수)
0,최대,232.46
1,최소,-78.74
2,가중평균,69.45
3,01시 1구간,100.23
4,01시 2구간,100.23
5,01시 3구간,100.23
6,01시 4구간,100.23
7,02시 1구간,92.35
8,02시 2구간,92.35
9,02시 3구간,92.35
10,02시 4구간,92.35
11,03시 1구간,216.99
12,03시 2구간,214.06
13,03시 3구간,214.43
14,03시 4구간,92.27
15,04시 1구간,92.19
16,04시 2구간,0.0
17,04시 3구간,0.0
18,04시 4구간,0.0
19,05시 1구간,92.35
20,05시 2구간,0.0
21,05시 3구간,0.0
22,05시 4구간,0.0
23,06시 1구간,0.0
24,06시 2구간,0.0
25,06시 3구간,0.0
26,06시 4구간,100.25
27,07시 1구간,100.25
28,07시 2구간,100.25
29,07시 3구간,100.25
30,07시 4구간,100.25
31,08시 1구간,212.39
32,08시 2구간,194.8
33,08시 3구간,106.54
34,08시 4구간,0.0
35,09시 1구간,0.0
36,09시 2구간,0.0
37,09시 3구간,-48.0
38,09시 4구간,-48.0
39,10시 1구간,-50.01
40,10시 2구간,-78.74
41,10시 3구간,-78.74
42,10시 4구간,-78.74
43,11시 1구간,-78.74
44,11시 2구간,-78.74
45,11시 3구간,-78.74
46,11시 4구간,-78.74
47,12시 1구간,-78.74
48,12시 2구간,-78.74
49,12시 3구간,-78.74
50,12시 4구간,-78.74
51,13시 1구간,-78.74
52,13시 2구간,-78.74
53,13시 3구간,-78.74
54,13시 4구간,-78.74
55,14시 1구간,-78.74
56,14시 2구간,-78.74
57,14시 3구간,-78.74
58,14시 4구간,-78.74
59,15시 1구간,-78.74
60,15시 2구간,0.0
61,15시 3구간,0.0
62,15시 4구간,216.99
63,16시 1구간,221.27
64,16시 2구간,232.46
65,16시 3구간,232.46
66,16시 4구간,134.74
67,17시 1구간,134.74
68,17시 2구간,134.74
69,17시 3구간,134.74
70,17시 4구간,134.74
71,18시 1구간,139.6
72,18시 2구간,139.6
73,18시 3구간,139.6
74,18시 4구간,139.6
75,19시 1구간,139.33
76,19시 2구간,0.0
77,19시 3구간,139.33
78,19시 4구간,139.33
79,20시 1구간,232.46
80,20시 2구간,232.46
81,20시 3구간,134.75
82,20시 4구간,134.75
83,21시 1구간,152.45
84,21시 2구간,152.45
85,21시 3구간,152.62
86,21시 4구간,153.19
87,22시 1구간,106.56
88,22시 2구간,106.56
89,22시 3구간,106.56
90,22시 4구간,106.56
91,23시 1구간,104.94
92,23시 2구간,104.94
93,23시 3구간,104.94
94,23시 4구간,104.94
95,24시 1구간,105.29
96,24시 2구간,105.29
97,24시 3구간,105.29
98,24시 4구간,105.29
