,시간,11-04 (월)
0,최대,149.56
1,최소,0.0
2,가중평균,114.73
3,01시 1구간,103.98
4,01시 2구간,103.98
5,01시 3구간,103.98
6,01시 4구간,103.98
7,02시 1구간,87.53
8,02시 2구간,87.53
9,02시 3구간,87.53
10,02시 4구간,87.53
11,03시 1구간,87.42
12,03시 2구간,87.42
13,03시 3구간,87.42
14,03시 4구간,87.42
15,04시 1구간,86.95
16,04시 2구간,86.95
17,04시 3구간,86.95
18,04시 4구간,86.95
19,05시 1구간,87.27
20,05시 2구간,87.27
21,05시 3구간,87.27
22,05시 4구간,87.27
23,06시 1구간,102.49
24,06시 2구간,102.49
25,06시 3구간,102.49
26,06시 4구간,102.49
27,07시 1구간,104.14
28,07시 2구간,104.14
29,07시 3구간,104.14
30,07시 4구간,104.14
31,08시 1구간,115.78
32,08시 2구간,115.78
33,08시 3구간,115.78
34,08시 4구간,115.78
35,09시 1구간,131.3
36,09시 2구간,131.3
37,09시 3구간,131.3
38,09시 4구간,131.3
39,10시 1구간,149.56
40,10시 2구간,140.13
41,10시 3구간,149.56
42,10시 4구간,149.56
43,11시 1구간,137.97
44,11시 2구간,137.97
45,11시 3구간,0.0
46,11시 4구간,137.97
47,12시 1구간,134.96
48,12시 2구간,134.96
49,12시 3구간,134.96
50,12시 4구간,134.96
51,13시 1구간,116.58
52,13시 2구간,116.58
53,13시 3구간,116.58
54,13시 4구간,116.58
55,14시 1구간,116.58
56,14시 2구간,116.58
57,14시 3구간,116.58
58,14시 4구간,116.58
59,15시 1구간,131.3
60,15시 2구간,131.3
61,15시 3구간,131.3
62,15시 4구간,131.3
63,16시 1구간,131.4
64,16시 2구간,131.4
65,16시 3구간,131.4
66,16시 4구간,131.4
67,17시 1구간,131.35
68,17시 2구간,131.35
69,17시 3구간,131.35
70,17시 4구간,131.35
71,18시 1구간,127.26
72,18시 2구간,127.26
73,18시 3구간,127.26
74,18시 4구간,127.26
75,19시 1구간,127.32
76,19시 2구간,127.32
77,19시 3구간,127.32
78,19시 4구간,127.32
79,20시 1구간,116.78
80,20시 2구간,116.78
81,20시 3구간,116.78
82,20시 4구간,116.78
83,21시 1구간,116.73
84,21시 2구간,116.73
85,21시 3구간,116.73
86,21시 4구간,116.73
87,22시 1구간,106.73
88,22시 2구간,106.73
89,22시 3구간,106.73
90,22시 4구간,106.73
91,23시 1구간,106.56
92,23시 2구간,106.56
93,23시 3구간,106.56
94,23시 4구간,106.56
95,24시 1구간,104.12
96,24시 2구간,104.12
97,24시 3구간,104.12
98,24시 4구간,104.12
