,시간,03-30 (토)
0,최대,173.02
1,최소,-77.94
2,가중평균,119.81
3,01시 1구간,156.58
4,01시 2구간,166.58
5,01시 3구간,166.94
6,01시 4구간,166.75
7,02시 1구간,167.12
8,02시 2구간,156.59
9,02시 3구간,167.14
10,02시 4구간,167.31
11,03시 1구간,123.59
12,03시 2구간,123.59
13,03시 3구간,123.59
14,03시 4구간,123.59
15,04시 1구간,164.57
16,04시 2구간,120.9
17,04시 3구간,120.9
18,04시 4구간,120.9
19,05시 1구간,123.59
20,05시 2구간,123.59
21,05시 3구간,123.59
22,05시 4구간,123.59
23,06시 1구간,156.46
24,06시 2구간,156.46
25,06시 3구간,166.35
26,06시 4구간,166.35
27,07시 1구간,166.35
28,07시 2구간,166.24
29,07시 3구간,166.24
30,07시 4구간,166.24
31,08시 1구간,157.74
32,08시 2구간,157.74
33,08시 3구간,-77.94
34,08시 4구간,157.63
35,09시 1구간,157.43
36,09시 2구간,157.41
37,09시 3구간,157.41
38,09시 4구간,157.22
39,10시 1구간,-77.94
40,10시 2구간,142.34
41,10시 3구간,-19.0
42,10시 4구간,-77.94
43,11시 1구간,-77.94
44,11시 2구간,-77.94
45,11시 3구간,-77.94
46,11시 4구간,-77.94
47,12시 1구간,-77.94
48,12시 2구간,-77.94
49,12시 3구간,-77.94
50,12시 4구간,-77.94
51,13시 1구간,-77.94
52,13시 2구간,-77.94
53,13시 3구간,-77.94
54,13시 4구간,-77.94
55,14시 1구간,-77.94
56,14시 2구간,-77.94
57,14시 3구간,142.14
58,14시 4구간,142.14
59,15시 1구간,142.14
60,15시 2구간,142.14
61,15시 3구간,142.14
62,15시 4구간,142.14
63,16시 1구간,142.14
64,16시 2구간,142.14
65,16시 3구간,142.14
66,16시 4구간,142.14
67,17시 1구간,155.85
68,17시 2구간,142.14
69,17시 3구간,142.14
70,17시 4구간,142.14
71,18시 1구간,155.85
72,18시 2구간,155.85
73,18시 3구간,155.85
74,18시 4구간,155.85
75,19시 1구간,167.65
76,19시 2구간,169.61
77,19시 3구간,169.61
78,19시 4구간,169.61
79,20시 1구간,170.23
80,20시 2구간,170.23
81,20시 3구간,170.23
82,20시 4구간,170.23
83,21시 1구간,170.86
84,21시 2구간,170.86
85,21시 3구간,170.86
86,21시 4구간,170.86
87,22시 1구간,170.86
88,22시 2구간,170.86
89,22시 3구간,170.86
90,22시 4구간,170.86
91,23시 1구간,170.86
92,23시 2구간,172.81
93,23시 3구간,172.81
94,23시 4구간,172.81
95,24시 1구간,173.02
96,24시 2구간,173.02
97,24시 3구간,173.02
98,24시 4구간,171.07
