,시간,08-02 (금)
0,최대,229.96
1,최소,106.79
2,가중평균,157.58
3,01시 1구간,159.58
4,01시 2구간,144.37
5,01시 3구간,144.37
6,01시 4구간,144.37
7,02시 1구간,129.99
8,02시 2구간,129.99
9,02시 3구간,129.99
10,02시 4구간,129.99
11,03시 1구간,127.85
12,03시 2구간,127.85
13,03시 3구간,127.85
14,03시 4구간,127.85
15,04시 1구간,106.79
16,04시 2구간,106.79
17,04시 3구간,106.79
18,04시 4구간,106.79
19,05시 1구간,126.45
20,05시 2구간,126.45
21,05시 3구간,126.45
22,05시 4구간,126.45
23,06시 1구간,129.99
24,06시 2구간,129.99
25,06시 3구간,129.99
26,06시 4구간,129.99
27,07시 1구간,141.35
28,07시 2구간,141.35
29,07시 3구간,141.35
30,07시 4구간,141.35
31,08시 1구간,141.76
32,08시 2구간,141.76
33,08시 3구간,141.76
34,08시 4구간,141.76
35,09시 1구간,146.58
36,09시 2구간,146.58
37,09시 3구간,146.58
38,09시 4구간,146.58
39,10시 1구간,147.44
40,10시 2구간,147.44
41,10시 3구간,147.44
42,10시 4구간,147.44
43,11시 1구간,157.03
44,11시 2구간,157.03
45,11시 3구간,157.03
46,11시 4구간,157.14
47,12시 1구간,157.14
48,12시 2구간,157.14
49,12시 3구간,157.14
50,12시 4구간,156.97
51,13시 1구간,156.97
52,13시 2구간,156.97
53,13시 3구간,156.97
54,13시 4구간,157.0
55,14시 1구간,157.0
56,14시 2구간,157.0
57,14시 3구간,157.0
58,14시 4구간,156.96
59,15시 1구간,156.96
60,15시 2구간,156.96
61,15시 3구간,156.96
62,15시 4구간,156.99
63,16시 1구간,159.01
64,16시 2구간,159.13
65,16시 3구간,159.22
66,16시 4구간,159.26
67,17시 1구간,159.34
68,17시 2구간,159.31
69,17시 3구간,159.19
70,17시 4구간,159.26
71,18시 1구간,155.44
72,18시 2구간,155.51
73,18시 3구간,158.61
74,18시 4구간,159.51
75,19시 1구간,155.67
76,19시 2구간,200.97
77,19시 3구간,159.47
78,19시 4구간,222.83
79,20시 1구간,224.21
80,20시 2구간,228.6
81,20시 3구간,229.96
82,20시 4구간,227.77
83,21시 1구간,226.88
84,21시 2구간,225.84
85,21시 3구간,224.78
86,21시 4구간,160.58
87,22시 1구간,158.67
88,22시 2구간,158.55
89,22시 3구간,158.55
90,22시 4구간,158.53
91,23시 1구간,158.11
92,23시 2구간,158.11
93,23시 3구간,158.11
94,23시 4구간,158.11
95,24시 1구간,158.11
96,24시 2구간,158.11
97,24시 3구간,158.11
98,24시 4구간,158.11
