,시간,10-15 (화)
0,최대,251.74
1,최소,100.48
2,가중평균,141.09
3,01시 1구간,105.26
4,01시 2구간,105.26
5,01시 3구간,105.26
6,01시 4구간,105.26
7,02시 1구간,104.02
8,02시 2구간,104.02
9,02시 3구간,104.02
10,02시 4구간,104.02
11,03시 1구간,104.02
12,03시 2구간,104.02
13,03시 3구간,104.02
14,03시 4구간,104.02
15,04시 1구간,100.48
16,04시 2구간,100.48
17,04시 3구간,100.48
18,04시 4구간,100.48
19,05시 1구간,100.48
20,05시 2구간,100.48
21,05시 3구간,100.48
22,05시 4구간,100.48
23,06시 1구간,104.64
24,06시 2구간,104.64
25,06시 3구간,104.64
26,06시 4구간,104.64
27,07시 1구간,105.11
28,07시 2구간,105.11
29,07시 3구간,105.11
30,07시 4구간,105.11
31,08시 1구간,119.52
32,08시 2구간,119.52
33,08시 3구간,119.52
34,08시 4구간,119.52
35,09시 1구간,139.78
36,09시 2구간,139.78
37,09시 3구간,139.78
38,09시 4구간,139.78
39,10시 1구간,139.64
40,10시 2구간,139.64
41,10시 3구간,139.64
42,10시 4구간,139.64
43,11시 1구간,139.66
44,11시 2구간,139.66
45,11시 3구간,139.66
46,11시 4구간,139.66
47,12시 1구간,152.56
48,12시 2구간,152.56
49,12시 3구간,139.67
50,12시 4구간,152.56
51,13시 1구간,120.39
52,13시 2구간,120.39
53,13시 3구간,120.39
54,13시 4구간,120.39
55,14시 1구간,151.71
56,14시 2구간,151.71
57,14시 3구간,153.25
58,14시 4구간,152.88
59,15시 1구간,223.99
60,15시 2구간,250.47
61,15시 3구간,247.21
62,15시 4구간,251.74
63,16시 1구간,221.76
64,16시 2구간,153.71
65,16시 3구간,153.71
66,16시 4구간,153.89
67,17시 1구간,153.89
68,17시 2구간,153.89
69,17시 3구간,153.89
70,17시 4구간,154.23
71,18시 1구간,154.55
72,18시 2구간,154.55
73,18시 3구간,154.55
74,18시 4구간,155.81
75,19시 1구간,155.81
76,19시 2구간,155.81
77,19시 3구간,155.81
78,19시 4구간,155.81
79,20시 1구간,154.57
80,20시 2구간,154.57
81,20시 3구간,154.57
82,20시 4구간,154.57
83,21시 1구간,154.57
84,21시 2구간,154.57
85,21시 3구간,154.57
86,21시 4구간,154.58
87,22시 1구간,154.58
88,22시 2구간,154.59
89,22시 3구간,154.67
90,22시 4구간,154.83
91,23시 1구간,154.56
92,23시 2구간,154.56
93,23시 3구간,154.56
94,23시 4구간,134.93
95,24시 1구간,129.17
96,24시 2구간,129.17
97,24시 3구간,129.17
98,24시 4구간,129.17
