,시간,05-19 (일)
0,최대,159.25
1,최소,-79.06
2,가중평균,82.72
3,01시 1구간,109.5
4,01시 2구간,109.5
5,01시 3구간,109.5
6,01시 4구간,109.5
7,02시 1구간,92.52
8,02시 2구간,92.52
9,02시 3구간,92.52
10,02시 4구간,92.52
11,03시 1구간,92.55
12,03시 2구간,92.55
13,03시 3구간,92.55
14,03시 4구간,92.55
15,04시 1구간,92.59
16,04시 2구간,92.59
17,04시 3구간,92.59
18,04시 4구간,92.59
19,05시 1구간,92.58
20,05시 2구간,92.58
21,05시 3구간,92.58
22,05시 4구간,92.58
23,06시 1구간,92.58
24,06시 2구간,92.58
25,06시 3구간,92.58
26,06시 4구간,92.58
27,07시 1구간,94.74
28,07시 2구간,94.74
29,07시 3구간,94.74
30,07시 4구간,94.74
31,08시 1구간,-77.48
32,08시 2구간,92.11
33,08시 3구간,92.11
34,08시 4구간,-2.0
35,09시 1구간,-79.06
36,09시 2구간,-79.06
37,09시 3구간,-79.06
38,09시 4구간,-79.06
39,10시 1구간,114.27
40,10시 2구간,114.27
41,10시 3구간,-1.45
42,10시 4구간,-77.48
43,11시 1구간,-79.06
44,11시 2구간,-79.06
45,11시 3구간,-79.06
46,11시 4구간,-79.06
47,12시 1구간,-79.06
48,12시 2구간,-79.06
49,12시 3구간,-79.06
50,12시 4구간,-79.06
51,13시 1구간,-79.06
52,13시 2구간,-79.06
53,13시 3구간,-77.94
54,13시 4구간,-30.0
55,14시 1구간,-2.0
56,14시 2구간,113.8
57,14시 3구간,113.8
58,14시 4구간,113.8
59,15시 1구간,113.8
60,15시 2구간,113.8
61,15시 3구간,113.8
62,15시 4구간,113.8
63,16시 1구간,113.61
64,16시 2구간,0.0
65,16시 3구간,113.61
66,16시 4구간,113.61
67,17시 1구간,110.8
68,17시 2구간,110.8
69,17시 3구간,110.8
70,17시 4구간,110.8
71,18시 1구간,158.16
72,18시 2구간,158.16
73,18시 3구간,158.16
74,18시 4구간,158.16
75,19시 1구간,158.45
76,19시 2구간,158.45
77,19시 3구간,158.45
78,19시 4구간,158.45
79,20시 1구간,140.64
80,20시 2구간,140.64
81,20시 3구간,140.64
82,20시 4구간,140.64
83,21시 1구간,138.41
84,21시 2구간,138.41
85,21시 3구간,138.41
86,21시 4구간,138.41
87,22시 1구간,159.25
88,22시 2구간,159.25
89,22시 3구간,159.25
90,22시 4구간,159.25
91,23시 1구간,114.27
92,23시 2구간,114.27
93,23시 3구간,114.27
94,23시 4구간,114.27
95,24시 1구간,105.28
96,24시 2구간,105.28
97,24시 3구간,105.28
98,24시 4구간,105.28
