,시간,08-04 (일)
0,최대,204.04
1,최소,107.08
2,가중평균,146.15
3,01시 1구간,160.01
4,01시 2구간,160.01
5,01시 3구간,160.01
6,01시 4구간,160.01
7,02시 1구간,160.01
8,02시 2구간,160.01
9,02시 3구간,160.01
10,02시 4구간,138.69
11,03시 1구간,107.69
12,03시 2구간,107.69
13,03시 3구간,107.69
14,03시 4구간,107.69
15,04시 1구간,107.43
16,04시 2구간,107.43
17,04시 3구간,107.43
18,04시 4구간,107.43
19,05시 1구간,107.08
20,05시 2구간,107.08
21,05시 3구간,107.08
22,05시 4구간,107.08
23,06시 1구간,107.08
24,06시 2구간,107.08
25,06시 3구간,107.08
26,06시 4구간,107.08
27,07시 1구간,107.66
28,07시 2구간,107.66
29,07시 3구간,107.66
30,07시 4구간,107.66
31,08시 1구간,142.37
32,08시 2구간,142.37
33,08시 3구간,142.37
34,08시 4구간,142.37
35,09시 1구간,141.59
36,09시 2구간,141.59
37,09시 3구간,141.59
38,09시 4구간,141.59
39,10시 1구간,141.59
40,10시 2구간,141.59
41,10시 3구간,141.59
42,10시 4구간,141.59
43,11시 1구간,148.0
44,11시 2구간,148.0
45,11시 3구간,148.0
46,11시 4구간,148.0
47,12시 1구간,147.01
48,12시 2구간,147.01
49,12시 3구간,147.01
50,12시 4구간,147.01
51,13시 1구간,157.68
52,13시 2구간,157.68
53,13시 3구간,157.68
54,13시 4구간,157.55
55,14시 1구간,157.21
56,14시 2구간,157.23
57,14시 3구간,157.25
58,14시 4구간,157.44
59,15시 1구간,157.44
60,15시 2구간,157.43
61,15시 3구간,157.41
62,15시 4구간,157.37
63,16시 1구간,145.77
64,16시 2구간,145.77
65,16시 3구간,145.77
66,16시 4구간,145.77
67,17시 1구간,142.97
68,17시 2구간,142.97
69,17시 3구간,142.97
70,17시 4구간,142.97
71,18시 1구간,145.75
72,18시 2구간,145.75
73,18시 3구간,145.75
74,18시 4구간,145.75
75,19시 1구간,157.52
76,19시 2구간,157.55
77,19시 3구간,159.6
78,19시 4구간,160.37
79,20시 1구간,160.55
80,20시 2구간,161.65
81,20시 3구간,161.74
82,20시 4구간,204.04
83,21시 1구간,161.82
84,21시 2구간,161.95
85,21시 3구간,161.68
86,21시 4구간,159.64
87,22시 1구간,159.46
88,22시 2구간,159.44
89,22시 3구간,159.42
90,22시 4구간,159.39
91,23시 1구간,159.11
92,23시 2구간,159.11
93,23시 3구간,159.11
94,23시 4구간,159.11
95,24시 1구간,159.25
96,24시 2구간,159.25
97,24시 3구간,159.25
98,24시 4구간,159.25
