,시간,04-07 (일)
0,최대,164.59
1,최소,-79.32
2,가중평균,133.9
3,01시 1구간,144.97
4,01시 2구간,144.95
5,01시 3구간,160.47
6,01시 4구간,159.7
7,02시 1구간,158.92
8,02시 2구간,145.02
9,02시 3구간,145.07
10,02시 4구간,161.0
11,03시 1구간,164.59
12,03시 2구간,163.89
13,03시 3구간,163.42
14,03시 4구간,163.34
15,04시 1구간,163.25
16,04시 2구간,162.84
17,04시 3구간,162.34
18,04시 4구간,161.52
19,05시 1구간,159.42
20,05시 2구간,161.09
21,05시 3구간,160.65
22,05시 4구간,160.68
23,06시 1구간,159.81
24,06시 2구간,160.95
25,06시 3구간,161.14
26,06시 4구간,162.36
27,07시 1구간,163.45
28,07시 2구간,162.9
29,07시 3구간,162.18
30,07시 4구간,157.49
31,08시 1구간,102.56
32,08시 2구간,102.56
33,08시 3구간,102.56
34,08시 4구간,102.56
35,09시 1구간,145.43
36,09시 2구간,94.86
37,09시 3구간,145.43
38,09시 4구간,131.52
39,10시 1구간,95.92
40,10시 2구간,131.15
41,10시 3구간,131.15
42,10시 4구간,-79.32
43,11시 1구간,130.96
44,11시 2구간,130.96
45,11시 3구간,130.96
46,11시 4구간,130.96
47,12시 1구간,130.78
48,12시 2구간,130.78
49,12시 3구간,130.78
50,12시 4구간,130.78
51,13시 1구간,130.78
52,13시 2구간,130.78
53,13시 3구간,130.78
54,13시 4구간,130.78
55,14시 1구간,-79.32
56,14시 2구간,-79.32
57,14시 3구간,-79.32
58,14시 4구간,0.0
59,15시 1구간,95.62
60,15시 2구간,95.62
61,15시 3구간,-19.0
62,15시 4구간,130.96
63,16시 1구간,130.96
64,16시 2구간,130.96
65,16시 3구간,96.14
66,16시 4구간,96.14
67,17시 1구간,98.07
68,17시 2구간,98.07
69,17시 3구간,98.07
70,17시 4구간,98.07
71,18시 1구간,155.34
72,18시 2구간,155.26
73,18시 3구간,155.27
74,18시 4구간,155.25
75,19시 1구간,160.34
76,19시 2구간,160.24
77,19시 3구간,160.47
78,19시 4구간,160.0
79,20시 1구간,159.74
80,20시 2구간,145.31
81,20시 3구간,159.78
82,20시 4구간,145.31
83,21시 1구간,159.44
84,21시 2구간,145.49
85,21시 3구간,145.49
86,21시 4구간,159.63
87,22시 1구간,158.61
88,22시 2구간,159.88
89,22시 3구간,145.49
90,22시 4구간,145.49
91,23시 1구간,145.49
92,23시 2구간,145.49
93,23시 3구간,145.49
94,23시 4구간,145.49
95,24시 1구간,145.49
96,24시 2구간,145.49
97,24시 3구간,145.49
98,24시 4구간,145.49
