,시간,11-25 (월)
0,최대,137.95
1,최소,79.45
2,가중평균,109.03
3,01시 1구간,91.51
4,01시 2구간,91.51
5,01시 3구간,91.51
6,01시 4구간,91.51
7,02시 1구간,79.45
8,02시 2구간,79.45
9,02시 3구간,79.45
10,02시 4구간,79.45
11,03시 1구간,79.45
12,03시 2구간,79.45
13,03시 3구간,79.45
14,03시 4구간,79.45
15,04시 1구간,79.45
16,04시 2구간,79.45
17,04시 3구간,79.45
18,04시 4구간,79.45
19,05시 1구간,79.45
20,05시 2구간,79.45
21,05시 3구간,79.45
22,05시 4구간,79.45
23,06시 1구간,79.45
24,06시 2구간,79.45
25,06시 3구간,79.45
26,06시 4구간,79.45
27,07시 1구간,90.49
28,07시 2구간,90.49
29,07시 3구간,90.49
30,07시 4구간,90.49
31,08시 1구간,107.53
32,08시 2구간,107.53
33,08시 3구간,107.53
34,08시 4구간,107.53
35,09시 1구간,117.26
36,09시 2구간,117.26
37,09시 3구간,117.26
38,09시 4구간,117.26
39,10시 1구간,117.26
40,10시 2구간,117.26
41,10시 3구간,117.26
42,10시 4구간,117.26
43,11시 1구간,137.61
44,11시 2구간,137.61
45,11시 3구간,137.61
46,11시 4구간,137.61
47,12시 1구간,135.26
48,12시 2구간,135.26
49,12시 3구간,135.26
50,12시 4구간,135.26
51,13시 1구간,116.8
52,13시 2구간,116.8
53,13시 3구간,116.8
54,13시 4구간,116.8
55,14시 1구간,116.8
56,14시 2구간,116.8
57,14시 3구간,116.8
58,14시 4구간,116.8
59,15시 1구간,116.8
60,15시 2구간,116.8
61,15시 3구간,116.8
62,15시 4구간,116.8
63,16시 1구간,116.8
64,16시 2구간,116.8
65,16시 3구간,116.8
66,16시 4구간,116.8
67,17시 1구간,137.95
68,17시 2구간,137.95
69,17시 3구간,137.95
70,17시 4구간,137.95
71,18시 1구간,116.8
72,18시 2구간,116.8
73,18시 3구간,116.8
74,18시 4구간,116.8
75,19시 1구간,117.26
76,19시 2구간,117.26
77,19시 3구간,117.26
78,19시 4구간,117.26
79,20시 1구간,112.14
80,20시 2구간,112.14
81,20시 3구간,112.14
82,20시 4구간,112.14
83,21시 1구간,106.76
84,21시 2구간,106.76
85,21시 3구간,106.76
86,21시 4구간,106.76
87,22시 1구간,106.69
88,22시 2구간,106.69
89,22시 3구간,106.69
90,22시 4구간,106.69
91,23시 1구간,106.5
92,23시 2구간,106.5
93,23시 3구간,106.5
94,23시 4구간,106.5
95,24시 1구간,114.94
96,24시 2구간,114.94
97,24시 3구간,114.94
98,24시 4구간,114.94
