,시간,09-25 (수)
0,최대,209.73
1,최소,106.17
2,가중평균,142.48
3,01시 1구간,107.05
4,01시 2구간,107.05
5,01시 3구간,107.05
6,01시 4구간,107.05
7,02시 1구간,107.43
8,02시 2구간,107.43
9,02시 3구간,107.43
10,02시 4구간,107.43
11,03시 1구간,106.43
12,03시 2구간,106.43
13,03시 3구간,106.43
14,03시 4구간,106.43
15,04시 1구간,106.2
16,04시 2구간,106.2
17,04시 3구간,106.2
18,04시 4구간,106.2
19,05시 1구간,106.17
20,05시 2구간,106.17
21,05시 3구간,106.17
22,05시 4구간,106.17
23,06시 1구간,106.4
24,06시 2구간,106.4
25,06시 3구간,106.4
26,06시 4구간,106.4
27,07시 1구간,107.44
28,07시 2구간,107.44
29,07시 3구간,107.44
30,07시 4구간,107.44
31,08시 1구간,158.06
32,08시 2구간,158.06
33,08시 3구간,158.06
34,08시 4구간,209.73
35,09시 1구간,131.78
36,09시 2구간,131.78
37,09시 3구간,131.78
38,09시 4구간,131.78
39,10시 1구간,144.32
40,10시 2구간,144.32
41,10시 3구간,144.32
42,10시 4구간,144.32
43,11시 1구간,144.58
44,11시 2구간,144.58
45,11시 3구간,144.58
46,11시 4구간,144.58
47,12시 1구간,156.58
48,12시 2구간,156.58
49,12시 3구간,156.58
50,12시 4구간,157.46
51,13시 1구간,157.46
52,13시 2구간,157.46
53,13시 3구간,157.46
54,13시 4구간,157.94
55,14시 1구간,157.94
56,14시 2구간,157.94
57,14시 3구간,157.94
58,14시 4구간,157.94
59,15시 1구간,158.77
60,15시 2구간,158.77
61,15시 3구간,158.77
62,15시 4구간,158.76
63,16시 1구간,158.76
64,16시 2구간,158.76
65,16시 3구간,158.76
66,16시 4구간,158.32
67,17시 1구간,158.32
68,17시 2구간,158.32
69,17시 3구간,158.32
70,17시 4구간,158.33
71,18시 1구간,159.14
72,18시 2구간,159.4
73,18시 3구간,159.66
74,18시 4구간,160.44
75,19시 1구간,160.78
76,19시 2구간,161.13
77,19시 3구간,161.38
78,19시 4구간,161.84
79,20시 1구간,157.5
80,20시 2구간,157.58
81,20시 3구간,157.67
82,20시 4구간,157.67
83,21시 1구간,157.72
84,21시 2구간,157.72
85,21시 3구간,157.72
86,21시 4구간,157.8
87,22시 1구간,158.13
88,22시 2구간,158.24
89,22시 3구간,158.36
90,22시 4구간,157.94
91,23시 1구간,158.45
92,23시 2구간,158.45
93,23시 3구간,158.45
94,23시 4구간,158.45
95,24시 1구간,107.4
96,24시 2구간,107.4
97,24시 3구간,107.4
98,24시 4구간,107.4
