,시간,09-07 (토)
0,최대,162.72
1,최소,112.62
2,가중평균,152.54
3,01시 1구간,161.32
4,01시 2구간,161.32
5,01시 3구간,161.32
6,01시 4구간,161.32
7,02시 1구간,161.32
8,02시 2구간,139.33
9,02시 3구간,139.33
10,02시 4구간,139.33
11,03시 1구간,114.36
12,03시 2구간,114.36
13,03시 3구간,114.36
14,03시 4구간,114.36
15,04시 1구간,112.62
16,04시 2구간,112.62
17,04시 3구간,112.62
18,04시 4구간,112.62
19,05시 1구간,114.13
20,05시 2구간,114.13
21,05시 3구간,114.13
22,05시 4구간,114.13
23,06시 1구간,114.36
24,06시 2구간,114.36
25,06시 3구간,114.36
26,06시 4구간,114.36
27,07시 1구간,159.69
28,07시 2구간,159.69
29,07시 3구간,159.69
30,07시 4구간,159.69
31,08시 1구간,143.65
32,08시 2구간,143.65
33,08시 3구간,143.65
34,08시 4구간,143.65
35,09시 1구간,143.03
36,09시 2구간,143.03
37,09시 3구간,143.03
38,09시 4구간,160.07
39,10시 1구간,160.88
40,10시 2구간,161.49
41,10시 3구간,160.39
42,10시 4구간,160.72
43,11시 1구간,160.89
44,11시 2구간,162.0
45,11시 3구간,162.44
46,11시 4구간,162.44
47,12시 1구간,149.97
48,12시 2구간,149.97
49,12시 3구간,149.97
50,12시 4구간,149.97
51,13시 1구간,147.91
52,13시 2구간,147.91
53,13시 3구간,147.91
54,13시 4구간,147.91
55,14시 1구간,149.49
56,14시 2구간,160.04
57,14시 3구간,162.16
58,14시 4구간,162.16
59,15시 1구간,162.16
60,15시 2구간,162.16
61,15시 3구간,162.16
62,15시 4구간,162.16
63,16시 1구간,162.44
64,16시 2구간,162.44
65,16시 3구간,162.44
66,16시 4구간,162.44
67,17시 1구간,162.72
68,17시 2구간,162.72
69,17시 3구간,162.72
70,17시 4구간,162.72
71,18시 1구간,162.72
72,18시 2구간,162.72
73,18시 3구간,162.72
74,18시 4구간,162.72
75,19시 1구간,162.72
76,19시 2구간,162.72
77,19시 3구간,162.72
78,19시 4구간,162.72
79,20시 1구간,162.72
80,20시 2구간,162.72
81,20시 3구간,162.72
82,20시 4구간,162.72
83,21시 1구간,161.72
84,21시 2구간,161.72
85,21시 3구간,161.72
86,21시 4구간,161.72
87,22시 1구간,161.07
88,22시 2구간,161.07
89,22시 3구간,161.07
90,22시 4구간,161.07
91,23시 1구간,161.27
92,23시 2구간,161.27
93,23시 3구간,161.27
94,23시 4구간,161.27
95,24시 1구간,160.6
96,24시 2구간,160.6
97,24시 3구간,160.6
98,24시 4구간,160.6
