,시간,03-16 (토)
0,최대,172.06
1,최소,-77.94
2,가중평균,134.35
3,01시 1구간,166.1
4,01시 2구간,166.1
5,01시 3구간,166.1
6,01시 4구간,168.34
7,02시 1구간,168.34
8,02시 2구간,168.34
9,02시 3구간,168.34
10,02시 4구간,169.04
11,03시 1구간,169.04
12,03시 2구간,169.04
13,03시 3구간,169.04
14,03시 4구간,169.04
15,04시 1구간,166.47
16,04시 2구간,166.1
17,04시 3구간,166.1
18,04시 4구간,166.1
19,05시 1구간,167.43
20,05시 2구간,167.43
21,05시 3구간,167.43
22,05시 4구간,167.43
23,06시 1구간,167.43
24,06시 2구간,167.43
25,06시 3구간,167.43
26,06시 4구간,167.43
27,07시 1구간,168.77
28,07시 2구간,168.77
29,07시 3구간,168.77
30,07시 4구간,168.55
31,08시 1구간,167.43
32,08시 2구간,167.43
33,08시 3구간,167.43
34,08시 4구간,167.43
35,09시 1구간,117.62
36,09시 2구간,117.62
37,09시 3구간,117.62
38,09시 4구간,117.62
39,10시 1구간,106.25
40,10시 2구간,0.0
41,10시 3구간,-77.94
42,10시 4구간,-77.94
43,11시 1구간,0.0
44,11시 2구간,99.48
45,11시 3구간,99.48
46,11시 4구간,0.0
47,12시 1구간,0.0
48,12시 2구간,0.0
49,12시 3구간,0.0
50,12시 4구간,0.0
51,13시 1구간,-34.64
52,13시 2구간,-25.98
53,13시 3구간,-19.0
54,13시 4구간,-51.96
55,14시 1구간,0.0
56,14시 2구간,0.0
57,14시 3구간,95.65
58,14시 4구간,95.65
59,15시 1구간,104.91
60,15시 2구간,104.91
61,15시 3구간,104.91
62,15시 4구간,104.91
63,16시 1구간,99.48
64,16시 2구간,99.48
65,16시 3구간,99.48
66,16시 4구간,99.48
67,17시 1구간,104.91
68,17시 2구간,104.91
69,17시 3구간,104.91
70,17시 4구간,104.91
71,18시 1구간,165.9
72,18시 2구간,165.9
73,18시 3구간,165.9
74,18시 4구간,165.9
75,19시 1구간,171.85
76,19시 2구간,171.85
77,19시 3구간,171.85
78,19시 4구간,171.85
79,20시 1구간,172.06
80,20시 2구간,172.06
81,20시 3구간,172.06
82,20시 4구간,172.06
83,21시 1구간,172.06
84,21시 2구간,172.06
85,21시 3구간,172.06
86,21시 4구간,172.06
87,22시 1구간,172.06
88,22시 2구간,172.06
89,22시 3구간,172.06
90,22시 4구간,172.06
91,23시 1구간,172.06
92,23시 2구간,172.06
93,23시 3구간,172.06
94,23시 4구간,165.92
95,24시 1구간,165.92
96,24시 2구간,165.92
97,24시 3구간,165.92
98,24시 4구간,165.92
