,시간,11-22 (금)
0,최대,130.73
1,최소,87.05
2,가중평균,110.49
3,01시 1구간,112.14
4,01시 2구간,112.14
5,01시 3구간,112.14
6,01시 4구간,112.14
7,02시 1구간,87.79
8,02시 2구간,87.79
9,02시 3구간,87.79
10,02시 4구간,87.79
11,03시 1구간,87.13
12,03시 2구간,87.13
13,03시 3구간,87.13
14,03시 4구간,87.13
15,04시 1구간,87.05
16,04시 2구간,87.05
17,04시 3구간,87.05
18,04시 4구간,87.05
19,05시 1구간,87.24
20,05시 2구간,87.24
21,05시 3구간,87.24
22,05시 4구간,87.24
23,06시 1구간,87.79
24,06시 2구간,87.79
25,06시 3구간,87.79
26,06시 4구간,87.79
27,07시 1구간,107.05
28,07시 2구간,107.05
29,07시 3구간,107.05
30,07시 4구간,107.05
31,08시 1구간,117.78
32,08시 2구간,117.78
33,08시 3구간,117.78
34,08시 4구간,117.78
35,09시 1구간,130.73
36,09시 2구간,130.73
37,09시 3구간,130.73
38,09시 4구간,130.73
39,10시 1구간,117.62
40,10시 2구간,117.62
41,10시 3구간,117.62
42,10시 4구간,117.62
43,11시 1구간,117.52
44,11시 2구간,117.52
45,11시 3구간,117.52
46,11시 4구간,117.52
47,12시 1구간,117.47
48,12시 2구간,117.47
49,12시 3구간,117.47
50,12시 4구간,117.47
51,13시 1구간,115.31
52,13시 2구간,115.31
53,13시 3구간,115.31
54,13시 4구간,115.31
55,14시 1구간,116.87
56,14시 2구간,116.87
57,14시 3구간,116.87
58,14시 4구간,116.87
59,15시 1구간,117.26
60,15시 2구간,117.26
61,15시 3구간,117.26
62,15시 4구간,117.26
63,16시 1구간,117.26
64,16시 2구간,117.26
65,16시 3구간,117.26
66,16시 4구간,117.26
67,17시 1구간,117.37
68,17시 2구간,117.37
69,17시 3구간,117.37
70,17시 4구간,117.37
71,18시 1구간,117.47
72,18시 2구간,117.47
73,18시 3구간,117.47
74,18시 4구간,117.47
75,19시 1구간,117.43
76,19시 2구간,117.43
77,19시 3구간,117.43
78,19시 4구간,117.43
79,20시 1구간,113.31
80,20시 2구간,113.31
81,20시 3구간,113.31
82,20시 4구간,113.31
83,21시 1구간,107.05
84,21시 2구간,107.05
85,21시 3구간,107.05
86,21시 4구간,107.05
87,22시 1구간,106.47
88,22시 2구간,106.47
89,22시 3구간,106.47
90,22시 4구간,106.47
91,23시 1구간,112.14
92,23시 2구간,112.14
93,23시 3구간,112.14
94,23시 4구간,112.14
95,24시 1구간,116.73
96,24시 2구간,116.73
97,24시 3구간,116.73
98,24시 4구간,116.73
