,시간,03-11 (월)
0,최대,182.14
1,최소,-77.94
2,가중평균,129.92
3,01시 1구간,108.05
4,01시 2구간,108.05
5,01시 3구간,108.05
6,01시 4구간,108.05
7,02시 1구간,83.44
8,02시 2구간,83.44
9,02시 3구간,83.44
10,02시 4구간,83.44
11,03시 1구간,84.24
12,03시 2구간,84.24
13,03시 3구간,84.24
14,03시 4구간,84.24
15,04시 1구간,84.24
16,04시 2구간,84.24
17,04시 3구간,84.24
18,04시 4구간,84.24
19,05시 1구간,84.24
20,05시 2구간,84.24
21,05시 3구간,84.24
22,05시 4구간,84.24
23,06시 1구간,84.24
24,06시 2구간,84.24
25,06시 3구간,84.24
26,06시 4구간,84.24
27,07시 1구간,108.05
28,07시 2구간,108.05
29,07시 3구간,108.05
30,07시 4구간,108.05
31,08시 1구간,108.69
32,08시 2구간,108.69
33,08시 3구간,108.69
34,08시 4구간,108.69
35,09시 1구간,182.14
36,09시 2구간,182.14
37,09시 3구간,180.77
38,09시 4구간,0.0
39,10시 1구간,-1.0
40,10시 2구간,-1.0
41,10시 3구간,-77.94
42,10시 4구간,0.0
43,11시 1구간,0.0
44,11시 2구간,0.0
45,11시 3구간,0.0
46,11시 4구간,0.0
47,12시 1구간,135.98
48,12시 2구간,168.3
49,12시 3구간,168.3
50,12시 4구간,168.3
51,13시 1구간,168.3
52,13시 2구간,168.3
53,13시 3구간,168.3
54,13시 4구간,168.3
55,14시 1구간,168.3
56,14시 2구간,168.3
57,14시 3구간,168.3
58,14시 4구간,168.3
59,15시 1구간,169.72
60,15시 2구간,169.72
61,15시 3구간,169.72
62,15시 4구간,169.72
63,16시 1구간,169.72
64,16시 2구간,169.72
65,16시 3구간,169.72
66,16시 4구간,169.72
67,17시 1구간,169.72
68,17시 2구간,169.72
69,17시 3구간,169.72
70,17시 4구간,169.72
71,18시 1구간,169.72
72,18시 2구간,169.72
73,18시 3구간,169.72
74,18시 4구간,169.72
75,19시 1구간,169.72
76,19시 2구간,169.72
77,19시 3구간,169.72
78,19시 4구간,169.72
79,20시 1구간,169.72
80,20시 2구간,169.72
81,20시 3구간,169.72
82,20시 4구간,169.72
83,21시 1구간,169.9
84,21시 2구간,169.9
85,21시 3구간,169.9
86,21시 4구간,169.9
87,22시 1구간,169.9
88,22시 2구간,169.9
89,22시 3구간,169.9
90,22시 4구간,169.9
91,23시 1구간,169.9
92,23시 2구간,169.9
93,23시 3구간,169.9
94,23시 4구간,169.9
95,24시 1구간,169.9
96,24시 2구간,169.9
97,24시 3구간,169.9
98,24시 4구간,169.9
