,시간,09-11 (수)
0,최대,160.57
1,최소,134.72
2,가중평균,154.23
3,01시 1구간,158.37
4,01시 2구간,158.37
5,01시 3구간,144.54
6,01시 4구간,144.54
7,02시 1구간,141.47
8,02시 2구간,141.47
9,02시 3구간,141.47
10,02시 4구간,141.47
11,03시 1구간,141.49
12,03시 2구간,141.49
13,03시 3구간,141.49
14,03시 4구간,141.49
15,04시 1구간,135.42
16,04시 2구간,135.42
17,04시 3구간,135.42
18,04시 4구간,135.42
19,05시 1구간,134.72
20,05시 2구간,134.72
21,05시 3구간,134.72
22,05시 4구간,134.72
23,06시 1구간,141.5
24,06시 2구간,141.5
25,06시 3구간,141.5
26,06시 4구간,141.5
27,07시 1구간,141.5
28,07시 2구간,141.5
29,07시 3구간,141.5
30,07시 4구간,141.5
31,08시 1구간,145.18
32,08시 2구간,145.18
33,08시 3구간,145.18
34,08시 4구간,145.18
35,09시 1구간,158.91
36,09시 2구간,158.91
37,09시 3구간,158.91
38,09시 4구간,158.91
39,10시 1구간,158.74
40,10시 2구간,158.74
41,10시 3구간,158.74
42,10시 4구간,158.74
43,11시 1구간,158.58
44,11시 2구간,158.58
45,11시 3구간,158.58
46,11시 4구간,158.58
47,12시 1구간,158.84
48,12시 2구간,158.84
49,12시 3구간,158.84
50,12시 4구간,158.84
51,13시 1구간,158.85
52,13시 2구간,158.85
53,13시 3구간,158.85
54,13시 4구간,158.85
55,14시 1구간,158.58
56,14시 2구간,158.58
57,14시 3구간,158.58
58,14시 4구간,158.58
59,15시 1구간,158.58
60,15시 2구간,158.58
61,15시 3구간,158.58
62,15시 4구간,158.58
63,16시 1구간,160.47
64,16시 2구간,160.47
65,16시 3구간,160.47
66,16시 4구간,160.47
67,17시 1구간,160.57
68,17시 2구간,160.57
69,17시 3구간,160.57
70,17시 4구간,160.57
71,18시 1구간,160.04
72,18시 2구간,160.04
73,18시 3구간,160.04
74,18시 4구간,160.04
75,19시 1구간,160.26
76,19시 2구간,160.26
77,19시 3구간,160.26
78,19시 4구간,160.26
79,20시 1구간,160.18
80,20시 2구간,160.18
81,20시 3구간,160.18
82,20시 4구간,160.18
83,21시 1구간,159.52
84,21시 2구간,159.52
85,21시 3구간,159.52
86,21시 4구간,159.52
87,22시 1구간,159.52
88,22시 2구간,159.52
89,22시 3구간,159.52
90,22시 4구간,159.52
91,23시 1구간,158.91
92,23시 2구간,158.91
93,23시 3구간,158.91
94,23시 4구간,158.91
95,24시 1구간,143.09
96,24시 2구간,143.09
97,24시 3구간,143.09
98,24시 4구간,143.09
