,시간,07-23 (화)
0,최대,179.13
1,최소,99.75
2,가중평균,141.06
3,01시 1구간,130.82
4,01시 2구간,130.82
5,01시 3구간,130.82
6,01시 4구간,130.82
7,02시 1구간,110.1
8,02시 2구간,110.1
9,02시 3구간,110.1
10,02시 4구간,110.1
11,03시 1구간,100.95
12,03시 2구간,100.95
13,03시 3구간,100.95
14,03시 4구간,100.95
15,04시 1구간,99.75
16,04시 2구간,99.75
17,04시 3구간,99.75
18,04시 4구간,99.75
19,05시 1구간,99.75
20,05시 2구간,99.75
21,05시 3구간,99.75
22,05시 4구간,99.75
23,06시 1구간,100.95
24,06시 2구간,100.95
25,06시 3구간,100.95
26,06시 4구간,100.95
27,07시 1구간,127.44
28,07시 2구간,127.44
29,07시 3구간,127.44
30,07시 4구간,127.44
31,08시 1구간,132.25
32,08시 2구간,132.25
33,08시 3구간,132.25
34,08시 4구간,132.25
35,09시 1구간,137.77
36,09시 2구간,137.77
37,09시 3구간,137.77
38,09시 4구간,137.77
39,10시 1구간,152.44
40,10시 2구간,152.44
41,10시 3구간,152.44
42,10시 4구간,152.44
43,11시 1구간,152.44
44,11시 2구간,151.32
45,11시 3구간,148.52
46,11시 4구간,122.1
47,12시 1구간,118.93
48,12시 2구간,118.99
49,12시 3구간,119.53
50,12시 4구간,149.43
51,13시 1구간,150.88
52,13시 2구간,150.88
53,13시 3구간,150.88
54,13시 4구간,150.88
55,14시 1구간,152.28
56,14시 2구간,152.28
57,14시 3구간,152.28
58,14시 4구간,152.28
59,15시 1구간,152.28
60,15시 2구간,152.28
61,15시 3구간,152.28
62,15시 4구간,152.28
63,16시 1구간,179.13
64,16시 2구간,179.13
65,16시 3구간,179.13
66,16시 4구간,179.13
67,17시 1구간,152.28
68,17시 2구간,152.28
69,17시 3구간,152.28
70,17시 4구간,152.28
71,18시 1구간,155.38
72,18시 2구간,155.38
73,18시 3구간,155.38
74,18시 4구간,155.38
75,19시 1구간,153.66
76,19시 2구간,153.66
77,19시 3구간,153.66
78,19시 4구간,153.73
79,20시 1구간,153.58
80,20시 2구간,153.58
81,20시 3구간,153.71
82,20시 4구간,153.71
83,21시 1구간,154.11
84,21시 2구간,154.11
85,21시 3구간,154.11
86,21시 4구간,154.02
87,22시 1구간,154.11
88,22시 2구간,154.11
89,22시 3구간,154.11
90,22시 4구간,154.11
91,23시 1구간,153.92
92,23시 2구간,153.92
93,23시 3구간,153.92
94,23시 4구간,136.28
95,24시 1구간,136.23
96,24시 2구간,136.23
97,24시 3구간,136.23
98,24시 4구간,136.23
