,시간,04-21 (일)
0,최대,149.36
1,최소,81.92
2,가중평균,106.2
3,01시 1구간,100.02
4,01시 2구간,100.02
5,01시 3구간,100.02
6,01시 4구간,100.02
7,02시 1구간,92.55
8,02시 2구간,92.55
9,02시 3구간,92.55
10,02시 4구간,149.36
11,03시 1구간,131.33
12,03시 2구간,131.33
13,03시 3구간,131.33
14,03시 4구간,131.33
15,04시 1구간,131.33
16,04시 2구간,131.33
17,04시 3구간,131.33
18,04시 4구간,131.33
19,05시 1구간,131.33
20,05시 2구간,131.33
21,05시 3구간,131.33
22,05시 4구간,131.33
23,06시 1구간,131.33
24,06시 2구간,131.33
25,06시 3구간,88.34
26,06시 4구간,88.34
27,07시 1구간,92.55
28,07시 2구간,92.55
29,07시 3구간,92.55
30,07시 4구간,92.55
31,08시 1구간,87.32
32,08시 2구간,87.32
33,08시 3구간,87.32
34,08시 4구간,87.32
35,09시 1구간,81.92
36,09시 2구간,81.92
37,09시 3구간,81.92
38,09시 4구간,81.92
39,10시 1구간,85.72
40,10시 2구간,85.72
41,10시 3구간,85.72
42,10시 4구간,85.72
43,11시 1구간,86.13
44,11시 2구간,86.13
45,11시 3구간,86.13
46,11시 4구간,86.13
47,12시 1구간,81.92
48,12시 2구간,81.92
49,12시 3구간,81.92
50,12시 4구간,81.92
51,13시 1구간,81.92
52,13시 2구간,81.92
53,13시 3구간,81.92
54,13시 4구간,81.92
55,14시 1구간,95.39
56,14시 2구간,95.39
57,14시 3구간,95.39
58,14시 4구간,95.39
59,15시 1구간,97.87
60,15시 2구간,97.87
61,15시 3구간,97.87
62,15시 4구간,97.87
63,16시 1구간,96.08
64,16시 2구간,96.08
65,16시 3구간,96.08
66,16시 4구간,96.08
67,17시 1구간,96.08
68,17시 2구간,96.08
69,17시 3구간,96.08
70,17시 4구간,96.08
71,18시 1구간,100.81
72,18시 2구간,100.81
73,18시 3구간,100.81
74,18시 4구간,100.81
75,19시 1구간,121.97
76,19시 2구간,121.97
77,19시 3구간,121.97
78,19시 4구간,121.97
79,20시 1구간,125.6
80,20시 2구간,125.6
81,20시 3구간,125.6
82,20시 4구간,125.6
83,21시 1구간,126.59
84,21시 2구간,126.59
85,21시 3구간,126.59
86,21시 4구간,126.59
87,22시 1구간,125.6
88,22시 2구간,125.6
89,22시 3구간,125.6
90,22시 4구간,125.6
91,23시 1구간,125.6
92,23시 2구간,125.6
93,23시 3구간,125.6
94,23시 4구간,125.6
95,24시 1구간,117.88
96,24시 2구간,117.88
97,24시 3구간,117.88
98,24시 4구간,117.88
