,시간,07-28 (일)
0,최대,195.51
1,최소,95.2
2,가중평균,136.98
3,01시 1구간,124.53
4,01시 2구간,124.53
5,01시 3구간,124.53
6,01시 4구간,124.53
7,02시 1구간,101.06
8,02시 2구간,101.06
9,02시 3구간,101.06
10,02시 4구간,101.06
11,03시 1구간,100.74
12,03시 2구간,100.74
13,03시 3구간,100.74
14,03시 4구간,100.74
15,04시 1구간,95.2
16,04시 2구간,95.2
17,04시 3구간,95.2
18,04시 4구간,95.2
19,05시 1구간,95.2
20,05시 2구간,95.2
21,05시 3구간,95.2
22,05시 4구간,95.2
23,06시 1구간,96.06
24,06시 2구간,96.06
25,06시 3구간,96.06
26,06시 4구간,96.06
27,07시 1구간,96.06
28,07시 2구간,96.06
29,07시 3구간,96.06
30,07시 4구간,96.06
31,08시 1구간,101.56
32,08시 2구간,101.56
33,08시 3구간,101.56
34,08시 4구간,101.56
35,09시 1구간,127.22
36,09시 2구간,127.22
37,09시 3구간,127.22
38,09시 4구간,127.22
39,10시 1구간,181.23
40,10시 2구간,181.23
41,10시 3구간,181.23
42,10시 4구간,181.23
43,11시 1구간,139.21
44,11시 2구간,139.21
45,11시 3구간,139.21
46,11시 4구간,139.21
47,12시 1구간,179.24
48,12시 2구간,179.24
49,12시 3구간,179.24
50,12시 4구간,179.24
51,13시 1구간,139.53
52,13시 2구간,139.53
53,13시 3구간,139.53
54,13시 4구간,139.53
55,14시 1구간,139.15
56,14시 2구간,139.15
57,14시 3구간,139.15
58,14시 4구간,139.15
59,15시 1구간,139.79
60,15시 2구간,139.79
61,15시 3구간,139.79
62,15시 4구간,139.79
63,16시 1구간,141.66
64,16시 2구간,141.66
65,16시 3구간,141.66
66,16시 4구간,141.66
67,17시 1구간,141.53
68,17시 2구간,141.53
69,17시 3구간,141.53
70,17시 4구간,141.53
71,18시 1구간,141.68
72,18시 2구간,141.68
73,18시 3구간,151.68
74,18시 4구간,151.68
75,19시 1구간,154.07
76,19시 2구간,154.07
77,19시 3구간,154.07
78,19시 4구간,154.07
79,20시 1구간,154.33
80,20시 2구간,154.33
81,20시 3구간,154.33
82,20시 4구간,154.33
83,21시 1구간,195.51
84,21시 2구간,195.51
85,21시 3구간,195.51
86,21시 4구간,195.51
87,22시 1구간,152.21
88,22시 2구간,152.21
89,22시 3구간,151.95
90,22시 4구간,151.95
91,23시 1구간,152.32
92,23시 2구간,152.32
93,23시 3구간,152.32
94,23시 4구간,134.11
95,24시 1구간,118.97
96,24시 2구간,118.97
97,24시 3구간,118.97
98,24시 4구간,118.97
