,시간,06-07 (금)
0,최대,151.0
1,최소,89.39
2,가중평균,130.76
3,01시 1구간,117.55
4,01시 2구간,117.55
5,01시 3구간,117.55
6,01시 4구간,117.55
7,02시 1구간,95.83
8,02시 2구간,95.83
9,02시 3구간,95.83
10,02시 4구간,95.83
11,03시 1구간,95.82
12,03시 2구간,95.82
13,03시 3구간,95.82
14,03시 4구간,95.82
15,04시 1구간,89.39
16,04시 2구간,89.39
17,04시 3구간,89.39
18,04시 4구간,89.39
19,05시 1구간,89.39
20,05시 2구간,89.39
21,05시 3구간,89.39
22,05시 4구간,89.39
23,06시 1구간,96.55
24,06시 2구간,96.55
25,06시 3구간,96.55
26,06시 4구간,96.55
27,07시 1구간,108.29
28,07시 2구간,108.29
29,07시 3구간,108.29
30,07시 4구간,108.29
31,08시 1구간,114.28
32,08시 2구간,114.28
33,08시 3구간,114.28
34,08시 4구간,114.28
35,09시 1구간,136.7
36,09시 2구간,151.0
37,09시 3구간,151.0
38,09시 4구간,151.0
39,10시 1구간,150.76
40,10시 2구간,150.76
41,10시 3구간,150.76
42,10시 4구간,150.76
43,11시 1구간,150.45
44,11시 2구간,150.45
45,11시 3구간,137.51
46,11시 4구간,137.51
47,12시 1구간,137.07
48,12시 2구간,137.07
49,12시 3구간,137.07
50,12시 4구간,137.07
51,13시 1구간,136.59
52,13시 2구간,136.59
53,13시 3구간,136.59
54,13시 4구간,136.59
55,14시 1구간,143.94
56,14시 2구간,143.94
57,14시 3구간,143.94
58,14시 4구간,143.94
59,15시 1구간,144.09
60,15시 2구간,144.09
61,15시 3구간,144.09
62,15시 4구간,144.09
63,16시 1구간,137.79
64,16시 2구간,137.79
65,16시 3구간,137.79
66,16시 4구간,137.79
67,17시 1구간,137.79
68,17시 2구간,146.53
69,17시 3구간,146.53
70,17시 4구간,146.53
71,18시 1구간,138.58
72,18시 2구간,138.58
73,18시 3구간,138.58
74,18시 4구간,138.58
75,19시 1구간,134.82
76,19시 2구간,134.82
77,19시 3구간,134.82
78,19시 4구간,134.82
79,20시 1구간,147.31
80,20시 2구간,134.82
81,20시 3구간,134.82
82,20시 4구간,134.82
83,21시 1구간,147.31
84,21시 2구간,147.31
85,21시 3구간,147.31
86,21시 4구간,146.71
87,22시 1구간,147.62
88,22시 2구간,147.62
89,22시 3구간,147.62
90,22시 4구간,147.62
91,23시 1구간,147.46
92,23시 2구간,147.46
93,23시 3구간,147.46
94,23시 4구간,147.46
95,24시 1구간,147.46
96,24시 2구간,147.46
97,24시 3구간,147.46
98,24시 4구간,147.46
