,시간,08-09 (금)
0,최대,220.75
1,최소,125.71
2,가중평균,161.49
3,01시 1구간,159.44
4,01시 2구간,159.44
5,01시 3구간,159.44
6,01시 4구간,137.35
7,02시 1구간,136.13
8,02시 2구간,136.13
9,02시 3구간,136.13
10,02시 4구간,136.13
11,03시 1구간,129.61
12,03시 2구간,129.61
13,03시 3구간,129.61
14,03시 4구간,129.61
15,04시 1구간,126.07
16,04시 2구간,126.07
17,04시 3구간,126.07
18,04시 4구간,126.07
19,05시 1구간,125.71
20,05시 2구간,125.71
21,05시 3구간,125.71
22,05시 4구간,125.71
23,06시 1구간,135.13
24,06시 2구간,135.13
25,06시 3구간,135.13
26,06시 4구간,135.13
27,07시 1구간,135.81
28,07시 2구간,135.81
29,07시 3구간,135.81
30,07시 4구간,135.81
31,08시 1구간,142.14
32,08시 2구간,142.14
33,08시 3구간,142.14
34,08시 4구간,142.14
35,09시 1구간,147.67
36,09시 2구간,147.67
37,09시 3구간,147.67
38,09시 4구간,147.67
39,10시 1구간,157.83
40,10시 2구간,157.83
41,10시 3구간,157.83
42,10시 4구간,157.83
43,11시 1구간,158.98
44,11시 2구간,158.98
45,11시 3구간,158.98
46,11시 4구간,158.98
47,12시 1구간,158.71
48,12시 2구간,158.71
49,12시 3구간,158.71
50,12시 4구간,158.71
51,13시 1구간,158.71
52,13시 2구간,158.71
53,13시 3구간,158.71
54,13시 4구간,158.71
55,14시 1구간,158.71
56,14시 2구간,158.71
57,14시 3구간,158.71
58,14시 4구간,158.71
59,15시 1구간,164.42
60,15시 2구간,164.42
61,15시 3구간,164.42
62,15시 4구간,164.42
63,16시 1구간,198.92
64,16시 2구간,198.92
65,16시 3구간,198.92
66,16시 4구간,198.92
67,17시 1구간,164.41
68,17시 2구간,164.41
69,17시 3구간,164.41
70,17시 4구간,164.41
71,18시 1구간,158.71
72,18시 2구간,158.71
73,18시 3구간,158.71
74,18시 4구간,158.71
75,19시 1구간,199.18
76,19시 2구간,199.18
77,19시 3구간,199.18
78,19시 4구간,220.75
79,20시 1구간,220.75
80,20시 2구간,220.75
81,20시 3구간,220.75
82,20시 4구간,218.91
83,21시 1구간,202.54
84,21시 2구간,202.54
85,21시 3구간,159.26
86,21시 4구간,157.01
87,22시 1구간,156.84
88,22시 2구간,156.84
89,22시 3구간,156.84
90,22시 4구간,156.84
91,23시 1구간,156.84
92,23시 2구간,156.84
93,23시 3구간,156.84
94,23시 4구간,156.84
95,24시 1구간,207.5
96,24시 2구간,157.0
97,24시 3구간,156.78
98,24시 4구간,156.78
