,시간,10-08 (화)
0,최대,154.03
1,최소,103.64
2,가중평균,127.05
3,01시 1구간,105.11
4,01시 2구간,105.11
5,01시 3구간,105.11
6,01시 4구간,105.11
7,02시 1구간,104.26
8,02시 2구간,104.26
9,02시 3구간,104.26
10,02시 4구간,104.26
11,03시 1구간,104.26
12,03시 2구간,104.26
13,03시 3구간,104.26
14,03시 4구간,104.26
15,04시 1구간,103.64
16,04시 2구간,103.64
17,04시 3구간,103.64
18,04시 4구간,103.64
19,05시 1구간,104.03
20,05시 2구간,104.03
21,05시 3구간,104.03
22,05시 4구간,104.03
23,06시 1구간,104.26
24,06시 2구간,104.26
25,06시 3구간,104.26
26,06시 4구간,104.26
27,07시 1구간,104.69
28,07시 2구간,104.69
29,07시 3구간,104.69
30,07시 4구간,104.69
31,08시 1구간,129.58
32,08시 2구간,129.58
33,08시 3구간,129.58
34,08시 4구간,129.58
35,09시 1구간,138.66
36,09시 2구간,138.66
37,09시 3구간,138.66
38,09시 4구간,138.66
39,10시 1구간,138.65
40,10시 2구간,138.65
41,10시 3구간,138.65
42,10시 4구간,138.65
43,11시 1구간,135.45
44,11시 2구간,135.45
45,11시 3구간,135.45
46,11시 4구간,135.45
47,12시 1구간,135.31
48,12시 2구간,135.31
49,12시 3구간,135.31
50,12시 4구간,135.31
51,13시 1구간,122.21
52,13시 2구간,122.21
53,13시 3구간,122.21
54,13시 4구간,122.21
55,14시 1구간,135.07
56,14시 2구간,135.07
57,14시 3구간,135.07
58,14시 4구간,135.07
59,15시 1구간,135.51
60,15시 2구간,135.51
61,15시 3구간,135.51
62,15시 4구간,135.51
63,16시 1구간,140.55
64,16시 2구간,140.55
65,16시 3구간,140.55
66,16시 4구간,140.55
67,17시 1구간,140.55
68,17시 2구간,140.55
69,17시 3구간,140.55
70,17시 4구간,140.55
71,18시 1구간,140.55
72,18시 2구간,154.03
73,18시 3구간,154.03
74,18시 4구간,154.03
75,19시 1구간,153.7
76,19시 2구간,153.7
77,19시 3구간,153.7
78,19시 4구간,153.7
79,20시 1구간,135.53
80,20시 2구간,135.53
81,20시 3구간,135.53
82,20시 4구간,135.53
83,21시 1구간,129.58
84,21시 2구간,129.58
85,21시 3구간,129.58
86,21시 4구간,129.58
87,22시 1구간,128.3
88,22시 2구간,128.3
89,22시 3구간,128.3
90,22시 4구간,128.3
91,23시 1구간,120.43
92,23시 2구간,120.43
93,23시 3구간,120.43
94,23시 4구간,120.43
95,24시 1구간,114.34
96,24시 2구간,114.34
97,24시 3구간,114.34
98,24시 4구간,114.34
