,시간,04-08 (월)
0,최대,162.45
1,최소,86.38
2,가중평균,146.26
3,01시 1구간,154.86
4,01시 2구간,146.17
5,01시 3구간,146.17
6,01시 4구간,146.17
7,02시 1구간,158.14
8,02시 2구간,156.72
9,02시 3구간,155.05
10,02시 4구간,99.08
11,03시 1구간,96.22
12,03시 2구간,96.22
13,03시 3구간,96.22
14,03시 4구간,96.22
15,04시 1구간,86.38
16,04시 2구간,86.38
17,04시 3구간,86.38
18,04시 4구간,86.38
19,05시 1구간,86.38
20,05시 2구간,86.38
21,05시 3구간,86.38
22,05시 4구간,86.38
23,06시 1구간,99.08
24,06시 2구간,99.08
25,06시 3구간,99.08
26,06시 4구간,99.08
27,07시 1구간,155.63
28,07시 2구간,146.35
29,07시 3구간,157.2
30,07시 4구간,113.07
31,08시 1구간,155.98
32,08시 2구간,155.98
33,08시 3구간,155.98
34,08시 4구간,155.98
35,09시 1구간,158.05
36,09시 2구간,159.36
37,09시 3구간,162.45
38,09시 4구간,162.45
39,10시 1구간,156.7
40,10시 2구간,156.7
41,10시 3구간,156.7
42,10시 4구간,157.42
43,11시 1구간,157.32
44,11시 2구간,157.32
45,11시 3구간,157.32
46,11시 4구간,157.32
47,12시 1구간,156.7
48,12시 2구간,156.7
49,12시 3구간,156.7
50,12시 4구간,156.7
51,13시 1구간,156.7
52,13시 2구간,156.7
53,13시 3구간,156.7
54,13시 4구간,156.7
55,14시 1구간,156.7
56,14시 2구간,156.7
57,14시 3구간,154.88
58,14시 4구간,154.88
59,15시 1구간,154.88
60,15시 2구간,154.88
61,15시 3구간,154.88
62,15시 4구간,154.88
63,16시 1구간,154.88
64,16시 2구간,154.88
65,16시 3구간,154.88
66,16시 4구간,154.88
67,17시 1구간,154.88
68,17시 2구간,154.88
69,17시 3구간,145.61
70,17시 4구간,145.61
71,18시 1구간,162.45
72,18시 2구간,162.45
73,18시 3구간,162.45
74,18시 4구간,162.45
75,19시 1구간,158.54
76,19시 2구간,158.54
77,19시 3구간,158.54
78,19시 4구간,158.54
79,20시 1구간,158.65
80,20시 2구간,156.82
81,20시 3구간,158.65
82,20시 4구간,156.82
83,21시 1구간,158.74
84,21시 2구간,158.74
85,21시 3구간,158.74
86,21시 4구간,158.74
87,22시 1구간,157.71
88,22시 2구간,157.71
89,22시 3구간,157.71
90,22시 4구간,157.71
91,23시 1구간,157.71
92,23시 2구간,158.01
93,23시 3구간,158.01
94,23시 4구간,158.01
95,24시 1구간,158.01
96,24시 2구간,158.01
97,24시 3구간,158.01
98,24시 4구간,158.01
