,시간,05-03 (금)
0,최대,151.07
1,최소,-79.06
2,가중평균,106.43
3,01시 1구간,149.7
4,01시 2구간,149.7
5,01시 3구간,149.7
6,01시 4구간,149.7
7,02시 1구간,149.7
8,02시 2구간,149.7
9,02시 3구간,149.7
10,02시 4구간,149.7
11,03시 1구간,149.7
12,03시 2구간,150.82
13,03시 3구간,149.7
14,03시 4구간,146.74
15,04시 1구간,123.81
16,04시 2구간,123.81
17,04시 3구간,123.81
18,04시 4구간,123.81
19,05시 1구간,125.86
20,05시 2구간,125.86
21,05시 3구간,125.86
22,05시 4구간,125.86
23,06시 1구간,146.74
24,06시 2구간,146.74
25,06시 3구간,146.74
26,06시 4구간,146.74
27,07시 1구간,146.74
28,07시 2구간,146.74
29,07시 3구간,146.74
30,07시 4구간,146.74
31,08시 1구간,146.66
32,08시 2구간,146.05
33,08시 3구간,-2.0
34,08시 4구간,137.46
35,09시 1구간,137.65
36,09시 2구간,-79.06
37,09시 3구간,137.65
38,09시 4구간,137.65
39,10시 1구간,138.45
40,10시 2구간,0.0
41,10시 3구간,0.0
42,10시 4구간,0.0
43,11시 1구간,0.0
44,11시 2구간,-2.0
45,11시 3구간,-79.06
46,11시 4구간,-79.06
47,12시 1구간,-79.06
48,12시 2구간,-79.06
49,12시 3구간,-79.06
50,12시 4구간,-79.06
51,13시 1구간,-79.06
52,13시 2구간,-79.06
53,13시 3구간,-79.06
54,13시 4구간,-79.06
55,14시 1구간,-2.0
56,14시 2구간,0.0
57,14시 3구간,138.48
58,14시 4구간,138.48
59,15시 1구간,138.31
60,15시 2구간,138.31
61,15시 3구간,138.31
62,15시 4구간,138.31
63,16시 1구간,0.0
64,16시 2구간,0.0
65,16시 3구간,0.0
66,16시 4구간,0.0
67,17시 1구간,145.64
68,17시 2구간,139.15
69,17시 3구간,145.64
70,17시 4구간,145.64
71,18시 1구간,148.89
72,18시 2구간,148.89
73,18시 3구간,148.89
74,18시 4구간,148.89
75,19시 1구간,149.07
76,19시 2구간,149.07
77,19시 3구간,149.07
78,19시 4구간,149.07
79,20시 1구간,150.27
80,20시 2구간,150.27
81,20시 3구간,150.27
82,20시 4구간,150.27
83,21시 1구간,150.94
84,21시 2구간,150.94
85,21시 3구간,150.94
86,21시 4구간,150.94
87,22시 1구간,150.94
88,22시 2구간,150.94
89,22시 3구간,150.94
90,22시 4구간,150.94
91,23시 1구간,150.94
92,23시 2구간,150.94
93,23시 3구간,150.94
94,23시 4구간,150.94
95,24시 1구간,151.07
96,24시 2구간,151.07
97,24시 3구간,151.07
98,24시 4구간,147.32
