,시간,08-03 (토)
0,최대,202.58
1,최소,107.07
2,가중평균,149.02
3,01시 1구간,159.54
4,01시 2구간,159.54
5,01시 3구간,159.54
6,01시 4구간,159.54
7,02시 1구간,107.54
8,02시 2구간,107.54
9,02시 3구간,107.54
10,02시 4구간,107.54
11,03시 1구간,107.54
12,03시 2구간,107.54
13,03시 3구간,107.54
14,03시 4구간,107.54
15,04시 1구간,107.3
16,04시 2구간,107.3
17,04시 3구간,107.3
18,04시 4구간,107.3
19,05시 1구간,107.07
20,05시 2구간,107.07
21,05시 3구간,107.07
22,05시 4구간,107.07
23,06시 1구간,107.54
24,06시 2구간,107.54
25,06시 3구간,107.54
26,06시 4구간,107.54
27,07시 1구간,107.54
28,07시 2구간,107.54
29,07시 3구간,107.54
30,07시 4구간,107.54
31,08시 1구간,142.14
32,08시 2구간,142.14
33,08시 3구간,142.14
34,08시 4구간,142.14
35,09시 1구간,147.92
36,09시 2구간,147.92
37,09시 3구간,147.92
38,09시 4구간,147.92
39,10시 1구간,146.82
40,10시 2구간,146.82
41,10시 3구간,146.82
42,10시 4구간,146.82
43,11시 1구간,146.7
44,11시 2구간,146.7
45,11시 3구간,146.7
46,11시 4구간,146.7
47,12시 1구간,156.97
48,12시 2구간,156.97
49,12시 3구간,156.97
50,12시 4구간,156.97
51,13시 1구간,158.13
52,13시 2구간,158.13
53,13시 3구간,158.13
54,13시 4구간,158.13
55,14시 1구간,159.7
56,14시 2구간,159.7
57,14시 3구간,159.7
58,14시 4구간,159.7
59,15시 1구간,159.97
60,15시 2구간,159.97
61,15시 3구간,159.97
62,15시 4구간,159.97
63,16시 1구간,159.97
64,16시 2구간,159.97
65,16시 3구간,159.97
66,16시 4구간,159.97
67,17시 1구간,159.97
68,17시 2구간,159.97
69,17시 3구간,159.97
70,17시 4구간,159.97
71,18시 1구간,158.32
72,18시 2구간,158.32
73,18시 3구간,158.32
74,18시 4구간,158.32
75,19시 1구간,158.87
76,19시 2구간,158.87
77,19시 3구간,159.97
78,19시 4구간,159.97
79,20시 1구간,159.97
80,20시 2구간,202.58
81,20시 3구간,202.58
82,20시 4구간,202.58
83,21시 1구간,202.58
84,21시 2구간,160.25
85,21시 3구간,160.25
86,21시 4구간,160.25
87,22시 1구간,158.71
88,22시 2구간,157.83
89,22시 3구간,157.83
90,22시 4구간,157.83
91,23시 1구간,157.76
92,23시 2구간,157.76
93,23시 3구간,157.76
94,23시 4구간,157.76
95,24시 1구간,157.66
96,24시 2구간,157.66
97,24시 3구간,157.66
98,24시 4구간,157.66
