,시간,10-19 (토)
0,최대,210.46
1,최소,0.0
2,가중평균,106.16
3,01시 1구간,100.85
4,01시 2구간,100.85
5,01시 3구간,100.85
6,01시 4구간,100.85
7,02시 1구간,92.95
8,02시 2구간,92.95
9,02시 3구간,92.95
10,02시 4구간,92.95
11,03시 1구간,92.56
12,03시 2구간,92.56
13,03시 3구간,92.56
14,03시 4구간,92.56
15,04시 1구간,85.47
16,04시 2구간,85.47
17,04시 3구간,85.47
18,04시 4구간,85.47
19,05시 1구간,85.64
20,05시 2구간,85.64
21,05시 3구간,85.64
22,05시 4구간,85.64
23,06시 1구간,92.7
24,06시 2구간,92.7
25,06시 3구간,92.7
26,06시 4구간,92.7
27,07시 1구간,93.02
28,07시 2구간,93.02
29,07시 3구간,93.02
30,07시 4구간,93.02
31,08시 1구간,93.02
32,08시 2구간,93.02
33,08시 3구간,93.02
34,08시 4구간,93.02
35,09시 1구간,101.26
36,09시 2구간,101.26
37,09시 3구간,101.26
38,09시 4구간,101.26
39,10시 1구간,110.96
40,10시 2구간,110.96
41,10시 3구간,110.96
42,10시 4구간,0.0
43,11시 1구간,112.04
44,11시 2구간,112.04
45,11시 3구간,112.04
46,11시 4구간,205.01
47,12시 1구간,209.55
48,12시 2구간,210.46
49,12시 3구간,198.35
50,12시 4구간,112.03
51,13시 1구간,110.89
52,13시 2구간,110.89
53,13시 3구간,110.89
54,13시 4구간,110.89
55,14시 1구간,101.75
56,14시 2구간,101.75
57,14시 3구간,101.75
58,14시 4구간,101.75
59,15시 1구간,101.35
60,15시 2구간,101.35
61,15시 3구간,101.35
62,15시 4구간,101.35
63,16시 1구간,101.36
64,16시 2구간,101.36
65,16시 3구간,101.36
66,16시 4구간,101.36
67,17시 1구간,101.36
68,17시 2구간,101.36
69,17시 3구간,101.36
70,17시 4구간,101.36
71,18시 1구간,101.99
72,18시 2구간,101.99
73,18시 3구간,101.99
74,18시 4구간,101.99
75,19시 1구간,139.29
76,19시 2구간,139.29
77,19시 3구간,139.29
78,19시 4구간,139.29
79,20시 1구간,139.29
80,20시 2구간,139.29
81,20시 3구간,139.29
82,20시 4구간,139.29
83,21시 1구간,102.23
84,21시 2구간,102.23
85,21시 3구간,102.23
86,21시 4구간,102.23
87,22시 1구간,99.11
88,22시 2구간,99.11
89,22시 3구간,99.11
90,22시 4구간,99.11
91,23시 1구간,93.02
92,23시 2구간,93.02
93,23시 3구간,93.02
94,23시 4구간,93.02
95,24시 1구간,93.02
96,24시 2구간,93.02
97,24시 3구간,93.02
98,24시 4구간,93.02
