,시간,06-16 (일)
0,최대,155.73
1,최소,87.41
2,가중평균,118.33
3,01시 1구간,97.91
4,01시 2구간,97.91
5,01시 3구간,97.91
6,01시 4구간,97.91
7,02시 1구간,96.95
8,02시 2구간,96.95
9,02시 3구간,96.95
10,02시 4구간,96.95
11,03시 1구간,95.15
12,03시 2구간,95.15
13,03시 3구간,95.15
14,03시 4구간,95.15
15,04시 1구간,87.41
16,04시 2구간,87.41
17,04시 3구간,87.41
18,04시 4구간,87.41
19,05시 1구간,87.41
20,05시 2구간,87.41
21,05시 3구간,87.41
22,05시 4구간,87.41
23,06시 1구간,95.1
24,06시 2구간,95.1
25,06시 3구간,95.1
26,06시 4구간,95.1
27,07시 1구간,95.16
28,07시 2구간,95.16
29,07시 3구간,95.16
30,07시 4구간,95.16
31,08시 1구간,95.23
32,08시 2구간,95.23
33,08시 3구간,95.23
34,08시 4구간,95.23
35,09시 1구간,95.22
36,09시 2구간,95.22
37,09시 3구간,95.22
38,09시 4구간,95.22
39,10시 1구간,121.11
40,10시 2구간,121.11
41,10시 3구간,121.11
42,10시 4구간,121.11
43,11시 1구간,99.5
44,11시 2구간,99.5
45,11시 3구간,99.5
46,11시 4구간,99.5
47,12시 1구간,118.8
48,12시 2구간,118.8
49,12시 3구간,118.8
50,12시 4구간,118.8
51,13시 1구간,117.2
52,13시 2구간,117.2
53,13시 3구간,117.2
54,13시 4구간,117.2
55,14시 1구간,139.04
56,14시 2구간,139.04
57,14시 3구간,139.04
58,14시 4구간,139.04
59,15시 1구간,120.11
60,15시 2구간,120.11
61,15시 3구간,120.11
62,15시 4구간,120.11
63,16시 1구간,125.61
64,16시 2구간,125.61
65,16시 3구간,125.61
66,16시 4구간,125.61
67,17시 1구간,139.3
68,17시 2구간,139.3
69,17시 3구간,139.3
70,17시 4구간,139.3
71,18시 1구간,138.72
72,18시 2구간,154.86
73,18시 3구간,154.86
74,18시 4구간,154.86
75,19시 1구간,154.86
76,19시 2구간,154.86
77,19시 3구간,154.86
78,19시 4구간,154.86
79,20시 1구간,155.51
80,20시 2구간,155.51
81,20시 3구간,155.51
82,20시 4구간,155.51
83,21시 1구간,155.73
84,21시 2구간,155.73
85,21시 3구간,155.73
86,21시 4구간,155.73
87,22시 1구간,125.68
88,22시 2구간,125.68
89,22시 3구간,125.68
90,22시 4구간,125.68
91,23시 1구간,116.97
92,23시 2구간,116.97
93,23시 3구간,116.97
94,23시 4구간,116.97
95,24시 1구간,99.86
96,24시 2구간,99.86
97,24시 3구간,99.86
98,24시 4구간,99.86
