,시간,03-08 (금)
0,최대,279.08
1,최소,-77.94
2,가중평균,133.84
3,01시 1구간,108.22
4,01시 2구간,108.22
5,01시 3구간,108.22
6,01시 4구간,108.22
7,02시 1구간,261.14
8,02시 2구간,279.08
9,02시 3구간,273.65
10,02시 4구간,273.36
11,03시 1구간,256.25
12,03시 2구간,267.64
13,03시 3구간,267.64
14,03시 4구간,267.64
15,04시 1구간,273.36
16,04시 2구간,263.41
17,04시 3구간,267.64
18,04시 4구간,267.64
19,05시 1구간,267.64
20,05시 2구간,267.64
21,05시 3구간,170.58
22,05시 4구간,167.74
23,06시 1구간,170.66
24,06시 2구간,170.66
25,06시 3구간,255.25
26,06시 4구간,170.66
27,07시 1구간,267.53
28,07시 2구간,269.71
29,07시 3구간,269.71
30,07시 4구간,275.43
31,08시 1구간,275.43
32,08시 2구간,267.53
33,08시 3구간,267.53
34,08시 4구간,252.42
35,09시 1구간,170.66
36,09시 2구간,170.66
37,09시 3구간,158.25
38,09시 4구간,169.91
39,10시 1구간,166.29
40,10시 2구간,166.67
41,10시 3구간,167.53
42,10시 4구간,0.0
43,11시 1구간,0.0
44,11시 2구간,-75.32
45,11시 3구간,-75.32
46,11시 4구간,-77.94
47,12시 1구간,158.96
48,12시 2구간,158.96
49,12시 3구간,0.0
50,12시 4구간,-1.0
51,13시 1구간,-1.0
52,13시 2구간,-1.0
53,13시 3구간,0.0
54,13시 4구간,0.0
55,14시 1구간,0.0
56,14시 2구간,0.0
57,14시 3구간,-1.0
58,14시 4구간,-7.0
59,15시 1구간,-3.0
60,15시 2구간,0.0
61,15시 3구간,0.0
62,15시 4구간,0.0
63,16시 1구간,159.69
64,16시 2구간,159.69
65,16시 3구간,0.0
66,16시 4구간,159.69
67,17시 1구간,-75.32
68,17시 2구간,-75.32
69,17시 3구간,-19.0
70,17시 4구간,-19.0
71,18시 1구간,-19.0
72,18시 2구간,-1.0
73,18시 3구간,0.0
74,18시 4구간,0.0
75,19시 1구간,172.82
76,19시 2구간,174.07
77,19시 3구간,174.07
78,19시 4구간,174.07
79,20시 1구간,174.07
80,20시 2구간,174.07
81,20시 3구간,174.07
82,20시 4구간,174.07
83,21시 1구간,174.07
84,21시 2구간,174.07
85,21시 3구간,174.07
86,21시 4구간,174.07
87,22시 1구간,108.69
88,22시 2구간,108.69
89,22시 3구간,108.69
90,22시 4구간,108.69
91,23시 1구간,109.48
92,23시 2구간,109.48
93,23시 3구간,109.48
94,23시 4구간,109.48
95,24시 1구간,120.38
96,24시 2구간,120.38
97,24시 3구간,120.38
98,24시 4구간,120.38
