,시간,08-01 (목)
0,최대,161.96
1,최소,106.78
2,가중평균,143.33
3,01시 1구간,159.44
4,01시 2구간,159.44
5,01시 3구간,145.62
6,01시 4구간,145.62
7,02시 1구간,106.8
8,02시 2구간,106.8
9,02시 3구간,106.8
10,02시 4구간,106.8
11,03시 1구간,106.8
12,03시 2구간,106.8
13,03시 3구간,106.8
14,03시 4구간,106.8
15,04시 1구간,106.78
16,04시 2구간,106.78
17,04시 3구간,106.78
18,04시 4구간,106.78
19,05시 1구간,106.78
20,05시 2구간,106.78
21,05시 3구간,106.78
22,05시 4구간,106.78
23,06시 1구간,106.8
24,06시 2구간,106.8
25,06시 3구간,106.8
26,06시 4구간,106.8
27,07시 1구간,106.8
28,07시 2구간,106.8
29,07시 3구간,106.8
30,07시 4구간,106.8
31,08시 1구간,138.76
32,08시 2구간,138.76
33,08시 3구간,138.76
34,08시 4구간,138.76
35,09시 1구간,142.62
36,09시 2구간,142.62
37,09시 3구간,142.62
38,09시 4구간,142.62
39,10시 1구간,146.27
40,10시 2구간,146.27
41,10시 3구간,146.27
42,10시 4구간,146.27
43,11시 1구간,148.31
44,11시 2구간,148.31
45,11시 3구간,148.31
46,11시 4구간,148.31
47,12시 1구간,148.27
48,12시 2구간,148.27
49,12시 3구간,148.27
50,12시 4구간,148.27
51,13시 1구간,147.12
52,13시 2구간,147.12
53,13시 3구간,147.12
54,13시 4구간,147.12
55,14시 1구간,148.23
56,14시 2구간,148.23
57,14시 3구간,148.23
58,14시 4구간,148.23
59,15시 1구간,148.23
60,15시 2구간,148.23
61,15시 3구간,148.23
62,15시 4구간,148.23
63,16시 1구간,147.76
64,16시 2구간,147.76
65,16시 3구간,147.76
66,16시 4구간,147.76
67,17시 1구간,147.1
68,17시 2구간,147.1
69,17시 3구간,147.1
70,17시 4구간,147.1
71,18시 1구간,147.94
72,18시 2구간,147.94
73,18시 3구간,158.07
74,18시 4구간,158.07
75,19시 1구간,158.4
76,19시 2구간,158.4
77,19시 3구간,158.4
78,19시 4구간,160.03
79,20시 1구간,161.96
80,20시 2구간,161.96
81,20시 3구간,161.96
82,20시 4구간,161.96
83,21시 1구간,159.81
84,21시 2구간,159.81
85,21시 3구간,159.81
86,21시 4구간,159.81
87,22시 1구간,159.81
88,22시 2구간,159.81
89,22시 3구간,159.81
90,22시 4구간,159.81
91,23시 1구간,159.81
92,23시 2구간,159.81
93,23시 3구간,159.81
94,23시 4구간,159.81
95,24시 1구간,159.98
96,24시 2구간,159.98
97,24시 3구간,159.76
98,24시 4구간,159.76
