,시간,07-30 (화)
0,최대,155.41
1,최소,95.3
2,가중평균,138.33
3,01시 1구간,153.06
4,01시 2구간,153.06
5,01시 3구간,153.06
6,01시 4구간,153.06
7,02시 1구간,100.02
8,02시 2구간,100.02
9,02시 3구간,100.02
10,02시 4구간,100.02
11,03시 1구간,95.3
12,03시 2구간,95.3
13,03시 3구간,95.3
14,03시 4구간,95.3
15,04시 1구간,95.3
16,04시 2구간,95.3
17,04시 3구간,95.3
18,04시 4구간,95.3
19,05시 1구간,95.3
20,05시 2구간,95.3
21,05시 3구간,95.3
22,05시 4구간,95.3
23,06시 1구간,95.3
24,06시 2구간,95.3
25,06시 3구간,95.3
26,06시 4구간,95.3
27,07시 1구간,100.57
28,07시 2구간,100.57
29,07시 3구간,100.57
30,07시 4구간,100.57
31,08시 1구간,118.52
32,08시 2구간,118.52
33,08시 3구간,118.52
34,08시 4구간,118.52
35,09시 1구간,138.16
36,09시 2구간,138.16
37,09시 3구간,138.16
38,09시 4구간,138.16
39,10시 1구간,140.78
40,10시 2구간,140.78
41,10시 3구간,140.78
42,10시 4구간,140.78
43,11시 1구간,143.59
44,11시 2구간,143.59
45,11시 3구간,143.59
46,11시 4구간,143.59
47,12시 1구간,144.2
48,12시 2구간,144.2
49,12시 3구간,144.2
50,12시 4구간,144.2
51,13시 1구간,142.62
52,13시 2구간,142.62
53,13시 3구간,142.62
54,13시 4구간,142.62
55,14시 1구간,142.94
56,14시 2구간,142.94
57,14시 3구간,142.94
58,14시 4구간,142.94
59,15시 1구간,152.46
60,15시 2구간,152.46
61,15시 3구간,152.46
62,15시 4구간,152.46
63,16시 1구간,152.46
64,16시 2구간,152.46
65,16시 3구간,152.46
66,16시 4구간,154.88
67,17시 1구간,154.88
68,17시 2구간,154.88
69,17시 3구간,154.88
70,17시 4구간,154.88
71,18시 1구간,150.8
72,18시 2구간,150.8
73,18시 3구간,150.8
74,18시 4구간,150.92
75,19시 1구간,152.69
76,19시 2구간,152.69
77,19시 3구간,152.69
78,19시 4구간,152.95
79,20시 1구간,153.66
80,20시 2구간,155.05
81,20시 3구간,155.41
82,20시 4구간,155.41
83,21시 1구간,153.81
84,21시 2구간,153.08
85,21시 3구간,153.08
86,21시 4구간,153.08
87,22시 1구간,153.08
88,22시 2구간,153.08
89,22시 3구간,153.08
90,22시 4구간,153.08
91,23시 1구간,153.23
92,23시 2구간,153.23
93,23시 3구간,153.23
94,23시 4구간,153.23
95,24시 1구간,153.23
96,24시 2구간,153.23
97,24시 3구간,153.23
98,24시 4구간,153.23
