,시간,03-17 (일)
0,최대,173.44
1,최소,-50.0
2,가중평균,84.53
3,01시 1구간,173.44
4,01시 2구간,173.44
5,01시 3구간,173.44
6,01시 4구간,173.44
7,02시 1구간,106.51
8,02시 2구간,106.51
9,02시 3구간,106.51
10,02시 4구간,106.51
11,03시 1구간,95.97
12,03시 2구간,95.97
13,03시 3구간,95.97
14,03시 4구간,95.97
15,04시 1구간,95.97
16,04시 2구간,95.97
17,04시 3구간,95.97
18,04시 4구간,95.97
19,05시 1구간,95.97
20,05시 2구간,95.97
21,05시 3구간,95.97
22,05시 4구간,95.97
23,06시 1구간,128.43
24,06시 2구간,128.43
25,06시 3구간,128.43
26,06시 4구간,128.43
27,07시 1구간,133.91
28,07시 2구간,133.91
29,07시 3구간,133.91
30,07시 4구간,133.91
31,08시 1구간,131.52
32,08시 2구간,131.52
33,08시 3구간,131.52
34,08시 4구간,131.52
35,09시 1구간,99.15
36,09시 2구간,99.15
37,09시 3구간,99.15
38,09시 4구간,99.15
39,10시 1구간,95.96
40,10시 2구간,95.96
41,10시 3구간,95.96
42,10시 4구간,95.96
43,11시 1구간,93.07
44,11시 2구간,93.07
45,11시 3구간,93.07
46,11시 4구간,93.07
47,12시 1구간,105.37
48,12시 2구간,105.37
49,12시 3구간,105.37
50,12시 4구간,0.0
51,13시 1구간,-34.64
52,13시 2구간,-50.0
53,13시 3구간,-50.0
54,13시 4구간,0.0
55,14시 1구간,91.76
56,14시 2구간,91.76
57,14시 3구간,91.76
58,14시 4구간,0.0
59,15시 1구간,0.0
60,15시 2구간,0.0
61,15시 3구간,100.21
62,15시 4구간,100.21
63,16시 1구간,91.41
64,16시 2구간,91.41
65,16시 3구간,91.41
66,16시 4구간,91.41
67,17시 1구간,-0.81
68,17시 2구간,140.88
69,17시 3구간,140.88
70,17시 4구간,91.41
71,18시 1구간,144.2
72,18시 2구간,144.2
73,18시 3구간,144.2
74,18시 4구간,144.2
75,19시 1구간,-19.0
76,19시 2구간,-0.53
77,19시 3구간,0.0
78,19시 4구간,0.0
79,20시 1구간,0.0
80,20시 2구간,0.0
81,20시 3구간,0.0
82,20시 4구간,0.0
83,21시 1구간,0.0
84,21시 2구간,0.0
85,21시 3구간,0.0
86,21시 4구간,0.0
87,22시 1구간,0.0
88,22시 2구간,0.0
89,22시 3구간,0.0
90,22시 4구간,160.64
91,23시 1구간,160.6
92,23시 2구간,160.6
93,23시 3구간,160.6
94,23시 4구간,160.6
95,24시 1구간,160.53
96,24시 2구간,160.53
97,24시 3구간,160.53
98,24시 4구간,0.0
