,시간,07-24 (수)
0,최대,154.27
1,최소,99.86
2,가중평균,139.43
3,01시 1구간,124.26
4,01시 2구간,124.26
5,01시 3구간,124.26
6,01시 4구간,124.26
7,02시 1구간,103.7
8,02시 2구간,103.7
9,02시 3구간,103.7
10,02시 4구간,103.7
11,03시 1구간,99.86
12,03시 2구간,99.86
13,03시 3구간,99.86
14,03시 4구간,99.86
15,04시 1구간,99.86
16,04시 2구간,99.86
17,04시 3구간,99.86
18,04시 4구간,99.86
19,05시 1구간,99.86
20,05시 2구간,99.86
21,05시 3구간,99.86
22,05시 4구간,99.86
23,06시 1구간,99.86
24,06시 2구간,99.86
25,06시 3구간,99.86
26,06시 4구간,99.86
27,07시 1구간,120.62
28,07시 2구간,120.62
29,07시 3구간,120.62
30,07시 4구간,120.62
31,08시 1구간,133.67
32,08시 2구간,133.67
33,08시 3구간,133.67
34,08시 4구간,133.67
35,09시 1구간,139.02
36,09시 2구간,139.02
37,09시 3구간,139.02
38,09시 4구간,139.02
39,10시 1구간,152.63
40,10시 2구간,152.63
41,10시 3구간,152.63
42,10시 4구간,152.63
43,11시 1구간,144.29
44,11시 2구간,144.29
45,11시 3구간,144.29
46,11시 4구간,144.29
47,12시 1구간,152.63
48,12시 2구간,152.63
49,12시 3구간,152.63
50,12시 4구간,152.63
51,13시 1구간,142.16
52,13시 2구간,142.16
53,13시 3구간,142.16
54,13시 4구간,142.16
55,14시 1구간,143.74
56,14시 2구간,143.74
57,14시 3구간,143.74
58,14시 4구간,143.74
59,15시 1구간,149.59
60,15시 2구간,149.59
61,15시 3구간,149.59
62,15시 4구간,149.59
63,16시 1구간,152.12
64,16시 2구간,152.12
65,16시 3구간,152.12
66,16시 4구간,152.12
67,17시 1구간,144.29
68,17시 2구간,144.29
69,17시 3구간,151.63
70,17시 4구간,151.63
71,18시 1구간,154.01
72,18시 2구간,154.01
73,18시 3구간,154.01
74,18시 4구간,154.01
75,19시 1구간,154.01
76,19시 2구간,154.01
77,19시 3구간,154.01
78,19시 4구간,154.01
79,20시 1구간,154.27
80,20시 2구간,154.27
81,20시 3구간,154.27
82,20시 4구간,154.27
83,21시 1구간,152.21
84,21시 2구간,152.21
85,21시 3구간,152.21
86,21시 4구간,152.21
87,22시 1구간,152.21
88,22시 2구간,152.21
89,22시 3구간,152.21
90,22시 4구간,152.21
91,23시 1구간,152.21
92,23시 2구간,152.21
93,23시 3구간,152.21
94,23시 4구간,152.21
95,24시 1구간,152.02
96,24시 2구간,152.02
97,24시 3구간,152.02
98,24시 4구간,134.72
