,시간,06-24 (월)
0,최대,185.72
1,최소,88.6
2,가중평균,130.54
3,01시 1구간,95.47
4,01시 2구간,95.47
5,01시 3구간,95.47
6,01시 4구간,95.47
7,02시 1구간,92.94
8,02시 2구간,92.94
9,02시 3구간,92.94
10,02시 4구간,92.94
11,03시 1구간,90.66
12,03시 2구간,90.66
13,03시 3구간,90.66
14,03시 4구간,90.66
15,04시 1구간,88.6
16,04시 2구간,88.6
17,04시 3구간,88.6
18,04시 4구간,88.6
19,05시 1구간,88.76
20,05시 2구간,88.76
21,05시 3구간,88.76
22,05시 4구간,88.76
23,06시 1구간,93.82
24,06시 2구간,93.82
25,06시 3구간,93.82
26,06시 4구간,93.82
27,07시 1구간,95.31
28,07시 2구간,95.31
29,07시 3구간,95.31
30,07시 4구간,95.31
31,08시 1구간,117.53
32,08시 2구간,117.53
33,08시 3구간,117.53
34,08시 4구간,117.53
35,09시 1구간,137.42
36,09시 2구간,137.42
37,09시 3구간,137.42
38,09시 4구간,137.42
39,10시 1구간,138.34
40,10시 2구간,138.34
41,10시 3구간,138.34
42,10시 4구간,138.34
43,11시 1구간,139.02
44,11시 2구간,139.02
45,11시 3구간,139.02
46,11시 4구간,139.02
47,12시 1구간,139.22
48,12시 2구간,139.22
49,12시 3구간,139.22
50,12시 4구간,139.22
51,13시 1구간,137.74
52,13시 2구간,137.74
53,13시 3구간,137.74
54,13시 4구간,137.74
55,14시 1구간,149.62
56,14시 2구간,149.62
57,14시 3구간,146.91
58,14시 4구간,146.91
59,15시 1구간,185.72
60,15시 2구간,185.72
61,15시 3구간,185.72
62,15시 4구간,185.72
63,16시 1구간,145.19
64,16시 2구간,145.19
65,16시 3구간,145.19
66,16시 4구간,145.19
67,17시 1구간,138.37
68,17시 2구간,138.37
69,17시 3구간,138.37
70,17시 4구간,138.37
71,18시 1구간,137.34
72,18시 2구간,137.34
73,18시 3구간,150.68
74,18시 4구간,150.68
75,19시 1구간,151.04
76,19시 2구간,151.04
77,19시 3구간,151.04
78,19시 4구간,151.04
79,20시 1구간,151.4
80,20시 2구간,151.4
81,20시 3구간,151.4
82,20시 4구간,151.4
83,21시 1구간,131.68
84,21시 2구간,148.69
85,21시 3구간,153.27
86,21시 4구간,148.69
87,22시 1구간,148.92
88,22시 2구간,148.92
89,22시 3구간,148.92
90,22시 4구간,130.58
91,23시 1구간,130.58
92,23시 2구간,130.58
93,23시 3구간,130.58
94,23시 4구간,130.58
95,24시 1구간,115.74
96,24시 2구간,115.74
97,24시 3구간,115.74
98,24시 4구간,115.74
