,시간,05-13 (월)
0,최대,158.43
1,최소,-79.06
2,가중평균,98.32
3,01시 1구간,158.43
4,01시 2구간,97.18
5,01시 3구간,97.18
6,01시 4구간,97.18
7,02시 1구간,89.24
8,02시 2구간,89.24
9,02시 3구간,89.24
10,02시 4구간,89.24
11,03시 1구간,83.22
12,03시 2구간,83.22
13,03시 3구간,83.22
14,03시 4구간,83.22
15,04시 1구간,82.66
16,04시 2구간,82.66
17,04시 3구간,82.66
18,04시 4구간,82.66
19,05시 1구간,83.22
20,05시 2구간,83.22
21,05시 3구간,83.22
22,05시 4구간,83.22
23,06시 1구간,91.31
24,06시 2구간,91.31
25,06시 3구간,91.31
26,06시 4구간,91.31
27,07시 1구간,104.06
28,07시 2구간,104.06
29,07시 3구간,104.06
30,07시 4구간,104.06
31,08시 1구간,114.26
32,08시 2구간,114.26
33,08시 3구간,114.26
34,08시 4구간,-0.76
35,09시 1구간,-0.19
36,09시 2구간,-30.0
37,09시 3구간,-0.19
38,09시 4구간,-2.0
39,10시 1구간,138.2
40,10시 2구간,138.2
41,10시 3구간,138.2
42,10시 4구간,-0.05
43,11시 1구간,-17.57
44,11시 2구간,-77.94
45,11시 3구간,-79.06
46,11시 4구간,-79.06
47,12시 1구간,-79.06
48,12시 2구간,-79.06
49,12시 3구간,-79.06
50,12시 4구간,-79.06
51,13시 1구간,-79.06
52,13시 2구간,-70.27
53,13시 3구간,-2.0
54,13시 4구간,133.35
55,14시 1구간,133.51
56,14시 2구간,133.51
57,14시 3구간,133.51
58,14시 4구간,133.51
59,15시 1구간,154.05
60,15시 2구간,154.05
61,15시 3구간,-2.0
62,15시 4구간,154.05
63,16시 1구간,133.51
64,16시 2구간,133.51
65,16시 3구간,133.51
66,16시 4구간,133.51
67,17시 1구간,143.5
68,17시 2구간,143.5
69,17시 3구간,147.36
70,17시 4구간,147.36
71,18시 1구간,147.36
72,18시 2구간,147.36
73,18시 3구간,147.36
74,18시 4구간,147.36
75,19시 1구간,141.97
76,19시 2구간,147.98
77,19시 3구간,147.98
78,19시 4구간,147.98
79,20시 1구간,148.31
80,20시 2구간,148.31
81,20시 3구간,148.31
82,20시 4구간,148.31
83,21시 1구간,148.87
84,21시 2구간,148.87
85,21시 3구간,148.87
86,21시 4구간,148.87
87,22시 1구간,148.87
88,22시 2구간,148.87
89,22시 3구간,148.87
90,22시 4구간,148.87
91,23시 1구간,149.0
92,23시 2구간,149.0
93,23시 3구간,149.0
94,23시 4구간,149.0
95,24시 1구간,148.87
96,24시 2구간,148.87
97,24시 3구간,148.87
98,24시 4구간,148.87
