,시간,08-29 (목)
0,최대,161.17
1,최소,-74.92
2,가중평균,137.73
3,01시 1구간,128.88
4,01시 2구간,128.88
5,01시 3구간,128.88
6,01시 4구간,128.88
7,02시 1구간,106.76
8,02시 2구간,106.76
9,02시 3구간,106.76
10,02시 4구간,106.76
11,03시 1구간,106.45
12,03시 2구간,106.45
13,03시 3구간,106.45
14,03시 4구간,106.45
15,04시 1구간,106.4
16,04시 2구간,106.4
17,04시 3구간,106.4
18,04시 4구간,106.4
19,05시 1구간,101.44
20,05시 2구간,101.44
21,05시 3구간,101.44
22,05시 4구간,101.44
23,06시 1구간,106.45
24,06시 2구간,106.45
25,06시 3구간,106.45
26,06시 4구간,106.45
27,07시 1구간,107.32
28,07시 2구간,107.32
29,07시 3구간,107.32
30,07시 4구간,107.32
31,08시 1구간,144.29
32,08시 2구간,144.29
33,08시 3구간,144.29
34,08시 4구간,144.29
35,09시 1구간,146.17
36,09시 2구간,146.17
37,09시 3구간,146.17
38,09시 4구간,146.17
39,10시 1구간,147.05
40,10시 2구간,147.05
41,10시 3구간,147.05
42,10시 4구간,147.05
43,11시 1구간,146.97
44,11시 2구간,146.97
45,11시 3구간,146.97
46,11시 4구간,146.97
47,12시 1구간,-74.92
48,12시 2구간,-74.92
49,12시 3구간,146.95
50,12시 4구간,146.95
51,13시 1구간,146.61
52,13시 2구간,146.61
53,13시 3구간,146.61
54,13시 4구간,146.61
55,14시 1구간,146.91
56,14시 2구간,146.91
57,14시 3구간,146.91
58,14시 4구간,146.91
59,15시 1구간,159.85
60,15시 2구간,159.85
61,15시 3구간,159.85
62,15시 4구간,159.85
63,16시 1구간,148.03
64,16시 2구간,148.03
65,16시 3구간,148.03
66,16시 4구간,148.03
67,17시 1구간,148.03
68,17시 2구간,148.03
69,17시 3구간,148.03
70,17시 4구간,148.03
71,18시 1구간,148.04
72,18시 2구간,148.04
73,18시 3구간,159.29
74,18시 4구간,159.29
75,19시 1구간,159.37
76,19시 2구간,159.37
77,19시 3구간,159.37
78,19시 4구간,159.37
79,20시 1구간,160.79
80,20시 2구간,160.79
81,20시 3구간,160.79
82,20시 4구간,160.79
83,21시 1구간,160.79
84,21시 2구간,160.79
85,21시 3구간,160.79
86,21시 4구간,160.79
87,22시 1구간,160.79
88,22시 2구간,160.79
89,22시 3구간,160.79
90,22시 4구간,160.79
91,23시 1구간,161.17
92,23시 2구간,161.17
93,23시 3구간,161.03
94,23시 4구간,161.03
95,24시 1구간,161.03
96,24시 2구간,161.03
97,24시 3구간,137.98
98,24시 4구간,137.98
