,시간,05-22 (수)
0,최대,155.3
1,최소,-79.06
2,가중평균,116.04
3,01시 1구간,114.62
4,01시 2구간,114.62
5,01시 3구간,114.62
6,01시 4구간,114.62
7,02시 1구간,114.71
8,02시 2구간,114.71
9,02시 3구간,114.71
10,02시 4구간,114.71
11,03시 1구간,98.97
12,03시 2구간,98.97
13,03시 3구간,98.97
14,03시 4구간,98.97
15,04시 1구간,95.11
16,04시 2구간,95.11
17,04시 3구간,95.11
18,04시 4구간,95.11
19,05시 1구간,95.11
20,05시 2구간,95.11
21,05시 3구간,95.11
22,05시 4구간,95.11
23,06시 1구간,101.86
24,06시 2구간,101.86
25,06시 3구간,101.86
26,06시 4구간,101.86
27,07시 1구간,114.46
28,07시 2구간,114.46
29,07시 3구간,114.46
30,07시 4구간,114.46
31,08시 1구간,113.6
32,08시 2구간,113.6
33,08시 3구간,113.6
34,08시 4구간,113.6
35,09시 1구간,153.15
36,09시 2구간,153.15
37,09시 3구간,153.15
38,09시 4구간,153.15
39,10시 1구간,152.67
40,10시 2구간,152.08
41,10시 3구간,151.88
42,10시 4구간,-38.76
43,11시 1구간,137.4
44,11시 2구간,137.4
45,11시 3구간,120.19
46,11시 4구간,-79.06
47,12시 1구간,-79.06
48,12시 2구간,-79.06
49,12시 3구간,-79.06
50,12시 4구간,-79.06
51,13시 1구간,-79.06
52,13시 2구간,-79.06
53,13시 3구간,-2.0
54,13시 4구간,151.79
55,14시 1구간,135.68
56,14시 2구간,135.68
57,14시 3구간,135.68
58,14시 4구간,151.87
59,15시 1구간,152.16
60,15시 2구간,152.16
61,15시 3구간,142.54
62,15시 4구간,142.54
63,16시 1구간,137.06
64,16시 2구간,137.06
65,16시 3구간,137.06
66,16시 4구간,137.06
67,17시 1구간,140.63
68,17시 2구간,140.63
69,17시 3구간,153.13
70,17시 4구간,153.13
71,18시 1구간,141.57
72,18시 2구간,141.57
73,18시 3구간,141.57
74,18시 4구간,141.57
75,19시 1구간,141.98
76,19시 2구간,141.98
77,19시 3구간,141.98
78,19시 4구간,141.98
79,20시 1구간,149.1
80,20시 2구간,149.1
81,20시 3구간,149.1
82,20시 4구간,149.1
83,21시 1구간,154.98
84,21시 2구간,154.98
85,21시 3구간,154.98
86,21시 4구간,154.98
87,22시 1구간,154.9
88,22시 2구간,154.9
89,22시 3구간,154.9
90,22시 4구간,154.9
91,23시 1구간,155.3
92,23시 2구간,155.3
93,23시 3구간,155.3
94,23시 4구간,155.3
95,24시 1구간,155.3
96,24시 2구간,155.3
97,24시 3구간,155.3
98,24시 4구간,155.3
