,시간,06-04 (화)
0,최대,169.16
1,최소,0.0
2,가중평균,122.93
3,01시 1구간,112.69
4,01시 2구간,112.69
5,01시 3구간,112.69
6,01시 4구간,112.69
7,02시 1구간,109.67
8,02시 2구간,109.67
9,02시 3구간,109.67
10,02시 4구간,109.67
11,03시 1구간,111.25
12,03시 2구간,111.25
13,03시 3구간,111.25
14,03시 4구간,111.25
15,04시 1구간,110.09
16,04시 2구간,110.09
17,04시 3구간,110.09
18,04시 4구간,110.09
19,05시 1구간,111.38
20,05시 2구간,111.38
21,05시 3구간,111.38
22,05시 4구간,111.38
23,06시 1구간,109.67
24,06시 2구간,109.67
25,06시 3구간,109.67
26,06시 4구간,109.67
27,07시 1구간,112.47
28,07시 2구간,112.47
29,07시 3구간,112.47
30,07시 4구간,112.47
31,08시 1구간,110.45
32,08시 2구간,110.45
33,08시 3구간,110.45
34,08시 4구간,110.45
35,09시 1구간,118.23
36,09시 2구간,118.35
37,09시 3구간,117.32
38,09시 4구간,115.8
39,10시 1구간,138.69
40,10시 2구간,138.69
41,10시 3구간,0.0
42,10시 4구간,0.0
43,11시 1구간,169.16
44,11시 2구간,169.16
45,11시 3구간,169.16
46,11시 4구간,0.0
47,12시 1구간,0.0
48,12시 2구간,0.0
49,12시 3구간,0.0
50,12시 4구간,0.0
51,13시 1구간,0.0
52,13시 2구간,138.27
53,13시 3구간,138.27
54,13시 4구간,138.27
55,14시 1구간,138.59
56,14시 2구간,138.59
57,14시 3구간,138.59
58,14시 4구간,138.59
59,15시 1구간,138.59
60,15시 2구간,138.59
61,15시 3구간,138.59
62,15시 4구간,138.59
63,16시 1구간,138.6
64,16시 2구간,138.6
65,16시 3구간,138.6
66,16시 4구간,138.6
67,17시 1구간,119.78
68,17시 2구간,147.03
69,17시 3구간,152.43
70,17시 4구간,152.43
71,18시 1구간,150.09
72,18시 2구간,150.09
73,18시 3구간,150.09
74,18시 4구간,150.09
75,19시 1구간,150.35
76,19시 2구간,150.35
77,19시 3구간,150.35
78,19시 4구간,150.35
79,20시 1구간,135.79
80,20시 2구간,135.79
81,20시 3구간,135.79
82,20시 4구간,135.79
83,21시 1구간,151.62
84,21시 2구간,151.62
85,21시 3구간,151.62
86,21시 4구간,151.62
87,22시 1구간,151.98
88,22시 2구간,151.98
89,22시 3구간,151.98
90,22시 4구간,151.98
91,23시 1구간,151.98
92,23시 2구간,151.98
93,23시 3구간,151.98
94,23시 4구간,151.98
95,24시 1구간,151.98
96,24시 2구간,133.25
97,24시 3구간,151.98
98,24시 4구간,151.98
