,시간,09-03 (화)
0,최대,162.87
1,최소,106.57
2,가중평균,147.75
3,01시,137.5
4,02시,106.86
5,03시,106.86
6,04시,106.57
7,05시,106.82
8,06시,106.87
9,07시,134.71
10,08시,145.28
11,09시,145.49
12,10시,146.07
13,11시,160.26
14,12시,159.93
15,13시,159.93
16,14시,159.93
17,15시,159.93
18,16시,159.93
19,17시,159.93
20,18시,162.32
21,19시,162.87
22,20시,162.87
23,21시,162.26
24,22시,162.26
25,23시,159.86
26,24시,140.44
